periods_left_min,periods_left_max,stop_num,outbound,duration_offset,prob
0.0,0.0,1,True,0,1.0
0.0,0.0,2,True,0,1.0
0.0,0.0,3,True,0,1.0
1.0,1.0,1,True,0,0.5579024697432684
1.0,1.0,2,True,0,0.2742372694625933
1.0,1.0,3,True,0,0.4666675988188747
2.0,2.0,1,True,0,0.2788393020873004
2.0,2.0,2,True,0,0.0640520315825181
2.0,2.0,3,True,0,0.1010779889255578
3.0,3.0,1,True,0,0.1453033502013767
3.0,3.0,2,True,0,0.1024836898522469
3.0,3.0,3,True,0,0.0895797517523602
4.0,4.0,1,True,0,0.2169020749695862
4.0,4.0,2,True,0,0.1439361360486547
4.0,4.0,3,True,0,0.0623060346545437
5.0,5.0,1,True,0,0.1281479195816869
5.0,5.0,2,True,0,0.117920676584092
5.0,5.0,3,True,0,0.1261591821494109
6.0,6.0,1,True,0,0.0756256937500782
6.0,6.0,2,True,0,0.149922060071922
6.0,6.0,3,True,0,0.0
7.0,7.0,1,True,0,0.0572728873926146
7.0,7.0,2,True,0,0.0679457079950866
7.0,7.0,3,True,0,0.7012814535360659
8.0,8.0,1,True,0,0.1327787856073941
8.0,8.0,2,True,0,0.0715641179387748
8.0,8.0,3,True,0,0.0
9.0,9.0,1,True,0,0.0663372978874256
9.0,9.0,2,True,0,0.0
9.0,9.0,3,True,0,0.0
10.0,10.0,1,True,0,0.1288431043895199
10.0,10.0,2,True,0,0.0539729820659629
10.0,10.0,3,True,0,0.2048199475419257
11.0,47.0,1,True,0,0.1461084768056383
11.0,47.0,2,True,0,0.1450480238167029
11.0,47.0,3,True,0,0.1286664436146457
0.0,0.0,1,True,1,0.0
0.0,0.0,2,True,1,0.0
0.0,0.0,3,True,1,0.0
1.0,1.0,1,True,1,0.4420975302567316
1.0,1.0,2,True,1,0.7257627305374066
1.0,1.0,3,True,1,0.5333324011811253
2.0,2.0,1,True,1,0.640358235889016
2.0,2.0,2,True,1,0.6180339754657912
2.0,2.0,3,True,1,0.4768301610552499
3.0,3.0,1,True,1,0.3865823774390247
3.0,3.0,2,True,1,0.155936044473936
3.0,3.0,3,True,1,0.1457343206782555
4.0,4.0,1,True,1,0.2846732014083585
4.0,4.0,2,True,1,0.3180207343669294
4.0,4.0,3,True,1,0.1492027526511939
5.0,5.0,1,True,1,0.1880401587970119
5.0,5.0,2,True,1,0.1900669191464511
5.0,5.0,3,True,1,0.1581611816295628
6.0,6.0,1,True,1,0.1995989612744191
6.0,6.0,2,True,1,0.3118999521374974
6.0,6.0,3,True,1,0.3473960039715779
7.0,7.0,1,True,1,0.2996968594442082
7.0,7.0,2,True,1,0.17498755984449
7.0,7.0,3,True,1,0.0
8.0,8.0,1,True,1,0.2723831502355888
8.0,8.0,2,True,1,0.0926235556443622
8.0,8.0,3,True,1,0.1875270950777906
9.0,9.0,1,True,1,0.1873005318804675
9.0,9.0,2,True,1,0.4842484454142969
9.0,9.0,3,True,1,0.3330368716077753
10.0,10.0,1,True,1,0.1862827110542008
10.0,10.0,2,True,1,0.2828051767620249
10.0,10.0,3,True,1,0.3029644786048924
11.0,47.0,1,True,1,0.1835607434067917
11.0,47.0,2,True,1,0.2713462355233754
11.0,47.0,3,True,1,0.2743443162699797
0.0,0.0,1,True,2,0.0
0.0,0.0,2,True,2,0.0
0.0,0.0,3,True,2,0.0
1.0,1.0,1,True,2,0.0
1.0,1.0,2,True,2,0.0
1.0,1.0,3,True,2,0.0
2.0,2.0,1,True,2,0.0808024620236835
2.0,2.0,2,True,2,0.3179139929516906
2.0,2.0,3,True,2,0.4220918500191922
3.0,3.0,1,True,2,0.4106781307222219
3.0,3.0,2,True,2,0.4960354486311623
3.0,3.0,3,True,2,0.3225394289661394
4.0,4.0,1,True,2,0.2330492420594589
4.0,4.0,2,True,2,0.1539570454561272
4.0,4.0,3,True,2,0.0855217368326059
5.0,5.0,1,True,2,0.1640488249536039
5.0,5.0,2,True,2,0.1906375267096658
5.0,5.0,3,True,2,0.1204326807115966
6.0,6.0,1,True,2,0.1624218600511982
6.0,6.0,2,True,2,0.1599968930100489
6.0,6.0,3,True,2,0.390575813023482
7.0,7.0,1,True,2,0.152940346930664
7.0,7.0,2,True,2,0.1985958375136011
7.0,7.0,3,True,2,0.0
8.0,8.0,1,True,2,0.1281821243669258
8.0,8.0,2,True,2,0.2806164884122982
8.0,8.0,3,True,2,0.0
9.0,9.0,1,True,2,0.0647668346872708
9.0,9.0,2,True,2,0.2723724160491834
9.0,9.0,3,True,2,0.334855091030177
10.0,10.0,1,True,2,0.112842704434308
10.0,10.0,2,True,2,0.094938137318166
10.0,10.0,3,True,2,0.1537896866866481
11.0,47.0,1,True,2,0.0845600611501136
11.0,47.0,2,True,2,0.1315680343944044
11.0,47.0,3,True,2,0.0562998021793691
0.0,0.0,1,True,3,0.0
0.0,0.0,2,True,3,0.0
0.0,0.0,3,True,3,0.0
1.0,1.0,1,True,3,0.0
1.0,1.0,2,True,3,0.0
1.0,1.0,3,True,3,0.0
2.0,2.0,1,True,3,0.0
2.0,2.0,2,True,3,0.0
2.0,2.0,3,True,3,0.0
3.0,3.0,1,True,3,0.0574361416373766
3.0,3.0,2,True,3,0.2455448170426548
3.0,3.0,3,True,3,0.4421464986032448
4.0,4.0,1,True,3,0.2461168072951203
4.0,4.0,2,True,3,0.2453372059405201
4.0,4.0,3,True,3,0.3074030154793321
5.0,5.0,1,True,3,0.2577459787808657
5.0,5.0,2,True,3,0.2584160480228827
5.0,5.0,3,True,3,0.1163876221251648
6.0,6.0,1,True,3,0.1060944628568704
6.0,6.0,2,True,3,0.0933912192464838
6.0,6.0,3,True,3,0.0
7.0,7.0,1,True,3,0.1665129621409653
7.0,7.0,2,True,3,0.0541626523903969
7.0,7.0,3,True,3,0.0
8.0,8.0,1,True,3,0.0363027984442466
8.0,8.0,2,True,3,0.1415668334059704
8.0,8.0,3,True,3,0.0
9.0,9.0,1,True,3,0.0874492142802164
9.0,9.0,2,True,3,0.0
9.0,9.0,3,True,3,0.2436865711308543
10.0,10.0,1,True,3,0.1156974906644374
10.0,10.0,2,True,3,0.0907719022861697
10.0,10.0,3,True,3,0.0
11.0,47.0,1,True,3,0.0317342050603225
11.0,47.0,2,True,3,0.0200324742063801
11.0,47.0,3,True,3,0.0225101838230738
0.0,0.0,1,True,4,0.0
0.0,0.0,2,True,4,0.0
0.0,0.0,3,True,4,0.0
1.0,1.0,1,True,4,0.0
1.0,1.0,2,True,4,0.0
1.0,1.0,3,True,4,0.0
2.0,2.0,1,True,4,0.0
2.0,2.0,2,True,4,0.0
2.0,2.0,3,True,4,0.0
