model_selector,segment,pop,hshld,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92,univ,EnrollDS,EnrollPD
#trip,escort_nokids,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6382,1,0,0.0535,0.5039,0,0,0,0,0
trip,escort,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
trip,shopping,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,eatout,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
trip,othmaint,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2666,0,0,1,0,0,0,0
trip,social,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4686,0,0,0,0,0,0
trip,othdiscr,0,0.0832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2103,0.8032,0,0,0,0
"#ctramp specification doesn't have anything for univ and school, so used 1 in the univ and enrollment columns and zero in all other columns",,,,,,,,,,,,,,,,,,,,,,,,,,
trip,univ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
trip,school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
