"tour_id","household_id","person_id","participant_num","participant_id"
5952684,53716,145187,1,595268401
5952684,53716,145188,2,595268402
5952684,53716,145191,3,595268405
4774383,43843,116449,1,477438302
4774383,43843,116450,2,477438303
7044717,63802,171822,1,704471701
7044717,63802,171823,2,704471702
4773397,43832,116425,1,477339702
4773397,43832,116426,2,477339703
4773397,43832,116427,3,477339704
5076553,46261,123819,1,507655302
5076553,46261,123820,2,507655303
6651490,60372,162231,1,665149001
6651490,60372,162232,2,665149002
5431820,49409,132484,1,543182002
5431820,49409,132485,2,543182003
5431820,49409,132486,3,543182004
7050504,63855,171963,1,705050401
7050504,63855,171965,2,705050403
6968951,63084,169975,1,696895102
6968951,63084,169977,2,696895104
6968952,63084,169974,1,696895201
6968952,63084,169975,2,696895202
6430576,58228,156843,1,643057601
6430576,58228,156844,2,643057602
5927877,53568,144582,1,592787701
5927877,53568,144585,2,592787704
6879817,62171,167800,1,687981701
6879817,62171,167801,2,687981702
6828733,61791,166555,1,682873302
6828733,61791,166557,2,682873304
4552407,41732,111034,1,455240701
4552407,41732,111035,2,455240702
4552407,41732,111036,3,455240703
4552409,41732,111034,1,455240901
4552409,41732,111035,2,455240902
4552409,41732,111036,3,455240903
5390287,49062,131470,1,539028701
5390287,49062,131471,2,539028702
5840178,52941,142444,1,584017802
5840178,52941,142445,2,584017803
5683398,51494,138619,1,568339801
5683398,51494,138622,2,568339804
5683398,51494,138623,3,568339805
4381851,40414,106875,1,438185102
4381851,40414,106878,2,438185105
5404762,49179,131823,1,540476201
5404762,49179,131824,2,540476202
