process,pid,rss,full_rss,uss,event,children,time
MainProcess,29848,422_891_520,422_891_520,328_241_152,pipeline.run after mandatory_tour_scheduling,0,2025/10/13 12:37:09.038322
MainProcess,29848,422_891_520,422_891_520,328_241_152,pipeline.run_model joint_tour_frequency start,0,2025/10/13 12:37:09.060404
MainProcess,29848,423_006_208,423_006_208,328_249_344,pipeline.run_model joint_tour_frequency finished,0,2025/10/13 12:37:09.926664
MainProcess,29848,423_014_400,423_014_400,328_257_536,pipeline.run after joint_tour_frequency,0,2025/10/13 12:37:09.978369
MainProcess,29848,423_014_400,423_014_400,328_257_536,pipeline.run_model joint_tour_composition start,0,2025/10/13 12:37:09.989863
MainProcess,29848,423_014_400,423_014_400,328_257_536,pipeline.run_model joint_tour_composition finished,0,2025/10/13 12:37:10.389274
MainProcess,29848,423_014_400,423_014_400,328_257_536,pipeline.run after joint_tour_composition,0,2025/10/13 12:37:10.427687
MainProcess,29848,423_014_400,423_014_400,328_257_536,pipeline.run_model joint_tour_participation start,0,2025/10/13 12:37:10.450150
MainProcess,29848,423_075_840,423_075_840,328_265_728,pipeline.run_model joint_tour_participation finished,0,2025/10/13 12:37:11.039934
MainProcess,29848,423_084_032,423_084_032,328_273_920,pipeline.run after joint_tour_participation,0,2025/10/13 12:37:11.111474
MainProcess,29848,423_084_032,423_084_032,328_273_920,pipeline.run_model joint_tour_destination start,0,2025/10/13 12:37:11.145758
MainProcess,29848,423_100_416,423_100_416,328_278_016,pipeline.run_model joint_tour_destination finished,0,2025/10/13 12:37:16.460003
MainProcess,29848,423_100_416,423_100_416,328_278_016,pipeline.run after joint_tour_destination,0,2025/10/13 12:37:16.489823
MainProcess,29848,423_100_416,423_100_416,328_278_016,pipeline.run_model joint_tour_scheduling start,0,2025/10/13 12:37:16.523468
MainProcess,29848,424_226_816,424_226_816,329_392_128,pipeline.run_model joint_tour_scheduling finished,0,2025/10/13 12:37:18.808106
MainProcess,29848,424_230_912,424_230_912,329_396_224,pipeline.run after joint_tour_scheduling,0,2025/10/13 12:37:18.870157
MainProcess,29848,424_230_912,424_230_912,329_396_224,pipeline.run_model non_mandatory_tour_frequency start,0,2025/10/13 12:37:18.892272
MainProcess,29848,426_864_640,426_864_640,332_021_760,pipeline.run_model non_mandatory_tour_frequency finished,0,2025/10/13 12:37:21.742867
MainProcess,29848,426_876_928,426_876_928,332_029_952,pipeline.run after non_mandatory_tour_frequency,0,2025/10/13 12:37:21.812193
MainProcess,29848,426_876_928,426_876_928,332_029_952,pipeline.run_model non_mandatory_tour_destination start,0,2025/10/13 12:37:21.831982
MainProcess,29848,426_840_064,426_840_064,331_993_088,pipeline.run_model non_mandatory_tour_destination finished,0,2025/10/13 12:37:28.095632
MainProcess,29848,426_844_160,426_844_160,331_997_184,pipeline.run after non_mandatory_tour_destination,0,2025/10/13 12:37:28.138901
MainProcess,29848,426_844_160,426_844_160,331_997_184,pipeline.run_model non_mandatory_tour_scheduling start,0,2025/10/13 12:37:28.173429
MainProcess,29848,430_292_992,430_292_992,335_814_656,pipeline.run_model non_mandatory_tour_scheduling finished,0,2025/10/13 12:37:32.928856
MainProcess,29848,430_858_240,430_858_240,335_814_656,pipeline.run after non_mandatory_tour_scheduling,0,2025/10/13 12:37:32.973249
MainProcess,29848,430_862_336,430_862_336,335_818_752,pipeline.run_model tour_mode_choice_simulate start,0,2025/10/13 12:37:33.008429
MainProcess,29848,431_902_720,431_902_720,337_035_264,pipeline.run_model tour_mode_choice_simulate finished,0,2025/10/13 12:37:41.594839
MainProcess,29848,432_087_040,432_087_040,337_035_264,pipeline.run after tour_mode_choice_simulate,0,2025/10/13 12:37:41.621961
MainProcess,29848,432_087_040,432_087_040,337_035_264,pipeline.run_model atwork_subtour_frequency start,0,2025/10/13 12:37:41.655861
MainProcess,29848,432_099_328,432_099_328,337_047_552,pipeline.run_model atwork_subtour_frequency finished,0,2025/10/13 12:37:41.895855
MainProcess,29848,432_099_328,432_099_328,337_047_552,pipeline.run after atwork_subtour_frequency,0,2025/10/13 12:37:41.939031
MainProcess,29848,432_099_328,432_099_328,337_047_552,pipeline.run_model atwork_subtour_destination start,0,2025/10/13 12:37:41.966529
MainProcess,29848,433_283_072,433_283_072,338_231_296,pipeline.run_model atwork_subtour_destination finished,0,2025/10/13 12:37:43.012991
MainProcess,29848,433_283_072,433_283_072,338_231_296,pipeline.run after atwork_subtour_destination,0,2025/10/13 12:37:43.055357
MainProcess,29848,433_283_072,433_283_072,338_231_296,pipeline.run_model atwork_subtour_scheduling start,0,2025/10/13 12:37:43.078276
MainProcess,29848,433_721_344,433_721_344,338_653_184,pipeline.run_model atwork_subtour_scheduling finished,0,2025/10/13 12:37:43.725618
MainProcess,29848,433_721_344,433_721_344,338_653_184,pipeline.run after atwork_subtour_scheduling,0,2025/10/13 12:37:43.756549
MainProcess,29848,433_721_344,433_721_344,338_653_184,pipeline.run_model atwork_subtour_mode_choice start,0,2025/10/13 12:37:43.789484
MainProcess,29848,433_725_440,433_725_440,338_657_280,pipeline.run_model atwork_subtour_mode_choice finished,0,2025/10/13 12:37:44.756296
MainProcess,29848,433_725_440,433_725_440,338_657_280,pipeline.run after atwork_subtour_mode_choice,0,2025/10/13 12:37:44.806238
MainProcess,29848,433_725_440,433_725_440,338_657_280,pipeline.run_model stop_frequency start,0,2025/10/13 12:37:44.828896
MainProcess,29848,433_754_112,433_754_112,338_657_280,pipeline.run_model stop_frequency finished,0,2025/10/13 12:37:45.945879
MainProcess,29848,433_897_472,433_897_472,338_796_544,pipeline.run after stop_frequency,0,2025/10/13 12:37:45.998739
MainProcess,29848,433_897_472,433_897_472,338_796_544,pipeline.run_model trip_purpose start,0,2025/10/13 12:37:46.023632
MainProcess,29848,433_913_856,433_913_856,338_792_448,pipeline.run_model trip_purpose finished,0,2025/10/13 12:37:46.133858
MainProcess,29848,433_922_048,433_922_048,338_800_640,pipeline.run after trip_purpose,0,2025/10/13 12:37:46.174865
MainProcess,29848,433_922_048,433_922_048,338_800_640,pipeline.run_model trip_destination start,0,2025/10/13 12:37:46.195534
MainProcess,29848,435_818_496,435_818_496,340_697_088,pipeline.run_model trip_destination finished,0,2025/10/13 12:38:38.945355
MainProcess,29848,435_818_496,435_818_496,340_697_088,pipeline.run after trip_destination,0,2025/10/13 12:38:38.973098
MainProcess,29848,435_818_496,435_818_496,340_697_088,pipeline.run_model trip_purpose_and_destination start,0,2025/10/13 12:38:39.005812
MainProcess,29848,435_818_496,435_818_496,340_697_088,pipeline.run_model trip_purpose_and_destination finished,0,2025/10/13 12:38:39.039872
MainProcess,29848,435_818_496,435_818_496,340_697_088,pipeline.run after trip_purpose_and_destination,0,2025/10/13 12:38:39.073320
MainProcess,29848,435_818_496,435_818_496,340_697_088,pipeline.run_model trip_scheduling_choice start,0,2025/10/13 12:38:39.103919
MainProcess,29848,438_099_968,438_099_968,342_953_984,pipeline.run_model trip_scheduling_choice finished,0,2025/10/13 12:38:39.607314
MainProcess,29848,438_136_832,438_136_832,342_962_176,pipeline.run after trip_scheduling_choice,0,2025/10/13 12:38:39.656579
MainProcess,29848,438_136_832,438_136_832,342_962_176,pipeline.run_model trip_departure_choice start,0,2025/10/13 12:38:39.678731
MainProcess,29848,438_255_616,438_255_616,342_966_272,pipeline.run_model trip_departure_choice finished,0,2025/10/13 12:38:40.029373
MainProcess,29848,438_259_712,438_259_712,342_970_368,pipeline.run after trip_departure_choice,0,2025/10/13 12:38:40.072323
MainProcess,29848,438_259_712,438_259_712,342_970_368,pipeline.run_model trip_mode_choice start,0,2025/10/13 12:38:40.095143
MainProcess,29848,438_276_096,438_276_096,342_937_600,pipeline.run_model trip_mode_choice finished,0,2025/10/13 12:38:46.971025
MainProcess,29848,438_300_672,438_300_672,342_962_176,pipeline.run after trip_mode_choice,0,2025/10/13 12:38:47.006899
MainProcess,29848,438_300_672,438_300_672,342_962_176,pipeline.run_model write_data_dictionary start,0,2025/10/13 12:38:47.023885
MainProcess,29848,447_893_504,447_893_504,347_770_880,pipeline.run_model write_data_dictionary finished,0,2025/10/13 12:38:47.475407
MainProcess,29848,447_893_504,447_893_504,347_770_880,pipeline.run after write_data_dictionary,0,2025/10/13 12:38:47.508599
MainProcess,29848,447_893_504,447_893_504,347_770_880,pipeline.run_model track_skim_usage start,0,2025/10/13 12:38:47.533456
MainProcess,29848,447_893_504,447_893_504,347_770_880,pipeline.run_model track_skim_usage finished,0,2025/10/13 12:38:47.556600
MainProcess,29848,447_893_504,447_893_504,347_770_880,pipeline.run after track_skim_usage,0,2025/10/13 12:38:47.590318
MainProcess,29848,447_893_504,447_893_504,347_770_880,pipeline.run_model write_trip_matrices start,0,2025/10/13 12:38:47.607306
MainProcess,29848,448_331_776,448_331_776,347_877_376,pipeline.run_model write_trip_matrices finished,0,2025/10/13 12:38:47.973811
MainProcess,29848,448_331_776,448_331_776,347_877_376,pipeline.run after write_trip_matrices,0,2025/10/13 12:38:48.006342
MainProcess,29848,448_331_776,448_331_776,347_877_376,pipeline.run_model write_tables start,0,2025/10/13 12:38:48.039433
MainProcess,29848,449_331_200,449_331_200,348_626_944,pipeline.run_model write_tables finished,0,2025/10/13 12:38:48.126044
MainProcess,29848,448_983_040,448_983_040,348_278_784,pipeline.run after write_tables,0,2025/10/13 12:38:48.160671
MainProcess,29848,448_983_040,448_983_040,348_278_784,pipeline.run after run_models,0,2025/10/13 12:38:48.181571
