time,rss,used,available,percent,event
23/04/2020 18:57:53, 13.62, 1.45, 114.66, 7.3%, mp_households_0.trip_scheduling.completed
23/04/2020 18:57:54, 13.62, 1.45, 114.66, 7.3%, mp_households_1.trip_destination.completed
23/04/2020 18:57:54, 13.62, 1.45, 114.66, 7.3%, mp_households_1.trip_purpose_and_destination.completed
23/04/2020 18:57:55, 13.62, 1.45, 114.66, 7.3%, mp_households_1.trip_scheduling.completed
23/04/2020 18:58:02, 10.42, 1.35, 114.76, 7.2%, mp_households_0.trip_mode_choice.completed
23/04/2020 18:58:02, 10.42, 1.35, 114.76, 7.2%, mp_households_0.completed
23/04/2020 18:58:03, 6.80, 1.26, 114.85, 7.1%, mp_households_1.trip_mode_choice.completed
23/04/2020 18:58:03, 6.80, 1.26, 114.85, 7.1%, mp_households_1.completed
23/04/2020 18:58:03, 6.80, 1.26, 114.85, 7.1%, mp_households_coalesce.start
23/04/2020 18:58:04, 6.80, 1.26, 114.85, 7.2%, mp_households_coalesce.completed
23/04/2020 18:58:04, 6.88, 1.26, 114.85, 7.2%, mp_summarize.start
23/04/2020 18:58:05, 6.80, 1.26, 114.85, 7.2%, mp_summarize.write_data_dictionary.completed
23/04/2020 18:58:05, 6.80, 1.26, 114.85, 7.2%, mp_summarize.write_tables.completed
23/04/2020 18:58:05, 6.80, 1.26, 114.85, 7.2%, mp_summarize.completed
high water mark rss: 13.62 timestamp: 23/04/2020 18:57:52 label: mp_households_0.trip_destination.completed
high water mark used: 1.50 timestamp: 23/04/2020 18:55:48 label: mp_initialize.initialize_landuse.completed
