TAZ,auPkRetail,auPkTotal,auOpRetail,auOpTotal,trPkRetail,trPkTotal,trOpRetail,trOpTotal,nmRetail,nmTotal
566,10.088970403420197,11.968626687600185,10.109323146748542,11.989472992743025,7.427876352560696,9.30873497105573,7.226825387927851,9.117914936244258,6.777465132334148,8.933478643672386
565,10.10627737240604,11.98298964241019,10.123557315164753,12.000765340959695,7.1930044361538155,9.142205191856084,7.063945298428234,8.99578317312585,7.179108573676458,9.19088636654784
573,10.099897193692598,11.972507344981825,10.125079696798243,11.997648628716153,7.069238511507782,8.955619370829647,6.932835727466469,8.808116066277586,7.210107606917712,9.148069285185835
571,10.137981659733596,12.013648589956212,10.158444907678446,12.03419402919498,7.4875358945394845,9.351935894501327,7.381596776641018,9.244734582529457,7.029513712370214,9.070257280417884
576,10.143184932565983,12.012293804941269,10.163930438850487,12.032759947214076,7.406502621064951,9.2925589324355,7.3027817764344,9.193675459017348,6.981046336141425,8.938510105829153
575,10.126429904693286,11.987725327565396,10.158934062812273,12.019707150958533,6.823675811312999,8.776226432848029,6.617824900554301,8.533623033399312,7.247593957534814,9.059357964423889
567,10.148549054457648,12.009795302377967,10.184684046234263,12.045875175383792,7.148260900762377,9.057992280252309,7.089441769789979,8.996983258481825,7.155792697645009,8.985122581997857
570,10.164377029439214,12.022970852716156,10.200280315491709,12.058934279555912,7.277731128143446,9.108342636063417,7.185241906837883,9.00698580641503,7.179460285838524,8.883566573625904
583,10.20529817001302,12.055044840138802,10.24179591867848,12.091534870249632,6.881398823218358,8.911609395025529,6.7628720037175105,8.800343301453088,7.578806223828489,9.138502966827442
584,10.23394675944777,12.09101371857303,10.273275702358202,12.130709896106692,7.159441783636369,9.005588672918034,7.103930288906309,8.931939884559235,7.126706028712787,8.815451491481424
642,10.21293575125464,12.076448650502503,10.25095366247974,12.114649925963176,7.163813635154841,9.010927770609115,7.050763476745778,8.885786402197482,6.951110965380003,8.66469138658772
650,10.145576961364647,12.01950416551592,10.16688215262319,12.040856185270663,7.2832825695128784,9.171255153640393,7.164710891260927,9.054566121904706,6.759661488488267,8.74083303768017
651,10.126874143646274,12.007103917983367,10.1477704563799,12.028512618222244,7.1821053665637855,9.084296659475719,7.051410667490665,8.962789576665976,6.7139446838295305,8.772573120006445
653,10.106314945071109,11.98884911300138,10.131834906743956,12.014912663410724,7.24657377749217,9.17918030333835,7.083085796019561,9.034211936826054,6.606711567402646,8.7633055166856
644,10.071885610145706,11.95497916782353,10.107115804624872,11.990059170296396,6.998166057606606,8.992547919915332,6.843377815944332,8.850057650340903,6.454396977759972,8.64446182570014
