TAZ,district,county,TOTACRE,county_id,TOTHH,HHPOP,EMPRES,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,AGE62P,SHPOP62P,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN,RESACRE,CIACRE,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TERMINAL,TOPOLOGY,household_density,employment_density,density_index
642,12,Santa Clara,5916.08794912,3,924.0,3097.0,1556.0,127.0,138.0,187.0,472.0,165.0,532.0,1018.0,954.0,428.0,588.0,0.1898611559573781,160.0,14.0,53.0,15.0,0.0,1.0,77.0,1017.7762797002716,9.4245279656073,0.0,0.0,4,0.0,0.0,0.0,0.9840700000000001,1,0.8995320029971711,0.15576311740210755,0.1327722513648961
650,12,Santa Clara,615.058475511,3,1605.0,6119.0,2891.0,248.0,245.0,417.0,695.0,317.0,1359.0,2034.0,1818.0,591.0,802.0,0.131067167837882,465.0,43.0,24.0,187.0,0.0,28.0,183.0,237.06167842988663,18.101215549817,0.0,0.0,4,0.0,0.0,0.0,1.34884,3,6.290099531978448,1.8223652849657184,1.4129933731255933
651,12,Santa Clara,649.846449333,3,1706.0,6741.0,3271.0,130.0,391.0,517.0,668.0,342.0,1449.0,2330.0,2015.0,605.0,874.0,0.12965435395341934,208.0,14.0,14.0,37.0,0.0,10.0,133.0,237.01351428211652,9.255214771373,0.0,0.0,4,0.0,0.0,0.0,1.3334700000000002,3,6.927391904594826,0.8446058125180093,0.7528200188901378
653,12,Santa Clara,7381.05987311,3,2981.0,11445.0,5291.0,106.0,58.0,193.0,2624.0,558.0,3145.0,3422.0,3487.0,833.0,1291.0,0.1128003494975972,706.0,127.0,96.0,279.0,2.0,52.0,150.0,568.1771528042876,31.0261347493009,0.0,0.0,4,0.0,1750.12073,7479.333009999998,1.34112,2,4.9749393268030095,1.1782311857507295,0.9526192472804244
644,12,Santa Clara,743.483716505,3,1075.0,4463.0,2142.0,97.0,107.0,244.0,627.0,199.0,749.0,1461.0,1356.0,698.0,917.0,0.20546717454626934,309.0,149.0,3.0,9.0,0.0,109.0,39.0,160.32578415973958,21.480875611443306,0.0,0.0,4,0.0,0.0,0.0,1.3568200000000001,3,5.912874706311457,1.6996077062792931,1.3201432689669366
643,12,Santa Clara,551.497092938,3,996.0,4016.0,1987.0,52.0,165.0,166.0,613.0,177.0,822.0,1254.0,1263.0,500.0,678.0,0.1688247011952191,55.0,0.0,4.0,13.0,0.0,5.0,33.0,159.7798916358071,0.798348910423,0.0,0.0,4,0.0,0.0,0.0,1.30901,2,6.202583840824025,0.34251215988486083,0.3245881172648158
646,12,Santa Clara,318.961911325,3,897.0,3405.0,1691.0,78.0,115.0,164.0,540.0,117.0,655.0,1086.0,1084.0,463.0,630.0,0.18502202643171808,65.0,4.0,12.0,7.0,0.0,4.0,38.0,144.8177710331381,33.0,0.0,0.0,4,0.0,0.0,0.0,1.25831,2,5.044490181090141,0.3655427667456624,0.34084393115473927
649,12,Santa Clara,426.348337507,3,1131.0,4479.0,2037.0,125.0,172.0,163.0,671.0,260.0,970.0,1484.0,1273.0,492.0,663.0,0.1480241125251172,340.0,149.0,7.0,74.0,0.0,8.0,102.0,158.8236678688229,17.677975879978003,0.0,0.0,4,0.0,0.0,0.0,1.33487,2,6.407872334660247,1.926327669128633,1.4810853798670867
487,10,Santa Clara,831.5649991989999,3,1727.0,4653.0,2111.0,174.0,175.0,287.0,1091.0,180.0,1166.0,1418.0,1397.0,492.0,686.0,0.14743176445304104,487.0,80.0,49.0,64.0,0.0,14.0,280.0,183.49206579553132,50.668021315432426,0.0,0.0,3,2396.86646,0.0,0.0,1.31596,2,7.375296197176462,2.0797737394469817,1.6222986666779302
491,10,Santa Clara,386.654959331,3,1002.0,3134.0,1413.0,55.0,90.0,69.0,788.0,126.0,825.0,792.0,1086.0,305.0,381.0,0.1215698787492023,361.0,44.0,39.0,81.0,0.0,11.0,186.0,148.40238418264298,25.907903538944005,0.0,0.0,4,0.0,0.0,0.0,1.2835,2,5.74836983575187,2.071019471762899,1.5224956058007522
