tour_id,person_id,tour_type,tour_type_count,tour_type_num,tour_num,tour_count,tour_category,number_of_participants,destination,origin,household_id,start,end,duration,tdd,composition,tour_mode,atwork_subtour_frequency,parent_tour_id,stop_frequency,primary_purpose
11211284,273445,work,2,1,1,2,mandatory,1,511.0,686.0,79447,8.0,13.0,5.0,59.0,,DRIVEALONEFREE,no_subtours,,0out_1in,work
11211285,273445,work,2,2,2,2,mandatory,1,511.0,686.0,79447,13.0,19.0,6.0,130.0,,DRIVEALONEFREE,no_subtours,,0out_1in,work
17426269,425030,work,1,1,1,1,mandatory,1,378.0,656.0,539971,9.0,17.0,8.0,78.0,,DRIVEALONEFREE,no_subtours,,1out_0in,work
17426310,425031,work,1,1,1,1,mandatory,1,516.0,656.0,539971,7.0,17.0,10.0,47.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
17426343,425032,school,1,1,1,1,mandatory,1,679.0,656.0,539971,8.0,15.0,7.0,61.0,,SHARED3FREE,,,2out_0in,school
17426384,425033,school,1,1,1,1,mandatory,1,655.0,656.0,539971,7.0,14.0,7.0,44.0,,SHARED2FREE,,,0out_0in,school
28032313,683714,work,1,1,1,2,mandatory,1,590.0,644.0,130420,6.0,6.0,0.0,19.0,,WALK_LOC,no_subtours,,0out_0in,work
28032305,683714,school,1,1,2,2,mandatory,1,653.0,644.0,130420,9.0,13.0,4.0,74.0,,BIKE,,,0out_1in,univ
38501376,939057,work,1,1,1,1,mandatory,1,494.0,394.0,426909,7.0,16.0,9.0,46.0,,SHARED2FREE,no_subtours,,0out_0in,work
44102755,1075676,work,1,1,1,1,mandatory,1,543.0,443.0,267267,8.0,18.0,10.0,64.0,,DRIVEALONEFREE,no_subtours,,0out_1in,work
58212249,1419810,work,1,1,1,1,mandatory,1,530.0,376.0,456645,6.0,19.0,13.0,32.0,,DRIVEALONEFREE,eat,,1out_0in,work
69568675,1696796,work,1,1,1,1,mandatory,1,712.0,704.0,589304,11.0,20.0,9.0,108.0,,SHARED2FREE,no_subtours,,0out_0in,work
69568716,1696797,work,1,1,1,1,mandatory,1,700.0,704.0,589304,13.0,20.0,7.0,131.0,,DRIVEALONEFREE,no_subtours,,0out_1in,work
90724798,2212799,work,1,1,1,1,mandatory,1,1165.0,998.0,771412,8.0,21.0,13.0,67.0,,DRIVEALONEFREE,no_subtours,,1out_0in,work
90724839,2212800,work,1,1,1,1,mandatory,1,1037.0,998.0,771412,8.0,18.0,10.0,64.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
94324639,2300600,work,1,1,1,1,mandatory,1,73.0,940.0,820554,7.0,18.0,11.0,48.0,,DRIVEALONEFREE,eat,,0out_0in,work
99475756,2426237,work,1,1,1,1,mandatory,1,870.0,883.0,924048,6.0,16.0,10.0,29.0,,SHARED3FREE,eat,,0out_0in,work
101517310,2476031,work,1,1,1,1,mandatory,1,1014.0,890.0,904095,6.0,17.0,11.0,30.0,,DRIVEALONEFREE,maint,,0out_0in,work
101517384,2476033,school,1,1,1,1,mandatory,1,900.0,890.0,904095,8.0,18.0,10.0,64.0,,WALK_LOC,,,0out_0in,school
106337352,2593593,work,1,1,1,1,mandatory,1,1056.0,859.0,1078200,6.0,16.0,10.0,29.0,,DRIVE_HVY,no_subtours,,0out_0in,work
106337467,2593596,school,1,1,1,1,mandatory,1,821.0,859.0,1078200,17.0,18.0,1.0,163.0,,DRIVEALONEFREE,,,1out_0in,univ
107070555,2611476,work,1,1,1,1,mandatory,1,406.0,871.0,1054677,7.0,16.0,9.0,46.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
122777163,2994564,work,1,1,1,1,mandatory,1,870.0,831.0,1107353,8.0,17.0,9.0,63.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
133030361,3244642,work,1,1,1,1,mandatory,1,811.0,790.0,1158346,9.0,20.0,11.0,81.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
161290964,3933925,work,1,1,1,1,mandatory,1,11.0,224.0,1447106,6.0,18.0,12.0,31.0,,DRIVE_HVY,no_subtours,,0out_0in,work
165581327,4038568,work,1,1,1,1,mandatory,1,69.0,196.0,1398514,8.0,15.0,7.0,61.0,,SHARED2FREE,no_subtours,,0out_0in,work
165581368,4038569,work,1,1,1,1,mandatory,1,237.0,196.0,1398514,7.0,18.0,11.0,48.0,,DRIVEALONEFREE,business1,,1out_0in,work
165581401,4038570,school,1,1,1,1,mandatory,1,196.0,196.0,1398514,8.0,17.0,9.0,63.0,,WALK,,,0out_0in,school
165581442,4038571,school,1,1,1,1,mandatory,1,185.0,196.0,1398514,7.0,16.0,9.0,46.0,,SHARED3FREE,,,0out_0in,school
183301445,4470766,work,2,1,1,2,mandatory,1,413.0,330.0,1583798,5.0,12.0,7.0,7.0,,DRIVEALONEFREE,no_subtours,,1out_1in,work
183301446,4470766,work,2,2,2,2,mandatory,1,413.0,330.0,1583798,14.0,20.0,6.0,141.0,,DRIVEALONEFREE,no_subtours,,1out_0in,work
183301486,4470767,work,1,1,1,1,mandatory,1,534.0,330.0,1583798,7.0,17.0,10.0,47.0,,DRIVE_LRF,no_subtours,,0out_0in,work
183301519,4470768,school,1,1,1,1,mandatory,1,330.0,330.0,1583798,8.0,12.0,4.0,58.0,,SHARED3FREE,,,0out_0in,school
183301560,4470769,school,1,1,1,1,mandatory,1,314.0,330.0,1583798,7.0,14.0,7.0,44.0,,SHARED3FREE,,,1out_1in,school
183581147,4477588,work,1,1,1,1,mandatory,1,366.0,340.0,1617989,7.0,21.0,14.0,51.0,,DRIVEALONEFREE,no_subtours,,1out_0in,work
183581262,4477591,school,1,1,1,1,mandatory,1,336.0,340.0,1617989,7.0,18.0,11.0,48.0,,SHARED3FREE,,,0out_3in,school
233830050,5703171,work,1,1,1,1,mandatory,1,2.0,16.0,2378925,8.0,18.0,10.0,64.0,,WALK,no_subtours,,0out_0in,work
236552450,5769571,work,1,1,1,1,mandatory,1,10.0,118.0,2220515,6.0,10.0,4.0,23.0,,BIKE,no_subtours,,0out_0in,work
236552491,5769572,work,1,1,1,1,mandatory,1,1019.0,118.0,2220515,7.0,21.0,14.0,51.0,,SHARED2FREE,no_subtours,,0out_0in,work
245477658,5987259,work,1,1,1,1,mandatory,1,118.0,106.0,2173093,7.0,20.0,13.0,50.0,,DRIVEALONEFREE,eat,,0out_0in,work
253584096,6184977,work,1,1,1,1,mandatory,1,13.0,161.0,2257814,7.0,21.0,14.0,51.0,,WALK_LOC,no_subtours,,0out_0in,work
253584129,6184978,school,1,1,1,1,mandatory,1,165.0,161.0,2257814,7.0,17.0,10.0,47.0,,WALK,,,1out_0in,school
263618764,6429725,work,1,1,1,1,mandatory,1,22.0,1410.0,2396010,7.0,17.0,10.0,47.0,,WALK_EXP,no_subtours,,0out_0in,work
266088481,6489962,work,1,1,1,1,mandatory,1,1427.0,1431.0,2430298,6.0,15.0,9.0,28.0,,WALK,eat,,0out_0in,work
266088522,6489963,work,1,1,1,1,mandatory,1,13.0,1431.0,2430298,7.0,18.0,11.0,48.0,,SHARED3FREE,no_subtours,,0out_0in,work
268144631,6540112,work,1,1,1,1,mandatory,1,1441.0,1444.0,2467322,5.0,15.0,10.0,10.0,,BIKE,eat,,0out_0in,work
275835075,6727684,school,1,1,1,1,mandatory,1,1323.0,1323.0,2495360,7.0,15.0,8.0,45.0,,SHARED3FREE,,,0out_0in,school
275835124,6727685,work,1,1,1,1,mandatory,1,1211.0,1323.0,2495360,12.0,17.0,5.0,117.0,,DRIVEALONEFREE,no_subtours,,1out_1in,work
278256379,6786740,work,1,1,1,1,mandatory,1,1313.0,1347.0,2546819,8.0,18.0,10.0,64.0,,SHARED2FREE,no_subtours,,0out_0in,work
278256412,6786741,school,1,1,1,1,mandatory,1,1363.0,1347.0,2546819,18.0,19.0,1.0,170.0,,SHARED3FREE,,,0out_0in,univ
283230778,6908067,school,1,1,1,1,mandatory,1,1382.0,1381.0,2631272,8.0,16.0,8.0,62.0,,SHARED2FREE,,,0out_0in,school
283230901,6908070,school,1,1,1,1,mandatory,1,1381.0,1381.0,2631272,9.0,14.0,5.0,75.0,,SHARED2FREE,,,0out_0in,school
283230942,6908071,school,1,1,1,1,mandatory,1,1381.0,1381.0,2631272,7.0,18.0,11.0,48.0,,SHARED3FREE,,,0out_0in,school
285145322,6954763,work,1,1,1,1,mandatory,1,1027.0,1374.0,2617160,9.0,20.0,11.0,81.0,,SHARED2FREE,no_subtours,,2out_1in,work
285145363,6954764,work,1,1,1,1,mandatory,1,1395.0,1374.0,2617160,7.0,17.0,10.0,47.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
285145404,6954765,work,1,1,1,1,mandatory,1,1363.0,1374.0,2617160,8.0,17.0,9.0,63.0,,WALK,no_subtours,,0out_0in,work
285145437,6954766,school,1,1,1,1,mandatory,1,1399.0,1374.0,2617160,8.0,18.0,10.0,64.0,,DRIVEALONEFREE,,,0out_1in,school
