checkpoint_name,timestamp,land_use,accessibility,school_destination_size,workplace_destination_size,school_modeled_size,workplace_modeled_size,person_windows,households,persons,tours,joint_tour_participants,trips
trip_mode_choice,2020-04-23 18:58:04.269210,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice
write_data_dictionary,2020-04-23 18:58:05.132405,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice,trip_mode_choice
