body_type,vehicle_year,Gas,Diesel,Hybrid,PEV,BEV
SUV,2002,0.9921,0.0079,0.0,0.0,0.0
SUV,2001,0.9807,0.0167,0.0026,0.0,0.0
SUV,2000,1.0,0.0,0.0,0.0,0.0
SUV,1999,0.9956,0.0029,0.0015,0.0,0.0
SUV,1998,0.9927,0.0073,0.0,0.0,0.0
Pickup,2017,0.8568,0.1427,0.0005,0.0,0.0
Pickup,2016,0.8575,0.1421,0.0,0.0,0.0004
Pickup,2015,0.9087,0.0913,0.0,0.0,0.0
Pickup,2014,0.9142,0.0848,0.0011,0.0,0.0
Pickup,2013,0.8758,0.1242,0.0,0.0,0.0
Pickup,2012,0.8668,0.132,0.0012,0.0,0.0
Pickup,2011,0.9345,0.0648,0.0007,0.0,0.0
Pickup,2010,0.91,0.0892,0.0008,0.0,0.0
Pickup,2009,0.873,0.127,0.0,0.0,0.0
Pickup,2008,0.8952,0.1048,0.0,0.0,0.0
Pickup,2007,0.8427,0.1569,0.0004,0.0,0.0
Pickup,2006,0.8593,0.1407,0.0,0.0,0.0
Pickup,2005,0.8664,0.1332,0.0004,0.0,0.0
Pickup,2004,0.8623,0.1377,0.0,0.0,0.0
Pickup,2003,0.8811,0.1189,0.0,0.0,0.0
Pickup,2002,0.8654,0.1346,0.0,0.0,0.0
Pickup,2001,0.8923,0.1077,0.0,0.0,0.0
Pickup,2000,0.8479,0.1521,0.0,0.0,0.0
Pickup,1999,0.9634,0.0366,0.0,0.0,0.0
Pickup,1998,0.9212,0.0787,0.0001,0.0,0.0
Motorcycle,2017,0.9844,0.0,0.0,0.0,0.0156
Motorcycle,2016,0.9908,0.0,0.0,0.0,0.0092
Motorcycle,2015,0.9973,0.0,0.0,0.0,0.0027
Motorcycle,2014,0.9968,0.0,0.0,0.0,0.0032
Motorcycle,2013,0.9924,0.0,0.0,0.0,0.0076
Motorcycle,2012,0.9821,0.0,0.0,0.0,0.0179
Motorcycle,2011,0.9965,0.0,0.0,0.0,0.0035
Motorcycle,2010,1.0,0.0,0.0,0.0,0.0
Motorcycle,2009,0.998,0.0,0.0,0.0,0.002
Motorcycle,2008,0.9964,0.0,0.0,0.0,0.0036
Motorcycle,2007,0.9982,0.0,0.0,0.0,0.0018
Motorcycle,2006,1.0,0.0,0.0,0.0,0.0
Motorcycle,2005,1.0,0.0,0.0,0.0,0.0
Motorcycle,2004,1.0,0.0,0.0,0.0,0.0
Motorcycle,2003,1.0,0.0,0.0,0.0,0.0
Motorcycle,2002,1.0,0.0,0.0,0.0,0.0
Motorcycle,2001,1.0,0.0,0.0,0.0,0.0
Motorcycle,2000,1.0,0.0,0.0,0.0,0.0
Motorcycle,1999,1.0,0.0,0.0,0.0,0.0
Motorcycle,1998,1.0,0.0,0.0,0.0,0.0
