MAZ,TAP,DISTWALK,walk_time
100500,1238,0.57105,11.421
100500,1333,0.78585,15.717
100500,1558,0.81565,16.313
100500,1559,0.6065499999999999,12.130999999999998
100500,1603,0.2168,4.336
100500,1604,0.0325,0.65
100500,1606,0.2822,5.644
100500,1607,0.6957,13.914
100500,1608,0.6666000000000001,13.332
100500,1611,0.7179,14.358
100500,1652,0.69165,13.833
100500,1665,0.5207499999999999,10.415
100500,1681,0.85745,17.149
100501,1238,0.75575,15.115
100501,1333,0.97115,19.423
100501,1558,0.6308,12.616
100501,1559,0.7693,15.386
100501,1603,0.03215,0.643
100501,1604,0.2171999999999999,4.343999999999999
100501,1606,0.4669,9.338
100501,1607,0.8804000000000001,17.608
100501,1608,0.85125,17.025
100501,1611,0.9026,18.052
100501,1652,0.84475,16.895
100501,1665,0.4328999999999999,8.658
100501,1681,0.7485,14.97
100502,1238,0.85595,17.119
100502,1333,0.8041,16.082
100502,1558,0.7954,15.908
100502,1559,0.8701000000000001,17.402
100502,1603,0.1968,3.936
100502,1604,0.3174,6.348
100502,1606,0.56715,11.343
100502,1607,0.98065,19.613
100502,1608,0.8150000000000001,16.3
100502,1652,0.7099500000000001,14.199000000000002
100502,1665,0.3201,6.402
100502,1681,0.6647000000000001,13.294
100503,1238,0.6323000000000001,12.646
100503,1333,0.84705,16.941
100503,1558,0.7544,15.088
100503,1559,0.66765,13.353
100503,1603,0.15555,3.111
100503,1604,0.09375,1.875
100503,1606,0.34345,6.869
100503,1607,0.75695,15.139
100503,1608,0.72785,14.557
100503,1611,0.77915,15.583
100503,1652,0.7529,15.058
100503,1665,0.46505,9.301
100503,1681,0.8017999999999998,16.035999999999998
100504,1238,0.86825,17.365
100504,1333,0.8164,16.328
100504,1558,0.8848499999999999,17.697
100504,1559,0.8824,17.648
100504,1603,0.2862,5.724
100504,1604,0.3296999999999999,6.593999999999999
100504,1606,0.5793999999999999,11.588
100504,1607,0.9929,19.858
100504,1608,0.8272999999999999,16.546
100504,1652,0.62285,12.457
100504,1665,0.2559,5.118
100504,1681,0.59265,11.853
100504,1748,0.99335,19.867
100505,1238,0.898,17.96
100505,1333,0.84615,16.923
100505,1558,0.98805,19.761
100505,1559,0.9335,18.67
100505,1603,0.3893999999999999,7.7879999999999985
100505,1604,0.35945,7.189
100505,1606,0.6092,12.184
100505,1608,0.8570499999999999,17.141
100505,1652,0.5196500000000001,10.393
100505,1653,0.9627,19.254
100505,1658,0.95045,19.009
100505,1665,0.194,3.88
100505,1681,0.53075,10.615
100505,1748,0.89015,17.803
100506,1238,0.76315,15.263
100506,1333,0.7113,14.226
100506,1558,0.88825,17.765
100506,1559,0.7986500000000001,15.973
100506,1603,0.2896000000000001,5.792000000000002
100506,1604,0.2246,4.492
100506,1606,0.4743,9.486
100506,1607,0.88785,17.757
100506,1608,0.7222000000000001,14.444
100506,1611,0.90875,18.175
100506,1652,0.6171,12.342
100506,1665,0.3316,6.6320000000000014
100506,1681,0.66835,13.367
100506,1748,0.9739,19.478
100507,1238,0.8437999999999999,16.875999999999998
100507,1558,0.5828,11.656
100507,1559,0.8566499999999999,17.133
100507,1603,0.05595,1.119
100507,1604,0.3053,6.106
100507,1606,0.5549999999999999,11.1
100507,1607,0.9685,19.37
100507,1608,0.93935,18.787
100507,1611,0.9907,19.814
100507,1652,0.92675,18.535
100507,1665,0.5149,10.298
100507,1681,0.6604,13.208
100508,1238,0.94495,18.899
100508,1558,0.75575,15.115
100508,1559,0.9578,19.156
100508,1603,0.1571,3.142
100508,1604,0.4064,8.128
100508,1606,0.65615,13.123
100508,1652,0.8917999999999999,17.836
100508,1665,0.47995,9.599
100508,1681,0.7558,15.116
100509,1333,0.9597000000000004,19.19400000000001
100509,1558,0.8243500000000001,16.487000000000002
100509,1603,0.2256999999999999,4.513999999999999
100509,1604,0.47295,9.459
100509,1606,0.7227,14.454
100509,1608,0.9706,19.412
100509,1652,0.71585,14.317
100509,1665,0.304,6.08
100509,1681,0.51155,10.231
100510,1333,0.95585,19.117
100510,1558,0.8534500000000003,17.069000000000006
100510,1603,0.25485,5.097
100510,1604,0.5021,10.042
100510,1606,0.75185,15.037
100510,1608,0.9997,19.994
100510,1652,0.616,12.32
100510,1665,0.2041,4.082
100510,1681,0.48,9.6
100510,1748,0.98645,19.729
100511,1333,0.8458,16.916
100511,1603,0.44775,8.955
100511,1604,0.5945,11.89
100511,1606,0.8442000000000001,16.884
100511,1652,0.5059,10.118
100511,1653,0.949,18.98
100511,1658,0.93675,18.735
100511,1665,0.0412,0.8240000000000001
100511,1681,0.2955,5.91
100511,1748,0.8764,17.528
100512,1333,0.7715,15.43
100512,1603,0.43915,8.783
100512,1604,0.51895,10.379
100512,1606,0.7687,15.374
100512,1652,0.43165,8.633
100512,1653,0.8747,17.494
100512,1658,0.8624500000000002,17.249000000000002
100512,1665,0.0631,1.262
100512,1681,0.39985,7.997000000000001
100512,1748,0.8021499999999999,16.043
100513,1558,0.7892,15.784
100513,1603,0.26235,5.247000000000001
100513,1604,0.5117,10.234
100513,1606,0.7614,15.228
100513,1652,0.97965,19.593
100513,1665,0.5678,11.356
100513,1681,0.4655,9.31
100514,1558,0.861,17.22
100514,1603,0.33415,6.683
100514,1604,0.58345,11.669
100514,1606,0.8332,16.664
100514,1652,0.8647500000000001,17.295
100514,1665,0.4528999999999999,9.058
100514,1681,0.4071000000000001,8.142000000000001
100515,1603,0.562,11.24
100515,1604,0.8159500000000003,16.319000000000006
100515,1652,0.74845,14.969
100515,1665,0.33655,6.731
100515,1681,0.16575,3.315
100516,1603,0.498,9.96
100516,1604,0.74525,14.905
100516,1606,0.995,19.9
100516,1652,0.67775,13.555
100516,1665,0.26585,5.317
100516,1681,0.2368,4.7360000000000015
100517,1603,0.62725,12.545
100517,1604,0.78275,15.655
100517,1652,0.6942,13.884
100517,1665,0.2294999999999999,4.59
100517,1681,0.1072,2.144
100518,1603,0.69145,13.829
100518,1604,0.8537000000000001,17.074
100518,1652,0.76515,15.303
100518,1665,0.30045,6.009
100518,1681,0.0363,0.726
100519,1238,0.5208,10.416
100519,1333,0.7349500000000001,14.699000000000002
100519,1558,0.8500499999999999,17.000999999999998
100519,1559,0.54155,10.831
100519,1562,0.93735,18.747
100519,1603,0.4826,9.652
100519,1604,0.23325,4.665
100519,1606,0.2327,4.654
100519,1607,0.6454500000000001,12.909
100519,1608,0.6163000000000001,12.326
100519,1611,0.66765,13.353
100519,1612,0.97655,19.531
100519,1652,0.6442,12.884
100519,1653,0.96865,19.373
100519,1665,0.7868,15.736
100519,1748,0.9975,19.95
100520,1238,0.5151,10.302
100520,1333,0.7275499999999999,14.550999999999998
100520,1558,0.8557,17.114
100520,1559,0.5965499999999999,11.931
100520,1603,0.35275,7.055
100520,1604,0.1034,2.068
100520,1606,0.22625,4.525
100520,1607,0.63975,12.795
100520,1608,0.6106499999999999,12.213
100520,1611,0.66195,13.239
100520,1612,0.97085,19.417
100520,1652,0.63335,12.667
100520,1653,0.963,19.26
100520,1665,0.65805,13.161
100520,1681,0.99475,19.895
100520,1748,0.99015,19.803
100521,1238,0.73785,14.757
100521,1558,0.5617000000000001,11.234000000000002
100521,1559,0.30255,6.051
100521,1562,0.752,15.04
100521,1603,0.59695,11.939
100521,1604,0.3476,6.952000000000001
100521,1606,0.5291,10.582
100521,1607,0.94075,18.815
100521,1608,0.9116,18.232
100521,1611,0.96295,19.259
100521,1652,0.93675,18.735
100521,1665,0.90225,18.045
100522,1238,0.73275,14.655
