MAZ,TAZ
101031,3626
101032,3619
101033,3626
101034,3626
101035,3626
101036,3619
101037,3619
101038,3619
101039,3619
101040,3704
101041,3705
101042,3705
101043,3796
101044,3796
101045,3687
101046,3687
101047,3705
101048,3705
101049,3705
101050,3705
101051,3796
101052,3796
101053,3796
101054,3796
101055,3796
101056,3796
101057,3849
101058,3849
101059,3849
101060,3849
101061,3093
101062,3093
101063,3098
101064,3093
101065,3098
101066,3131
101067,3093
101068,3131
101069,3131
101070,3176
101071,3176
101072,3176
101073,3176
101074,3112
101075,3112
101076,3098
101077,3131
101078,3278
101079,3339
