zone_id,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL
524,11,11,3,1866,4980,458.0,414.0,33.0,358,813,119,122,35,60,2,20,0.0,0.0,4,0.0,0.0,0.0,3,1.1231
525,11,11,3,1562,4046,429.0,403.0,26.0,655,570,113,127,267,136,0,12,0.0,0.0,4,883.05249,0.0,0.0,3,1.1249
526,11,11,3,2379,6088,618.0,503.0,93.0,1113,888,124,235,505,193,3,53,0.0,0.0,4,1868.76477,0.0,0.0,3,1.15298
527,11,11,3,2790,6810,688.0,563.0,82.0,2187,1001,463,525,566,551,3,79,0.0,0.0,4,0.0,0.0,0.0,3,1.22427
528,11,11,3,2534,6004,467.0,420.0,24.0,1685,845,173,604,426,400,0,82,0.0,0.0,4,0.0,0.0,0.0,3,1.29253
529,11,11,3,1202,2724,361.0,323.0,38.0,1433,347,214,503,295,223,6,192,0.0,0.0,4,0.0,0.0,0.0,3,1.19739
530,11,11,3,3449,7385,630.0,417.9262700000001,123.0,9776,934,950,3761,2387,2008,11,659,0.0,0.0,3,0.0,0.0,0.0,3,1.90767
531,11,11,3,1405,2952,273.0,241.0,32.0,2368,336,124,917,956,303,5,63,0.0,0.0,3,0.0,0.0,0.0,2,1.45545
532,11,11,3,2594,6141,236.0,188.0,47.0,568,894,75,148,214,90,0,41,0.0,0.0,3,0.0,0.0,0.0,3,1.44989
533,11,11,3,2459,7146,447.0,244.0,203.0,2318,1376,125,385,1148,547,0,113,0.0,0.0,3,1861.34631,1764.23364,7204.1142599999985,3,1.39454
534,11,11,3,1870,4752,475.0,354.0,71.0,2720,763,100,789,829,772,1,229,0.0,0.0,3,0.0,0.0,0.0,3,1.36415
535,11,11,3,1949,5010,331.0,190.0,77.0,2203,958,275,307,1211,323,1,86,0.0,0.0,4,0.0,0.0,0.0,3,1.57381
536,11,11,3,1747,5608,230.0,139.55872,25.0,1219,1317,314,371,171,263,0,100,0.0,0.0,4,0.0,0.0,0.0,3,1.80059
537,11,11,3,3018,6732,410.0,92.61086,259.0,3949,1210,380,904,821,1233,12,599,0.0,0.0,4,0.0,0.0,0.0,3,1.7083099999999998
538,11,11,3,1052,2659,164.2,117.0,40.0,2246,534,78,769,277,945,0,177,0.0,0.0,3,0.0,0.0,0.0,3,1.80235
539,11,11,3,162,464,508.10001,76.0,359.0,5718,93,488,1195,1650,1523,10,852,0.0,0.0,3,0.0,0.0,0.0,3,1.48001
540,11,11,3,2327,5185,329.0,228.40805,88.79493000000002,4563,682,182,1519,1306,1097,19,440,0.0,0.0,3,0.0,0.0,0.0,3,1.79562
541,11,11,3,1936,5218,531.0,328.0,174.0,4548,780,232,693,2948,519,24,132,0.0,0.0,4,2056.75244,0.0,0.0,3,1.46482
542,11,11,3,955,2405,252.0,189.0,48.0,2614,371,59,697,529,1102,1,226,0.0,0.0,4,1719.1109600000002,0.0,0.0,3,1.54514
543,11,11,3,1570,5206,369.0,167.03329,192.0,9208,1731,177,1685,2577,1811,2,2956,0.0,0.0,4,0.0,0.0,0.0,3,2.24736
544,11,11,3,2296,5796,391.0,256.0,74.0,1592,732,213,246,483,600,0,50,0.0,0.0,4,0.0,0.0,0.0,3,1.4061
545,11,11,3,1379,4248,236.0,162.97661000000005,58.0,2535,1123,99,546,839,711,4,336,0.0,0.0,4,0.0,5673.771970000002,2056.58984,3,1.71997
546,11,11,3,2830,6184,470.0,161.42163,200.0,15071,1146,108,3067,1427,9862,6,601,32.72889,201.60999,2,0.0,0.0,0.0,3,3.78365
547,11,11,3,2543,7808,475.0,264.83252000000005,196.0,3285,1831,313,629,302,1420,2,619,0.0,0.0,3,0.0,0.0,0.0,3,1.49436
548,11,11,3,3277,9284,455.0,307.59109,83.0,1124,1988,145,215,407,289,4,64,0.0,0.0,4,0.0,0.0,0.0,3,1.42909
549,11,11,3,1975,4786,199.0,101.0,87.0,5342,802,189,1805,1095,2076,1,176,75.85511,128.56798,3,0.0,0.0,0.0,3,3.64931
550,11,11,3,1330,4120,205.0,180.0,24.0,885,919,60,118,546,141,0,20,0.0,0.0,3,0.0,0.0,0.0,3,1.43044
551,11,11,3,1786,6242,371.0,223.0,85.53605,1889,1479,150,215,489,748,1,286,0.0,0.0,4,1302.31812,0.0,0.0,3,1.50763
552,11,11,3,1146,4355,151.0,125.0,14.0,144,1181,29,16,13,62,0,24,0.0,0.0,3,0.0,0.0,0.0,3,1.47988
553,11,11,3,1092,4611,205.0,117.50225,18.0,221,1356,45,22,100,39,0,15,0.0,0.0,3,0.0,0.0,0.0,3,1.55175
554,11,11,3,1316,4143,182.0,154.0,25.0,1040,594,94,216,420,304,0,6,0.0,0.0,3,0.0,0.0,0.0,3,1.54426
555,11,11,3,2400,6716,302.0,165.2672,72.0,1496,1448,209,233,552,351,1,150,0.0,0.0,3,666.62231,237.91756,137.10336,3,1.65412
556,11,11,3,609,4658,61.0,24.0,37.0,1224,1751,38,164,674,331,0,17,179.41368,502.35831,1,0.0,0.0,0.0,3,3.24663
557,11,11,3,2781,5421,179.0,21.0,158.0,5642,617,167,1514,1432,2225,0,304,45.0,126.0,1,0.0,15882.11035,11273.94336,3,3.2960800000000003
558,11,11,3,3673,7340,408.0,49.0439,233.0,22357,1220,235,10837,4465,5648,41,1131,62.80407,272.83734,1,0.0,0.0,0.0,3,3.94265
559,11,11,3,1648,4997,381.0,287.0,48.0,891,1043,94,232,320,183,18,44,0.0,0.0,4,0.0,0.0,0.0,3,1.2677200000000002
560,11,11,3,1635,6538,254.0,173.31691,18.0,5203,1796,137,3201,1125,533,6,201,74.06405,233.30176,3,0.0,0.0,0.0,3,4.6721900000000005
561,11,11,3,1434,4000,283.0,91.0,184.0,1295,875,170,305,146,364,0,310,0.0,0.0,4,0.0,0.0,0.0,3,1.34933
562,11,11,3,1221,4600,170.0,105.0,32.0,471,1302,110,115,125,98,0,23,0.0,0.0,4,0.0,0.0,0.0,3,1.62155
563,11,11,3,4334,12058,1599.0,387.0,932.0,15665,2325,978,2425,1996,5664,107,4495,0.0,0.0,4,2433.96924,0.0,0.0,3,1.5642200000000002
564,11,11,3,2825,8208,580.0,305.48038,175.0,2406,1896,524,198,1225,382,1,76,0.0,0.0,4,0.0,0.0,0.0,2,1.40571
565,11,11,3,2066,5126,307.0,185.0,23.0,1748,560,510,351,104,451,9,323,0.0,0.0,4,0.0,0.0,0.0,1,1.68135
566,11,11,3,4545,11150,1079.0,433.62454,110.0,1413,1245,296,361,103,503,1,149,0.0,0.0,4,0.0,0.0,0.0,1,1.3611799999999998
567,11,11,3,2175,7603,444.0,290.91519,222.0,1526,1841,139,176,430,401,6,374,0.0,0.0,4,0.0,0.0,0.0,3,1.27966
568,11,11,3,2067,7992,345.0,269.0,28.0,760,2050,95,97,185,206,1,176,0.0,0.0,4,0.0,0.0,0.0,3,1.46933
569,11,11,3,1000,4486,148.0,113.0,10.0,253,1409,66,22,105,55,0,5,0.0,0.0,3,0.0,0.0,0.0,3,1.61198
570,11,11,3,1133,4635,145.0,104.0,19.0,406,1229,133,70,158,36,0,9,0.0,0.0,3,0.0,0.0,0.0,3,1.6861700000000002
571,11,11,3,888,4227,284.0,156.0,8.0,432,1215,35,65,174,151,0,7,0.0,0.0,4,0.0,0.0,0.0,3,1.45307
572,11,11,3,889,4310,377.0,196.0,54.0,408,1152,34,29,296,46,0,3,0.0,0.0,4,2664.00537,0.0,0.0,3,1.26351
573,11,11,3,987,3966,340.0,215.0,5.0,265,870,58,59,70,72,0,6,0.0,0.0,4,0.0,0.0,0.0,3,1.2586700000000002
574,11,11,3,1241,4728,284.0,164.49188,22.0,540,1109,42,116,266,102,0,14,0.0,0.0,4,0.0,0.0,0.0,3,1.45705
575,11,11,3,904,3998,410.0,155.0,29.0,753,1022,81,131,330,182,0,29,0.0,0.0,4,0.0,0.0,0.0,3,1.44619
