primary_purpose,outbound,trip_num,multistop,work,school,shop,visit,other
work,True,1,0,0.0534400491813359,0.0769381214529703,0.2543525892686181,0.0215911872780409,0.5936780528190346
work,True,1,1,0.0381170322268522,0.0627984102510259,0.3924582601951031,0.0555134283667774,0.4511128689602412
work,True,2,1,0.0596117449708591,0.0254269900196725,0.3000581301996741,0.090511937796116,0.524391197013678
work,True,3,1,0.1175829849461898,0.0328629368462708,0.3718292323912068,0.0486095206310863,0.4291153251852461
work,False,1,0,0.1296822649794433,0.0,0.3162395654585812,0.0827120601082939,0.4713661094536814
work,False,1,1,0.2287633244458398,0.0220113035013706,0.2949095703400519,0.0442001514232518,0.4101156502894857
work,False,2,1,0.2567110752412258,0.0137767249306967,0.3458051594602995,0.0292826625361652,0.3544243778316127
work,False,3,1,0.1880821446093702,0.0213729157494827,0.3347478335836855,0.1205091012273198,0.3352880048301415
school,True,1,0,0.0,0.0,0.1361451700201559,0.1490238904609147,0.7148309395189294
school,True,1,1,0.0,0.0,0.3946760721161549,0.0364472478845579,0.5688766799992871
school,True,2,1,0.0,0.0,0.6422483081701947,0.0,0.3577516918298052
school,True,3,1,0.0,0.0,0.4888984064853959,0.0,0.5111015935146042
school,False,1,0,0.0,0.0,0.5710655166175388,0.1246583094138891,0.3042761739685721
school,False,1,1,0.0,0.1094606966245822,0.4081431112549782,0.2577059162649137,0.2246902758555257
school,False,2,1,0.0,0.1491454683904708,0.5088787309297492,0.1172532127267999,0.2247225879529798
school,False,3,1,0.0,0.1696095191987071,0.2855757356521212,0.058764452796455,0.4860502923527166
shop,True,1,0,0.0,0.0,0.069723744442702,0.1192298053457113,0.8110464502115866
shop,True,1,1,0.0,0.0,0.2283602275288075,0.0599669034328271,0.7116728690383654
shop,True,2,1,0.0,0.0,0.2928277664025744,0.0853028367805537,0.6218693968168719
shop,True,3,1,0.0,0.0,0.4390700852751434,0.11056548768752,0.4503644270373366
shop,False,1,0,0.0,0.0,0.7028433949302199,0.0438992513102495,0.2532573537595305
shop,False,1,1,0.0,0.0,0.71920953612402,0.0414082713293824,0.2393821925465975
shop,False,2,1,0.0,0.0,0.6869894462996362,0.0422056691294586,0.2708048845709051
shop,False,3,1,0.0,0.0,0.7180426592016064,0.0499402373059391,0.2320171034924545
visit,True,1,0,0.0,0.0,0.1006707217352131,0.0567088308580954,0.8426204474066913
visit,True,1,1,0.0,0.0,0.2145945489505761,0.0,0.7854054510494239
visit,True,2,1,0.0,0.0,0.3630656719459663,0.1089718841474072,0.5279624439066264
visit,True,3,1,0.0,0.0,0.3320552184230914,0.0,0.6679447815769086
visit,False,1,0,0.0,0.0,0.3468699725907753,0.1929339393479367,0.4601960880612879
visit,False,1,1,0.0,0.0,0.1191609501752544,0.3972925014054971,0.4835465484192486
visit,False,2,1,0.0,0.0,0.1191609501752544,0.2613928767691187,0.619446173055627
visit,False,3,1,0.0,0.0,0.0,0.0,1.0
other,True,1,0,0.0,0.0,0.387091067448659,0.0348350718853892,0.5780738606659519
other,True,1,1,0.0,0.0,0.594240077603532,0.2040945654025231,0.2016653569939447
other,True,2,1,0.0,0.0,0.3261115000505619,0.0,0.6738884999494381
other,True,3,1,0.0,0.0,0.496656010006948,0.0,0.5033439899930519
other,False,1,0,0.0,0.0,0.3333417999090979,0.1102064708558483,0.5564517292350537
other,False,1,1,0.0,0.0,0.171465863776239,0.0,0.8285341362237609
other,False,2,1,0.0,0.0,0.2136634444675037,0.0446754859765918,0.7416610695559045
other,False,3,1,0.0,0.0,0.0866572495884613,0.0433286247942306,0.8700141256173081
