TAP,LINES
256,GG_054c_SB SF_LOWL SF_14X GG_72XaSB GG_027b_NB SF_NOWL SF_10 SF_KOWL SF_38La SF_14g GG_024a_NB SF_14a GG_054a_NB SF_1BXa AD_800c SF_1BX SF_1AXa SF_81X SF_31AXa SF_LOWLa SF_41c SF_71La GG_097_SB SF_14La SF_38BXa SF_14Xb SF_38AXa SF_14Xa SF_31BXa SF_31a SF_31c GG_024X_SB GG_72cSB SF_31AX SF_71a SF_38AX SF_NOWLa GG_058_NB GG_044_SB SF_41b SF_12 SF_30X GG_038_NB SF_KOWLa SF_6e SF_6d SF_6a GG_027c_SB GG_030_SB GG_018_NB SF_1c GG_027a_SB SF_9L SF_9b GG_056_SB SF_9d GG_101_SB SF_41 SF_1AX GG_024a_SB SF_5i SF_5j GG_054c_NB SF_CALIFORN GG_76SB GG_024X_NB SF_14f GG_058_SB SF_10a SF_10d GG_027c_NB GG_018_SB SF_108 SF_82X GG_004_SB SF_1 SF_38g SF_38f SF_38e SF_38h SF_21a SF_21b GG_002_NB SF_5h SF_21 GG_008_NB SF_CALIFORNc SF_108a SF_6 SF_38BX SF_82Xa SF_31BX GG_008_SB GG_002_SB GG_004_NB SF_31 GG_027a_NB SF_2a GG_027b_SB SF_2b SF_80X SF_9c GG_054a_SB GG_101X_SB SF_30Xa
263,SF_71a GG_101_NB GG_101X_NB SF_71La SF_5h SF_5i SF_5j SF_5d SF_5e SF_5f SF_5g SF_5a SF_5c
264,SF_21a SF_21b SF_LOWL SF_21 SF_71L SF_6 SF_9 SF_6a SF_NOWL SF_71a SF_9La SF_KOWL SF_NOWLa SF_19 SF_71 SF_KOWLa SF_6e SF_6d SF_19a SF_9L SF_LOWLa SF_71La SF_9a SF_9b SF_9c SF_9d SF_9e SF_9f
265,SF_21a SF_21b SF_LOWL SF_21 SF_71L SF_31a SF_31c SF_6 SF_5e SF_5f SF_5g SF_6a SF_NOWL SF_9 SF_9La SF_KOWL SF_NOWLa SF_38 SF_71 SF_31 SF_6e SF_6d SF_9L SF_38L SF_LOWLa SF_38c SF_38b SF_38a SF_9a SF_9b SF_9c SF_9d SF_9e SF_9f
268,SF_41 SF_30h SF_8BX SF_91 SF_45e SF_45d SF_45c SF_45a SF_41c SF_41b SF_39a SF_PowellMd SF_PowellMa SF_PowellMc SF_30i SF_39 SF_30c SF_30a SF_30g SF_30f SF_30e SF_30d SF_8BXa SF_91b SF_8Xa SF_8Xb SF_8Xc SF_PowellM
269,SF_91b SF_8Xa SF_8Xb SF_30h SF_45c SF_45e SF_45d SF_30g SF_30f SF_45a SF_41c SF_41b SF_8BX SF_PowellM SF_PowellMd SF_41 SF_PowellMa SF_PowellMc
270,SF_41c SF_41 SF_41b SF_10e SF_45e SF_45d SF_45c SF_12a SF_45a SF_PowellH SF_10 SF_10a SF_12 SF_PowellM SF_PowellMd SF_PowellHa SF_PowellMa SF_10d SF_PowellMc
279,SF_LOWL SF_49b SF_9La SF_71L SF_49f SF_49e SF_49d SF_6 SM_292a SF_14L SM_292c SF_9 SM_292e SM_292d SF_90a SF_71a SF_47a SF_KOWL SF_NOWLa SF_90 AD_800b SM_292 SF_6b SF_NOWL SM_397a SF_14g SF_14f SF_14a SM_391c SM_391a SM_391f SM_391d AD_800a AD_800c SF_71 SF_KOWLa SF_6e SF_6d SF_6a SF_9a SF_14La SF_LOWLa SM_KXa SM_397 SF_71La SF_9L SF_9b SF_9c SF_9d SF_9e SF_9f
287,GG_101_SB SF_21a SF_21b SF_14Xb SF_14Xa SF_21 SM_292 SF_71L SF_31a SF_31c GG_72XaSB SF_14 SF_6 SF_8BX SF_14L SM_292a SF_5e SF_5f SF_5g SM_292e GG_72cSB SF_71a SM_292b SF_9La SF_16Xa SF_KOWL SF_NOWLa SF_91 SF_45e SF_45d SF_45c SF_45a SM_292d SM_397a SF_14g SF_14f SF_14a SM_KXa SM_391c SM_397 SM_391a SF_NOWL SM_391f SM_391d SF_30h GG_76SB SF_71 SF_30c SF_30b SF_KOWLa SF_31 SF_30g SF_30f SF_30e SF_30d SF_6e SF_6d SF_6a SF_8BXa SF_9a SF_8AX SF_14X SF_81X SF_91b SF_8Xa SF_8Xb SF_8Xc SF_9L GG_101_NB SF_LOWL SF_LOWLa GG_101X_NB SF_9e GG_030_NB SF_9c GG_070_NB GG_101X_SB SM_292c SF_71La SF_9 SF_9b SF_14La SF_9d SF_8AXa SF_9f
288,SF_21a GG_101_SB GG_72XaNB SF_21b SF_27c SF_27b SF_27a SF_16X SF_21 GG_030_SB SF_71L SF_31a SF_27 SF_31c SF_6 SF_5i SF_14Xa SF_5e SF_5h SF_14Xb SM_292c SF_9 SF_NOWL SF_71a SM_292b SF_9La SF_16Xa SF_KOWL SF_NOWLa SF_LOWL SM_292 GG_76NB SM_292d SF_14g SF_14f SF_14a SM_391c SF_14 SF_5f SM_391f SF_PowellMc SF_PowellMb SF_5j SF_14L AD_800c SF_71 SF_KOWLa SF_31 SF_PowellHb GG_72cNB SF_PowellHa SF_6e SF_6d SF_9L SF_9a SF_5g SF_14X SF_14La GG_070_NB SF_LOWLa SF_PowellM GG_74aNB GG_030_NB SM_397 GG_101X_SB SF_71La SF_6a SF_9b SF_9c SF_9d SF_9e SF_9f
289,SF_21a SF_21b SF_14Xb SF_14Xa SF_71L GG_72XaSB SF_6 SM_292a GG_72cSB SF_9 SM_292e SF_NOWL SF_6a SF_9La SF_KOWL SF_NOWLa GG_76SB SF_LOWL SM_397a SF_14g SF_14f SF_14a SM_391a SM_391d SF_71 SF_KOWLa SF_6e SF_6d SF_9L SM_KX SF_LOWLa GG_101X_NB SF_9e GG_101_NB SF_9a SF_9b SF_9c SF_9d SM_KXa SF_9f
290,SF_21a GG_101_SB SF_21b SF_5h SF_LOWL SF_21 SF_71L SF_6 SF_5i SF_5j SM_292a SM_292c SM_292b SM_292e SM_292d GG_054b_NB SF_6a SF_71a SF_9 SF_9La SF_KOWL SF_NOWLa GG_092_NB SM_292 GG_024b_NB SF_NOWL SM_397a SF_14g SF_14f SF_14a SM_391c SF_19 SM_391a SM_391f SM_391d AD_800c SF_71 SF_KOWLa SF_6e SF_6d SF_19a SF_9L GG_030_SB SM_KX GG_070_NB SF_LOWLa SF_9e GG_030_NB SM_397 GG_101X_SB SF_71La SF_9a SF_9b SF_9c SF_9d SM_KXa SF_9f
