TAP,LINES
587,GG_101_SB GG_054b_SB SF_49b SF_49f SF_49e SF_49d SF_2 GG_070_SB SF_3a SF_90a GG_024b_SB SF_47a SF_90 SF_38La SF_38f SF_19a GG_030_SB SF_2b SF_38g GG_101X_SB SF_38e SF_38h
588,GG_101_SB SF_41 GG_101_NB GG_054b_SB SF_49b SF_49f SF_49e SF_49d GG_070_SB GG_097_SB GG_024X_SB GG_056_NB GG_054b_NB SF_90a SF_41c SF_47a SF_41a SF_90 SF_45f SF_45e SF_45d SF_45c SF_12 SF_45a GG_024X_NB SF_41b GG_024b_NB SF_10 SF_10a SF_19 SF_10e SF_10d GG_024b_SB SF_PowellHb SF_PowellHc SF_PowellHa GG_030_SB GG_101X_NB GG_030_NB GG_070_NB GG_101X_SB GG_056_SB SF_PowellH SF_12a
592,AD_Z AD_S AD_P AD_V AD_W AD_J AD_H AD_NLa AD_O AD_L AD_Oa AD_C AD_F AD_G AD_FS AD_Fa SF_38La AD_OX AD_Fb AD_Wa AD_NX4a SF_82Xa SF_81X AD_Eb AD_NX GG_101X_NB SF_71La AD_NL AD_Va SF_71L SM_292c SF_71a SM_292b SF_71 SF_41b AD_Ea AD_LAc AD_LAb SF_38e AD_LAd AD_SBa AD_La GG_030_SB AD_CBa AD_Ga AD_LC SM_397 GG_101_SB SF_41 AD_Sa AD_NX4 AD_NX2 AD_NX3 AD_NX1 SF_5h SF_5i SF_5j SM_292a SF_5e SF_5f SF_5g SM_292e SM_292d AD_SB SM_397a AD_OXa AD_NX3a AD_Ba AD_Bb AD_Ja SF_38L SF_108 SF_82X AD_Za SF_38c SF_38b SF_38a SF_30X SF_38g SF_38f AD_FSa SF_38h AD_NXC GG_101_NB SF_108a AD_800c AD_Ha SM_292 SM_391c GG_070_NB SM_391f SF_38 AD_Pa AD_CB SF_80X GG_030_NB AD_Ca GG_101X_SB SF_30Xa
597,GG_72XaNB GG_054c_SB GG_054c_NB GG_002_NB GG_044_NB GG_72XaSB GG_024a_SB GG_024X_SB GG_72cSB SF_10 GG_027b_NB GG_002_SB GG_044_SB GG_76SB GG_76NB GG_058_NB GG_008_SB SF_12 GG_024a_NB GG_058_SB SF_10a GG_004_NB SF_10d GG_054a_NB SF_82Xa GG_008_NB GG_72cNB GG_027c_NB GG_038_NB GG_027a_NB GG_027c_SB GG_018_SB GG_027b_SB GG_054a_SB SF_82X GG_018_NB GG_004_SB GG_038_SB GG_027a_SB GG_097_SB GG_056_SB GG_74aNB
598,VB_200b VB_200 VB_200a
601,GG_101_SB SF_27c SF_27b GG_101_NB SF_14X SF_27 SM_292a SF_14L SM_292c SM_292b SM_292e SM_292d SF_14Xa SM_292 SM_397a SF_14g SF_14f SF_14 SM_391c SF_14a SM_391a SM_391f SM_391d GG_101X_SB SF_14Xb GG_030_SB SM_KX GG_101X_NB GG_030_NB SM_397 GG_070_NB SF_14La SM_KXa
602,SM_391a SM_KXa SM_391d
603,AD_Z AD_LC SF_41 AD_Sa AD_NX3a AD_S AD_P AD_NX2 WC_LYNX AD_NX1 AD_J SF_38c AD_H AD_NLa AD_O AD_L AD_Oa AD_C SM_292c SM_292b AD_F SM_292d AD_FS AD_SB GG_030_NB SF_71L AD_Ca AD_NX3 AD_Ha SF_38b AD_NX4a SF_71 SM_292 SF_38a AD_OX AD_G AD_Ba SF_41b AD_Bb SM_391c SM_397 SM_391f AD_Wa AD_LAc AD_LAb SF_38 SF_80X AD_Eb SF_82Xa AD_LAd AD_SBa AD_V AD_NX4 AD_Pa AD_W AD_CB AD_La AD_CBa AD_Fb SF_38L AD_Ja SF_108 GG_070_NB AD_OXa AD_Za AD_NX AD_Ga WC_LYNXf WC_LYNXg WC_LYNXd WC_LYNXe WC_LYNXb WC_LYNXc AD_FSa WC_LYNXa AD_Ea AD_NL AD_Va AD_NXC AD_Fa
604,GG_101_SB GG_054c_NB GG_101_NB GG_044_NB SF_14X GG_008_NB SM_292a SF_14Xb SM_292e SF_14Xa GG_056_NB GG_058_NB SM_397a SF_14g GG_024a_NB SF_14 GG_038_NB SF_14a SM_391a GG_004_NB GG_054a_NB SM_391d SF_14L GG_027c_NB SF_14f GG_027a_NB GG_030_SB GG_027b_NB GG_018_NB SM_KX GG_101X_NB GG_030_NB GG_070_NB GG_101X_SB SF_14La SM_KXa
605,GG_101_SB SF_21a SF_21b SF_LOWL SF_21 SF_71L SF_6 SM_292a SM_292c SM_292b SM_292e SM_292d GG_054b_NB SF_6a SF_9 SF_KOWL SF_NOWLa GG_092_NB SM_292 GG_024b_NB SF_NOWL SM_397a SF_14g SF_14f SF_14a SM_391c GG_070_NB SM_391a SM_391f SM_391d AD_800c SF_71 SF_KOWLa SF_6e SF_6d SF_19a SF_9La GG_030_SB SM_KX SF_9L SF_LOWLa SF_9e GG_030_NB SM_397 GG_101X_SB SF_9a SF_9b SF_9c SF_9d SM_KXa SF_9f
606,GG_101_SB SF_14Xb GG_101_NB SM_292a SM_292c SM_292b SM_292e SM_292d SF_14Xa SM_292 SM_397a SF_14g SF_14f SF_14a SM_391c SM_391a SM_391f SM_391d SM_KX GG_101X_NB SM_397 GG_101X_SB SF_14La SM_KXa
607,GG_101_SB SF_14Xb SF_14Xa SF_14X SM_292a SF_14L SM_292c SM_292b SM_292e SM_292d SM_292 SM_397a SF_14g SF_14f SF_14a SM_391c SF_14 SM_391a SM_391f SM_391d SM_397 GG_101X_SB SF_14La SM_KXa
608,GG_101_SB GG_054b_SB GG_092_SB GG_070_SB SM_292a SF_14L SM_292c SM_292b SM_292e SM_292d GG_024b_SB SM_292 SM_397a SF_14g SF_14f SF_14a SM_391c SM_391a SM_391f SM_391d GG_030_SB SM_KX SM_397 GG_101X_SB SF_14La SM_KXa
609,SF_12a SM_KX SF_47a SF_27b SM_292 SF_12 SM_397 SF_27c SM_292c SM_292b SM_292d
611,SF_21a SF_21b SF_LOWL SF_21 SF_71L SF_31a SF_31c SF_5h SF_5i SF_5j SF_5e SF_5f SF_5g SF_6a SF_NOWL SF_71a SF_16Xa SF_KOWL SF_NOWLa SF_45e SF_45d SF_45c SF_30a SF_30i AD_800c SF_71 SF_30c SF_30b SF_KOWLa SF_31 SF_30e SF_PowellHa SF_6e SF_71La SF_9La SF_9a SF_30d SF_9L SF_6d SF_LOWLa SF_PowellM SF_6 SF_9b SF_9c SF_9d SF_9e SF_9f
612,GG_101_SB SF_21 SF_31c SF_108a SF_5e SF_5f SF_5g SF_71a SF_38La SF_38L GG_101X_SB SF_38 AD_800c SF_31 GG_030_SB SF_81X SF_108 SF_82X SF_38c SF_38b SF_38a SF_38g SF_38f SF_38e SF_71La SF_38h
613,AD_800a AD_800c SF_KOWL AD_800b SF_LOWLa SF_71 SF_71L SF_6 SF_NOWL
614,AO_FERRYg AO_FERRYd SF_39a AO_FERRYa VB_FERRY VB_FERRYa AO_FERRY AO_FERRYc
615,BG_TIBURON SF_Fa SF_Fb BG_TIBURONc BG_SAUSALIT BG_SAUSALITa BG_SAUSALITb BG_ANGELIS BG_TIBURONd BG_TIBURONe BG_ANGELISb BG_ANGELISc BG_ANGELISa
616,BG_TIBURONb BG_TIBURONc BG_TIBURONa BG_TIBURONd AO_FERRYf AO_FERRYd AO_FERRYe AO_FERRYb AO_FERRYc AO_FERRYa VB_FERRYb VB_FERRY VB_FERRYa AO_FERRY BG_ANGELISa GF_SF BG_SAUSALIT GF_LF HB_FERRY GF_SFa HB_FERRYa GF_LFa BG_ANGELIS
617,SF_F SF_Fa SF_Fc SF_Fb
618,SF_Fa SF_Fc SF_Fb GG_76SB GG_72XaSB SF_F GG_72cSB
633,SF_21a SF_21b SF_LOWL SF_21 SF_71L SF_6 SF_9L SF_9 GG_092_NB SF_NOWL GG_054b_NB SF_6a AD_800c SF_KOWL SF_NOWLa SF_71 GG_024b_NB SF_Fa SF_Fc SF_Fb SF_KOWLa SF_6e SF_6d SF_19a SF_9La SF_F SF_LOWLa GG_030_NB GG_070_NB SF_9a SF_9b SF_9c SF_9d SF_9e SF_9f
635,SF_21a SF_21b SF_LOWL SF_71L SF_31a SF_5h SF_5i SF_5j SF_NOWL SF_71a SF_9L SF_KOWL SF_NOWLa SF_Fb SF_38La SF_Fa SF_Fc SF_71 SF_KOWLa SF_6e SF_6d SF_6a SF_2b SF_9b SF_9c SF_F SF_LOWLa SF_38g SF_38f SF_38e SF_71La SF_9La SF_6 SF_38h SF_9d SF_9e SF_9f
651,SF_21a SF_21b SF_LOWL SF_71L SF_6 SF_9 SF_NOWL SF_9L SF_KOWL SF_NOWLa SF_Fb SF_Fa SF_Fc SF_71 SF_KOWLa SF_6e SF_6d SF_9La SF_9a SF_F SF_LOWLa SF_6a SF_9b SF_9c SF_9d SF_9e SF_9f
653,SF_Fa SF_F SF_NOWL SF_Fc SF_Fb
661,GG_101_SB SF_21a SF_21b SF_LOWL SF_21 SF_KTh SF_71L SF_6 SF_Lb SF_9 GG_092_NB SF_NOWL GG_054b_NB SF_Ja SF_71a SF_Jb SF_Je SF_9L SF_KOWL SF_NOWLa SF_Fb GG_024b_NB SF_19 SF_Fa SF_Fc SF_71 SF_KOWLa SF_6e SF_6d SF_19a SF_9La SF_KTj SF_9a SF_KTg SF_Nd SF_KTe SF_Na SF_KTb SF_KTa SF_Jd SF_Md SF_Sa SF_F SF_Ma SF_Mc SF_LOWLa SF_KTn AD_800c SF_L SF_M GG_030_NB SF_S GG_070_NB GG_101X_SB SF_71La SF_6a SF_9b SF_9c SF_9d SF_9e SF_9f
663,SF_21a SF_12a SF_21b SF_LOWL SF_21 SF_71L SF_31a SF_31c SF_38 SF_3 SF_F SF_6 SF_Nd SF_5e SF_5f SF_9 SF_6a SF_NOWL SF_2a SF_Ja SF_5g SF_Jb SF_Je SF_Jd SF_KOWL SF_NOWLa SF_45e SF_45d SF_45c SF_38b SF_10 SF_12 SF_10a SF_10e SF_KOWLa SF_30i SF_Fa SF_10d AD_800c SF_71 SF_30c SF_30b SF_30a SF_31 SF_30e SF_30d SF_6e SF_6d SF_9La SF_KTj SF_KTh SF_KTg SF_Lb SF_KTe SF_Na SF_KTb SF_KTa SF_38L SF_Md SF_2 SF_Sa SF_9L SF_Ma SF_KTn SF_LOWLa SF_Mc SF_L SF_M SF_38c SF_S SF_38a SF_Fc SF_Fb SF_3a SF_9a SF_9b SF_9c SF_9d SF_9e SF_9f
670,SF_91b SF_91c SF_91 SF_KTn SF_KTk SF_Nc SF_KT SF_KTg SF_Nd SF_KTe SF_KTd SF_Na SF_KTa SF_KTj
672,SF_Fa SF_F SF_Fc SF_Fb
675,SF_21a SF_21b SF_LOWL SF_21 SF_31a SF_31c SF_Ne SF_6 SF_Nd SF_5e SF_5f SF_5g SF_NOWL SF_Ja SF_KTd SF_Jb SF_Je SF_Jd SF_KOWL SF_NOWLa SF_KTa SF_M SF_38 SF_Fa SF_Fc SF_Fb SF_KTk SF_KOWLa SF_31 SF_KTg SF_6e SF_6d SF_KTm SF_9L SF_KTj SF_KTh SF_2a SF_Lb SF_KTe SF_2b SF_Na SF_KTb SF_Nc SF_38L SF_Md SF_Sa SF_F SF_Ma SF_KTn SF_J SF_LOWLa SF_Mc SF_S SF_L SF_Jg SF_38c SF_38b SF_38a SF_6a SF_9b SF_9c SF_9d
681,GG_72XaNB GG_054c_SB GG_72XaSB GG_024a_SB GG_044_NB GG_72cSB GG_002_SB GG_76SB GG_76NB GG_044_SB GG_058_SB SF_Fa SF_Fc SF_Fb GG_72cNB GG_027c_SB GG_027b_SB SF_F GG_054a_SB GG_038_SB GG_027a_SB GG_74aNB
682,SF_Nc SF_NOWLa SF_KTn SF_KTk SF_KTj SF_KTg SF_Nd SF_KTe SF_KTd SF_Na SF_NOWL SF_KTa
685,SF_KTa SF_NOWLa SF_KTn SF_KTk SF_KTj SF_KTg SF_Nd SF_KTe SF_KTd SF_Na SF_Nc
686,SF_21a SF_21b SF_27c SF_27b SF_27a SF_LOWL SF_71L SF_31a SF_27 SF_6 SF_8BX SF_Nd SF_9 SF_NOWL SF_Ja SF_71a SF_Jb SF_Je SF_Jd SF_KOWL SF_NOWLa SF_Fb SF_45a SF_KTb SF_16X SF_9a SF_PowellMc SF_PowellMb SF_Md SF_30h SF_Fa SF_Fc SF_71 SF_30g SF_KOWLa SF_PowellHb SF_30f SF_8AX SF_6e SF_KTn SF_6a SF_KTj SF_KTh SF_KTg SF_Lb SF_KTe SF_Na SF_F SF_KTa SF_16Xa SF_91b SF_8Xa SF_8Xb SF_9c SF_9L SF_Ma SF_6d SF_LOWLa SF_Mc SF_L SF_M SF_S SF_71La SF_9La SF_9b SF_Sa SF_9d SF_9e SF_9f
689,SF_F SF_Fa SF_Fc SF_Fb
690,SF_F SF_Fa SF_Fc SF_Fb
694,SF_F SF_Fa SF_Fc SF_Fb
696,SF_Fa SF_F SF_Fc SF_Fb
711,SF_91b SF_91c SF_KTn SF_KTk SF_KTj SF_KT SF_KTg SF_KTe SF_KTd SF_KTa
720,SF_KTa SF_NOWLa SF_KTn SF_KTk SF_KTj SF_KTg SF_Nd SF_KTe SF_KTd SF_Na SF_NOWL SF_Nc
726,SF_KTn SF_KTk SF_KTj SF_KT SF_KTg SF_KTe SF_KTd SF_KTa
735,GG_101_SB SF_21a SF_21b SF_LOWL SF_21 BA_BAYPTS SF_71L BA_FREMONT SF_6 SF_71a SF_9 BA_MILLRIC SF_NOWL GG_054b_NB BA_BAYPTSe BA_BAYPTSd BA_BAYPTSg BA_BAYPTSf SF_6a BA_BAYPTSc SF_NOWLa GG_092_NB GG_024b_NB SF_19 AD_800c SF_71 BA_DALYDUB SF_KOWLa SF_6e SF_6d SF_19a SF_9La BA_RICHMIL SF_9L SF_KOWL BA_SFIABAY BA_SFIABAYd BA_SFIABAYe BA_DUBLIND BA_SFIABAYa BA_SFIABAYb GG_030_NB BA_DALYFRE GG_070_NB GG_101X_SB SF_LOWLa SF_71La SF_9a SF_9b SF_9c SF_9d SF_9e SF_9f
736,SF_21a SF_41 SF_21b SF_14Xb SF_14Xa SF_21 BA_BAYPTS SF_31a SF_31c SF_2a BA_FREMONT SF_5e SF_5f SF_5g BA_MILLRIC BA_BAYPTSe BA_BAYPTSd BA_BAYPTSg BA_BAYPTSf BA_BAYPTSa BA_BAYPTSc SF_NOWLa SF_LOWL SF_38b SF_14g SF_14f SF_14a SF_38 SF_82Xa BA_DALYDUB SF_KOWLa SF_31 SF_6e SF_6d SF_9L BA_RICHMIL SF_2b SF_38L SF_80X SF_9c BA_SFIABAY BA_SFIABAYd BA_SFIABAYe BA_DUBLIND BA_BAYPTSb BA_SFIABAYa BA_SFIABAYb BA_SFIABAYc SF_38c BA_DALYFRE SF_38a SF_30X SF_9b SF_14La SF_9d
738,SF_12a SF_21 BA_BAYPTS SF_31c SF_71L SF_3 BA_FREMONT SF_6 SF_5e SF_5f SF_5g BA_MILLRIC SF_6a SF_2a BA_BAYPTSe BA_BAYPTSd BA_BAYPTSg BA_BAYPTSf BA_BAYPTSa BA_BAYPTSc BA_BAYPTSb SF_NOWL SF_10 SF_12 SF_10a SF_10e SF_10d SF_38 AD_800c SF_71 BA_DALYDUB SF_31 SF_9 SF_9La BA_RICHMIL SF_38L SF_2 SF_KOWL BA_SFIABAY BA_SFIABAYd BA_SFIABAYe BA_DUBLIND BA_DALYFRE BA_SFIABAYa BA_SFIABAYb BA_SFIABAYc SF_38c SF_38b SF_38a SF_LOWLa SF_9a SF_3a SF_9e SF_9f
739,SF_21a SF_21b SF_27c SF_27b SF_27a SF_16X SF_71L SF_31a SF_27 BA_FREMONT SF_6 SF_8BX SF_71a SF_9 BA_MILLRIC SF_NOWL BA_BAYPTSe BA_BAYPTSd BA_BAYPTSg BA_BAYPTSf SF_9La SF_16Xa SF_KOWL SF_NOWLa SF_LOWL SF_45a SF_PowellHb SF_PowellMc SF_PowellMb SF_30h SF_71 BA_DALYDUB SF_KOWLa SF_30g SF_30f SF_8AX SF_6e SF_6d SF_9L SF_9a BA_RICHMIL BA_BAYPTS SF_91b SF_8Xa SF_8Xb BA_BAYPTSc BA_SFIABAY BA_SFIABAYd SF_LOWLa BA_DUBLIND BA_SFIABAYa BA_SFIABAYb BA_DALYFRE BA_SFIABAYe SF_71La SF_6a SF_9b SF_9c SF_9d SF_9e SF_9f
742,SF_30b SF_NOWL SF_10 SF_47a SF_NOWLa SF_91 SF_45c SF_45a CT_SB_Limited07 CT_SB_Limited06 CT_SB_Limited05 CT_SB_Limited04 CT_SB_Local02 CT_SB_Limited02 CT_SB_Limited01 CT_SB_Local01 SF_10a CT_SB_Limited03 SF_10e SF_10d CT_SB_Limited08 SF_91b SF_30h SF_82Xa SF_30c SF_30g CT_NB_Local01 SF_30f SF_30d SF_81X SF_80X SF_91c SF_82X CT_NB_Limited01 CT_NB_Limited02 CT_NB_Limited03 CT_NB_Limited04 CT_NB_Limited05 CT_NB_Limited06 CT_SB_BB01 CT_SB_BB02 CT_NB_BB01 CT_NB_BB02
743,SF_F SF_Fa SF_Fc SF_Fb
744,SF_Fa SF_Fc SF_KOWL SF_71 SF_LOWLa SF_Fb SF_71L SF_F SF_NOWL SF_9La SF_9a SF_6 SF_9 SF_6a SF_9e SF_9f
745,SF_F SF_Fc SF_KOWL SF_71 SF_LOWLa SF_71L SF_NOWL SF_9La SF_9a SF_6 SF_9 SF_6a SF_9e SF_9f
746,SF_21a SF_21b SF_LOWL SF_71L SF_31a SF_6 SF_6a SF_NOWL SF_Fc SF_KOWL SF_NOWLa SF_45e SF_45d SF_45c SF_KOWLa SF_30i SF_Fa AD_800c SF_71 SF_30c SF_30b SF_30a SF_30e SF_30d SF_6e SF_6d SF_9La SF_F SF_9L SF_LOWLa SF_Fb SF_9a SF_9b SF_9c SF_9d SF_9e SF_9f
747,SF_21a SF_21b SF_LOWL SF_71L SF_31a SF_6 SF_8BX SF_9L SF_9 SF_NOWL SF_71a SF_16Xa SF_KOWL SF_NOWLa SF_71 SF_45a SF_30h SF_Fa SF_Fc SF_Fb SF_KOWLa SF_30g SF_30f SF_8AX SF_6e SF_6d SF_6a SF_9a SF_91b SF_8Xa SF_8Xb SF_F SF_LOWLa SF_71La SF_9La SF_9b SF_9c SF_9d SF_9e SF_9f
748,SF_21a SF_21b SF_27c SF_27b SF_27a SF_LOWL SF_71L SF_31a SF_27 SF_6 SF_9 SF_NOWL SF_9L SF_KOWL SF_NOWLa SF_16X SF_Fa SF_Fc SF_Fb SF_KOWLa SF_6e SF_6d SF_6a SF_9a SF_71 SF_F SF_LOWLa SF_9La SF_9b SF_9c SF_9d SF_9e SF_9f
749,SF_21a SF_71a SF_21b SF_Fa SF_Fc SF_NOWLa SF_21 SF_KOWLa SF_Fb SF_6e SF_6d SF_19a SF_9L SF_LOWL SF_9a SF_71La SF_19 SF_9b SF_9c SF_9d SF_F
750,SF_21a SF_21b SF_LOWL SF_71L SF_6 SF_9 SF_6a SF_NOWL SF_71a SF_KOWL SF_NOWLa SF_71 SF_Fa SF_Fc SF_Fb SF_KOWLa SF_6e SF_6d SF_9L SF_9a SF_F SF_LOWLa SF_71La SF_9La SF_9b SF_9c SF_9d SF_9e SF_9f
753,SF_Fa SF_39a SF_Fb
754,SF_Fa SF_F SF_Fc SF_Fb
755,VB_200 SF_F SF_Fc SF_Fb VB_200b VB_200a SF_Fa
768,GG_72XaSB GG_72cSB SF_Fa GG_76SB SF_Fb
769,SF_Fa SF_Fb
