MAZ,TAZ,level_0,index,MAZ_ORIGINAL,TAZ_ORIGINAL,DistID,DistName,CountyID,CountyName,ACRES,HH,POP,ag,art_rec,constr,eat,ed_high,ed_k12,ed_oth,fire,gov,health,hotel,info,lease,logis,man_bio,man_lgt,man_hvy,man_tech,natres,prof,ret_loc,ret_reg,serv_bus,serv_pers,serv_soc,transp,util,emp_total,publicEnrollGradeKto8,privateEnrollGradeKto8,publicEnrollGrade9to12,privateEnrollGrade9to12,comm_coll_enroll,EnrollGradeKto8,EnrollGrade9to12,collegeEnroll,otherCollegeEnroll,AdultSchEnrl,hstallsoth,hstallssam,dstallsoth,dstallssam,mstallsoth,mstallssam,park_area,hparkcost,numfreehrs,dparkcost,mparkcost,ech_dist,hch_dist,parkarea,MAZ_X,MAZ_Y,TotInt,EmpDen,RetEmpDen,DUDen,PopDen,IntDenBin,EmpDenBin,DuDenBin,PopEmpDenPerMi,mgra,mgraParkArea,lsWgtAvgCostM,lsWgtAvgCostD,lsWgtAvgCostH,TERMINALTIME
100004,4,3,124,10004,4,1,Downtown SF,1,San Francisco,429.555,665,2322,2,11,23,9,4,0,0,23,38,36,0,4,0,13,0,13,0,0,0,77,7,0,16,53,72,0,0,405,0.0,0.0,17.42308452,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,4,4788924.0,3753888.0,114,1.2137334440739715,0.014043196873583142,2.2449053287913623,5.831939044500885,2,1,1,34107.757944940065,100004,4,0.0,0.0,0.0,1
100027,27,26,33803,10027,27,1,Downtown SF,1,San Francisco,63.24800000000001,964,1543,3,61,200,400,23,0,5,648,3509,67,178,3280,0,330,0,330,0,11,0,4607,476,663,184,138,90,34,0,15387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2956.0,2956.0,2952.0,2952.0,2952.0,2952.0,0.0,7.646923077,0,12.631538462,252.637692308,1,1,1,4781153.0,3739926.0,118,257.4516085832312,20.64631771965428,21.462198551605493,33.78488354125246,2,3,3,32300.092911155927,100027,1,226.5130727234721,10.23382922302594,5.93229071025605,1
100028,28,27,7365,10028,28,1,Downtown SF,1,San Francisco,7.124,722,1409,0,0,0,191,0,0,1,35,0,12,17,0,0,3,0,3,0,0,0,8,88,4,17,38,0,0,0,424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,204.0,204.0,202.0,202.0,202.0,202.0,0.0,2.383333333,0,5.8,115.98666666700001,1,1,1,4777792.0,3744520.0,280,73.25824640150728,5.033502809987579,39.97940419951143,80.40212607770066,3,3,3,34235.50159224181,100028,1,158.95173461165726,9.496417071443766,4.708753901987056,1
100029,29,28,2686,10029,29,1,Downtown SF,1,San Francisco,7.771,674,1084,0,0,3,6,0,0,0,41,0,2,18,7,0,0,0,0,0,1,0,9,2,3,17,59,0,0,0,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.78,0,0.0,0.0,1,1,1,4776140.0,3742010.0,135,95.99701212388193,15.84148934132654,61.94671620922794,100.21642948803893,3,3,3,35830.94644856871,100029,1,264.8118029504816,11.253096305317282,5.773452760020971,1
100030,30,29,5202,10030,30,1,Downtown SF,1,San Francisco,11.638,384,653,0,4,37,490,28,0,0,49,0,34,729,8,0,4,0,4,6,0,0,54,7,4,40,301,4,12,0,1822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,806.0,806.0,805.0,805.0,805.0,805.0,0.0,6.96,0,18.913333333,378.26333333300005,1,1,1,4776971.0,3742093.0,139,144.46756777292796,23.33322076540563,61.13493798914282,100.56396531782148,3,3,3,34219.11899946122,100030,1,305.0132483277656,12.520678121754171,5.713264242765199,1
100031,31,30,8708,10031,31,1,Downtown SF,1,San Francisco,18.964000000000002,993,1195,0,14,10,728,1,0,0,61,0,12,4165,41,0,0,0,0,0,6,0,52,215,6,67,328,0,0,0,5722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1309.0,1309.0,1306.0,1306.0,1306.0,1306.0,0.0,5.868333333,0,11.316666667,226.34,1,1,1,4777066.0,3740191.0,85,137.27423060364774,26.426436092524717,61.03669846583434,89.0403518160128,2,3,3,32816.442671745186,100031,1,230.22091044934453,10.280379404653953,5.542525387861612,1
100032,32,31,2006,10032,32,1,Downtown SF,1,San Francisco,3.807,551,1007,0,0,7,18,0,0,0,26,0,0,13,0,0,2,0,2,0,0,0,4,10,3,1,6,20,0,0,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.78,0,0.0,0.0,1,1,1,4776106.0,3739919.0,86,132.38114240741356,22.295382409778338,63.157933631147024,93.05938907548432,2,3,3,34226.27431132491,100032,1,197.4106187478978,8.773914222129834,5.646339866860688,1
100033,33,32,2860,10033,33,1,Downtown SF,1,San Francisco,7.638,1177,1447,0,1,2,59,0,0,0,29,0,0,69,10,0,2,0,2,0,0,0,12,7,0,21,29,0,0,0,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,195.0,195.0,195.0,195.0,195.0,195.0,0.0,16.5,0,12.965,259.32,1,1,1,4776054.0,3740435.0,92,102.7939225802672,16.729223417565265,71.21427047112138,106.14353322202835,2,3,3,34057.42359442944,100033,1,215.33323387774988,9.313941921561494,5.773244322756004,1
100034,34,33,15969,10034,34,1,Downtown SF,1,San Francisco,15.257,895,1082,0,45,3,772,0,0,7,29,0,6,1420,15,0,9,0,9,0,0,0,195,203,3,24,272,6,0,0,3030,2.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0,0,715.0,715.0,714.0,714.0,714.0,714.0,0.0,8.91,0,16.005,320.101666667,1,1,1,4776997.0,3740704.0,89,140.63706411609914,26.51348029560532,62.047964955958605,92.95179868584844,2,3,3,32851.580700134604,100034,1,238.4983349570332,10.367853971410547,5.7361972636058125,1
100035,35,34,2713,10035,35,1,Downtown SF,1,San Francisco,7.572999999999999,1337,1624,0,0,0,39,0,0,0,42,6,41,24,0,0,0,0,0,0,0,0,2,6,0,0,57,18,0,0,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,2500.0,1.78,0,0.0,0.0,1,1,1,4776381.0,3739602.0,82,133.55038408546136,22.660098522167488,63.03908800936149,92.85997395390974,2,3,3,34141.24189159922,100035,1,180.5086925917258,8.361661520475394,5.272013238834834,1
100036,36,35,5417,10036,36,1,Downtown SF,1,San Francisco,7.569,1164,1961,0,9,5,17,0,0,0,45,189,0,18,7,0,4,0,4,0,0,0,17,13,5,6,84,86,0,0,521,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,41.0,41.0,40.0,40.0,40.0,40.0,0.0,4.39,0,3.5,70.0,1,1,1,4776414.0,3739260.0,82,134.69861153831837,23.490412816087108,63.363380425178434,92.98794524519954,2,3,3,32299.65993340368,100036,1,159.86072381172085,7.744761884628668,4.96076053885031,1
100037,37,36,7617,10037,37,1,Downtown SF,1,San Francisco,20.549,828,1582,0,22,46,139,0,0,1,252,59,197,37,312,0,93,0,93,5,0,0,238,265,80,38,64,122,0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,184.0,184.0,180.0,180.0,180.0,180.0,0.0,4.186666667,0,3.091666667,61.833333333,1,1,1,4777677.0,3738581.0,83,129.4847984239203,27.363863037031717,46.36506356649599,66.58115887006575,2,3,3,32597.56247944834,100037,1,132.20835444693316,6.815018010742674,3.787642549395832,1
100038,38,37,21544,10038,38,1,Downtown SF,1,San Francisco,35.934,1337,2307,0,0,118,21,0,0,0,65,0,6,0,9,0,10,0,10,3,0,0,383,9,54,4,53,12,0,0,759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,308.000000001,308.000000001,300.0,300.0,300.0,300.0,0.0,3.001073561,0,1.258888889,25.177777778000003,1,1,1,4782009.0,3739341.0,109,189.34113929932164,16.8701793513614,20.955301551900387,33.968961992379896,2,3,3,31017.52317395457,100038,1,137.82448448125393,8.716973024674774,5.653336048781815,1
100039,39,38,7792,10039,39,1,Downtown SF,1,San Francisco,39.565,626,800,0,17,73,200,0,0,16,288,0,42,3,406,0,62,0,62,0,6,0,639,118,173,69,66,0,16,0,2268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,333.000000004,333.000000004,329.0,329.0,329.0,329.0,7500.0,5.524812087000001,0,5.205714286,104.102857143,1,1,1,4781741.0,3738255.0,94,79.57377091366051,9.59422888047315,25.801913699117776,42.50496438083556,2,3,3,31782.830124628257,100039,1,124.31143102061421,8.832196446978498,4.7962032052679415,1
100080,80,79,28414,10081,81,1,Downtown SF,1,San Francisco,57.17,1315,2400,0,35,174,332,17,0,4,2692,120,30,10,305,0,231,0,231,0,3,18,1302,2294,41,132,207,224,60,253,8562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1554.0,1554.0,1548.0,1548.0,1548.0,1548.0,0.0,4.671,0,6.524,130.475,1,1,1,4783144.0,3741475.0,58,274.46997906244906,21.85591955968456,20.022316671054774,35.11427890823836,1,3,3,33092.1015549463,100080,1,154.8937213209222,10.543149831934064,6.094428997355242,1
100286,286,285,4778,10288,288,1,Downtown SF,1,San Francisco,118.994,199,340,0,0,85,50,0,0,0,30,0,6,0,10,0,28,260,28,0,0,0,360,68,16,17,25,0,132,0,1116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1872.738707264,1872.738707264,1872.0,1872.0,1872.0,1872.0,7387.072642,2.311632977,0,22.473333333000003,449.49,3,3,1,4783997.0,3735326.0,23,25.525491247995344,5.4475307761233225,12.844073349047182,22.172506092445367,1,2,3,32435.368741101094,100286,1,406.08888420801185,16.053700149122673,2.5787960976657462,1
100287,287,286,15476,10289,289,1,Downtown SF,1,San Francisco,63.875,62,117,0,60,142,33,203,0,6,58,4,39,5,18,0,8,0,8,19,0,0,128,44,45,28,53,3,207,9,1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.675217,0,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.6019999999999999,0,0.0,0.0,3,3,1,4779714.0,3733292.0,116,26.7503006320136,5.791170112876568,6.957091529407027,12.47371185817124,2,2,2,30314.75657051165,100287,1,23.83440187837873,1.2073539244108162,2.9130117266060043,1
