vehicle_type,GAS,DIESEL,HEV,PEV,EV
TRUCK_10YR,0.8952,0.1048,0.0000,0.0000,0.0000
TRUCK_11YR,0.8427,0.1569,0.0004,0.0000,0.0000
TRUCK_12YR,0.8593,0.1407,0.0000,0.0000,0.0000
TRUCK_13YR,0.8664,0.1332,0.0004,0.0000,0.0000
TRUCK_14YR,0.8623,0.1377,0.0000,0.0000,0.0000
TRUCK_15YR,0.8811,0.1189,0.0000,0.0000,0.0000
TRUCK_16YR,0.8654,0.1346,0.0000,0.0000,0.0000
TRUCK_17YR,0.8923,0.1077,0.0000,0.0000,0.0000
TRUCK_18YR,0.8479,0.1521,0.0000,0.0000,0.0000
TRUCK_19YR,0.9634,0.0366,0.0000,0.0000,0.0000
TRUCK_20PLUSYR,0.9212,0.0787,0.0001,0.0000,0.0000
MOTORCYCLE_1YR,0.9844,0.0000,0.0000,0.0000,0.0156
MOTORCYCLE_2YR,0.9908,0.0000,0.0000,0.0000,0.0092
MOTORCYCLE_3YR,0.9973,0.0000,0.0000,0.0000,0.0027
MOTORCYCLE_4YR,0.9968,0.0000,0.0000,0.0000,0.0032
MOTORCYCLE_5YR,0.9924,0.0000,0.0000,0.0000,0.0076
MOTORCYCLE_6YR,0.9821,0.0000,0.0000,0.0000,0.0179
MOTORCYCLE_7YR,0.9965,0.0000,0.0000,0.0000,0.0035
MOTORCYCLE_8YR,1.0000,0.0000,0.0000,0.0000,0.0000
MOTORCYCLE_9YR,0.9980,0.0000,0.0000,0.0000,0.0020
MOTORCYCLE_10YR,0.9964,0.0000,0.0000,0.0000,0.0036
MOTORCYCLE_11YR,0.9982,0.0000,0.0000,0.0000,0.0018
MOTORCYCLE_12YR,1.0000,0.0000,0.0000,0.0000,0.0000
MOTORCYCLE_13YR,1.0000,0.0000,0.0000,0.0000,0.0000
MOTORCYCLE_14YR,1.0000,0.0000,0.0000,0.0000,0.0000
MOTORCYCLE_15YR,1.0000,0.0000,0.0000,0.0000,0.0000
MOTORCYCLE_16YR,1.0000,0.0000,0.0000,0.0000,0.0000
MOTORCYCLE_17YR,1.0000,0.0000,0.0000,0.0000,0.0000
MOTORCYCLE_18YR,1.0000,0.0000,0.0000,0.0000,0.0000
MOTORCYCLE_19YR,1.0000,0.0000,0.0000,0.0000,0.0000
MOTORCYCLE_20PLUSYR,1.0000,0.0000,0.0000,0.0000,0.0000
