activity,interaction_ptypes,coefficient
# 2-way interactions,,
H,11,coef_H_11
H,12,coef_H_12
H,13,coef_H_13
H,14,coef_H_14
H,15,coef_H_15
H,16,coef_H_16
H,17,coef_H_17
H,18,coef_H_18
H,22,coef_H_22
H,23,coef_H_23
H,24,coef_H_24
H,25,coef_H_25
H,26,coef_H_26
H,27,coef_H_27
H,28,coef_H_28
H,33,coef_H_33
H,34,coef_H_34
H,35,coef_H_35
H,36,coef_H_36
H,37,coef_H_37
H,38,coef_H_38
H,44,coef_H_44
H,45,coef_H_45
H,46,coef_H_46
H,47,coef_H_47
H,48,coef_H_48
H,55,coef_H_55
H,56,coef_H_56_57_58
H,57,coef_H_56_57_58
H,58,coef_H_56_57_58
H,66,coef_H_66
H,67,coef_H_67
H,68,coef_H_68
H,77,coef_H_77
H,78,coef_H_78
H,88,coef_H_88
M,11,coef_M_11
M,12,coef_M_12
M,13,coef_M_13
M,16,coef_M_16
M,17,coef_M_17
M,18,coef_M_18
M,22,coef_M_22
M,23,coef_M_23
M,26,coef_M_26
M,27,coef_M_27
M,28,coef_M_28
M,33,coef_M_33
M,36,coef_M_36
M,37,coef_M_37
M,38,coef_M_38
M,66,coef_M_66
M,67,coef_M_67
M,68,coef_M_68
M,77,coef_M_77
M,78,coef_M_78
M,88,coef_M_88
N,11,coef_N_11
N,12,coef_N_12
N,13,coef_N_13
N,14,coef_N_14
N,15,coef_N_15
N,16,coef_N_16
N,17,coef_N_17
N,18,coef_N_18
N,22,coef_N_22
N,23,coef_N_23
N,24,coef_N_24
N,25,coef_N_25
N,26,coef_N_26
N,27,coef_N_27
N,28,coef_N_28
N,33,coef_N_33
N,34,coef_N_34
N,35,coef_N_35
N,36,coef_N_36
N,37,coef_N_37
N,38,coef_N_38
N,44,coef_N_44
N,45,coef_N_45
N,46,coef_N_46
N,47,coef_N_47
N,48,coef_N_48
N,55,coef_N_55
N,56,coef_N_56_57_58
N,57,coef_N_56_57_58
N,58,coef_N_56_57_58
N,66,coef_N_66
N,67,coef_N_67
N,68,coef_N_68
N,77,coef_N_77
N,78,coef_N_78
N,88,coef_N_88
# 3-way interactions,,
H,124,coef_H_124_122_144
H,122,coef_H_124_122_144
H,144,coef_H_124_122_144
H,126,coef_H_126_146
H,146,coef_H_126_146
H,222,coef_H_222_224_244
H,224,coef_H_222_224_244
H,244,coef_H_222_224_244
H,226,coef_H_226_246_446
H,246,coef_H_226_246_446
H,446,coef_H_226_246_446
H,266,coef_H_266_466
H,466,coef_H_266_466
M,111,coef_M_111
M,112,coef_M_112_114
M,114,coef_M_112_114
M,666,coef_M_666
N,112,coef_N_112_114
N,114,coef_N_112_114
N,124,coef_N_124_122_144
N,122,coef_N_124_122_144
N,144,coef_N_124_122_144
N,166,coef_N_166
N,222,coef_N_222_224_444
N,224,coef_N_222_224_444
N,444,coef_N_222_224_444
N,246,coef_N_246_226_446
N,226,coef_N_246_226_446
N,446,coef_N_246_226_446
# cdap_final_rules,,
M,5,coef_UNAVAILABLE
M,4,coef_UNAVAILABLE
# cdap_all_people,,
M,***,coef_M_xxx
N,***,coef_N_xxx
H,***,coef_H_xxx
M,****,coef_M_xxxx
N,****,coef_N_xxxx
H,****,coef_H_xxxx
M,*****,coef_M_xxxxx
N,*****,coef_N_xxxxx
H,*****,coef_H_xxxxx
