OMAZ,DMAZ,DISTBIKE
14967,17069,1.254
14967,17068,1.249333333
14967,17072,0.779333333
14967,17070,1.352
14964,17048,0.9985
14964,17047,1.201166667
14964,17070,1.4595
14964,17069,1.227666667
14964,17068,1.228333333
14964,17072,0.807333333
14965,17047,0.7105
14965,17048,0.493833333
14965,17070,0.82
14965,17069,0.696666667
14965,17068,0.880833333
14965,17072,0.337
14961,17072,1.135333333
14962,17048,1.638166667
14962,17047,1.7695
14962,17068,1.243666667
14962,17072,1.4795
14962,17070,1.658333333
14962,17069,1.472166667
14963,17048,1.727333333
14963,17047,1.969166667
14963,17069,1.731333333
14963,17068,1.775166667
14963,17072,1.6435
14963,17070,1.971166667
14959,17072,1.591833333
14959,17070,2.221166667
14960,17048,1.0115
14960,17047,1.038166667
14960,17070,1.1095
14960,17069,0.747166667
14960,17068,0.556333333
14960,17072,0.921
14961,17047,1.319
14961,17048,1.351833333
14961,17070,1.638833333
14961,17069,0.879666667
14961,17068,0.9375
14959,17048,1.944333333
14959,17047,1.916166667
14959,17069,1.586333333
14959,17068,1.523166667
14944,17048,1.9535
14944,17047,2.043666667
14944,17070,1.849
14944,17069,1.92
14944,17068,1.725666667
14944,17072,1.337833333
14941,17072,2.032833333
14939,17069,1.9285
14939,17068,1.819333333
14939,17072,2.5015
14939,17070,2.203666667
14940,17068,2.536666667
14941,17048,2.079166667
14939,17048,2.356666667
14939,17047,2.399833333
14967,14967,0.044166667
14967,14966,0.915833333
14965,14967,0.744166667
14965,14966,1.712833333
14965,14965,0.142166667
14965,14964,0.786666667
14966,14940,1.415333333
14966,14939,0.993166667
14966,14944,0.7715
14966,14941,0.657666667
14966,14960,1.7735
14966,14959,0.522166667
14966,14964,1.021166667
14966,14963,0.148166667
14966,14962,1.1125
14966,14961,1.186166667
14966,14967,0.955833333
14966,14966,0.074
14966,14965,1.450666667
14967,14941,1.3145
14967,14940,2.004166667
14967,14939,1.582166667
14967,14944,0.816833333
14967,14961,0.576166667
14967,14960,0.968833333
14967,14959,1.317333333
14967,14965,0.695166667
14967,14964,0.088333333
14967,14963,1.1365
14967,14962,1.1745
14963,14965,1.6195
14963,14964,1.254833333
14963,14963,0.074
14963,14962,0.9835
14963,14967,1.460666667
14963,14966,0.148166667
14964,14941,1.363833333
14964,14940,1.9695
14964,14939,1.442666667
14964,14944,0.844833333
14964,14962,0.979333333
14964,14961,0.487833333
14964,14960,0.949166667
14964,14959,1.229
14964,14966,1.004666667
14964,14965,0.791
14964,14964,0.044166667
14964,14963,1.102833333
14965,14939,2.75
14964,14967,0.088333333
14965,14941,2.2515
14965,14944,1.3085
14965,14959,1.904
14965,14963,1.7545
14965,14962,1.461666667
14965,14961,0.977833333
14965,14960,0.775333333
14959,14776,1.569
14959,14775,1.7275
14959,14774,1.905666667
14960,14753,1.5565
14960,14751,2.148
14960,14756,2.092833333
14960,14755,1.894666667
14961,14751,1.880333333
14961,14755,1.7525
14961,14753,1.375
14961,14756,1.917833333
14940,15294,2.178166667
14940,15297,2.3665
14940,15296,2.264666667
14940,15295,2.183333333
14959,14753,0.913166667
14959,14752,1.823833333
14959,14751,1.487
14959,14756,1.654666667
14959,14755,1.453666667
14959,14754,1.8065
14961,14963,1.2385
14967,14776,2.161833333
14961,14962,0.497166667
14961,14961,0.030166667
14961,14960,0.314666667
14961,14967,0.604166667
14961,14966,1.311666667
14961,14965,1.125166667
14961,14964,0.508833333
14962,14940,1.160666667
14962,14939,0.724166667
14962,14944,2.012166667
14962,14941,1.521666667
14962,14960,0.908833333
14962,14959,0.4325
14962,14964,1.044
14962,14963,1.082
14962,14962,0.122
14962,14961,0.500166667
14962,14967,1.436833333
14962,14966,1.119666667
14962,14965,1.455333333
14963,14941,0.700666667
14963,14940,1.301333333
14963,14939,0.865166667
14963,14944,0.798333333
14963,14961,1.215833333
14963,14960,1.344666667
14963,14959,0.365666667
14959,14961,0.662833333
14959,14960,0.892166667
14959,14959,0.087333333
14959,14965,2.083666667
14959,14964,1.294666667
14959,14963,0.378166667
14959,14962,0.603333333
14966,14751,1.968333333
14959,14967,1.477666667
14959,14966,0.631666667
14966,14756,1.9345
14966,14755,1.614333333
14960,14941,1.900666667
14960,14940,1.548
14966,14753,1.4475
14960,14939,1.111666667
14960,14944,1.693833333
14966,14776,1.911666667
14960,14962,0.678166667
14960,14961,0.311
14960,14960,0.068833333
14960,14959,0.82
14960,14966,1.434
14960,14965,0.8395
14960,14964,0.925
14960,14963,1.299
14967,14753,2.099166667
14961,14939,0.9305
14960,14967,0.999666667
14967,14756,2.171666667
14961,14941,1.7265
14961,14940,1.367
14961,14944,1.4975
14961,14959,0.638833333
14963,14776,1.840666667
14963,14775,2.1655
14963,14774,1.958333333
14964,14753,1.7845
14964,14756,2.086333333
14964,14776,2.037833333
14959,14941,1.160666667
14959,14940,0.934666667
14959,14939,0.499
14959,14944,1.266666667
14961,14774,2.061333333
14961,14776,1.861
14962,14752,1.9275
14962,14751,1.603
14962,14756,1.706
14962,14755,1.447333333
14962,14754,1.9515
14962,14753,1.107
14962,14776,1.657666667
14962,14775,2.003166667
14962,14774,1.794
14963,14753,1.228666667
14963,14751,1.744833333
14963,14756,1.881333333
14963,14755,1.612333333
14944,14754,2.152833333
14944,14753,1.919666667
14944,14756,1.441833333
14944,14755,1.801
14944,14776,1.400333333
14944,14775,2.106666667
14941,14753,1.875666667
14939,14753,0.402166667
14939,14752,1.327166667
14939,14751,1.040666667
14939,14756,0.972666667
14939,14755,0.684833333
14939,14754,1.325666667
14939,14776,0.997333333
14939,14775,1.390666667
14939,14774,1.386833333
14940,14754,1.015166667
14940,14753,0.601
14940,14752,1.5105
14940,14751,1.2235
14940,14756,0.526666667
14940,14755,0.332166667
14940,14774,1.1515
14940,14776,0.513333333
14940,14775,0.944666667
14944,14941,1.161
14944,14940,1.6315
14944,14939,1.6415
14944,14944,0.181666667
14944,14962,2.156666667
14944,14961,1.550166667
14944,14960,1.755166667
14944,14959,1.345
14944,14966,0.7625
14944,14965,1.331
14944,14964,1.016333333
14944,14963,0.803666667
14944,14967,0.982166667
14941,14941,0.328833333
14941,14940,1.823666667
14941,14944,1.1735
14941,14959,1.0725
14941,14963,0.698833333
14941,14962,1.569333333
14941,14961,1.899833333
14941,14960,2.157
14941,14967,1.382666667
14941,14966,0.657666667
14941,14965,1.929833333
14941,14964,1.389333333
14939,14941,1.539166667
14939,14940,0.436333333
14939,14939,0.100666667
14939,14944,1.831666667
14939,14961,1.373
14939,14960,1.6055
14939,14959,0.515333333
14939,14965,2.346833333
14939,14964,1.923833333
14939,14963,0.9005
14939,14962,0.977833333
14939,14967,1.647833333
14939,14966,1.017666667
14940,14941,1.966333333
14940,14940,0.166
14940,14939,0.436333333
14940,14944,1.734666667
14940,14962,1.5435
14940,14961,1.717
14940,14960,1.832
14940,14959,0.953333333
14940,14966,1.503666667
14940,14964,2.250166667
14940,14963,1.665833333
14941,14939,1.403
14940,14967,2.169333333
14753,17069,2.445833333
14753,17068,2.907833333
14775,15295,1.964333333
14775,15294,1.977833333
14776,15294,1.750833333
14776,15293,2.039666667
14776,15292,2.2805
14776,15297,1.909333333
14776,15296,1.851166667
14776,15295,1.732333333
14774,15295,2.225166667
14775,14776,0.442666667
14775,14775,0.201333333
14775,14774,0.402666667
14776,14754,0.481666667
14776,14753,1.333666667
14776,14752,1.050833333
14776,14751,0.727666667
14776,14756,0.038
14776,14755,0.288333333
14776,14774,0.719666667
14776,14776,0.019
14776,14775,0.444
14774,14752,0.811166667
14774,14751,0.502833333
14774,14756,0.662333333
14774,14755,0.912666667
14774,14754,0.607166667
14774,14753,1.618666667
14774,14776,0.6245
14774,14775,0.388
14774,14774,0.153
14775,14753,1.763666667
14775,14752,0.964166667
14775,14751,0.6495
14775,14756,0.4805
14775,14755,0.730833333
14775,14754,0.4295
14755,15297,2.2525
14755,15296,2.187666667
14755,15295,2.017333333
14755,15294,2.1395
14756,15294,1.912166667
14756,15293,2.26
14756,15292,2.473333333
14756,15297,2.129333333
14756,15296,2.069
14756,15295,1.851333333
14776,14940,0.499666667
14776,14939,0.974166667
14776,14944,1.69
14776,14962,1.765
14776,14961,1.946833333
14776,14959,1.902666667
14776,14966,1.980666667
14776,14964,2.7685
14776,14963,1.9095
14776,14967,2.307833333
14774,14940,1.231
14774,14939,1.359833333
14774,14959,1.775666667
14774,14963,2.0845
14774,14962,1.946333333
14774,14961,2.2115
14775,14940,0.944
14775,14939,1.263833333
14775,14944,2.4535
14775,14959,1.718333333
14775,14963,2.108333333
14775,14962,1.965166667
14755,14961,2.263333333
14755,14960,2.750833333
14755,14959,1.6655
14755,14963,2.284333333
14755,14962,1.9805
14755,14966,2.154
14756,14940,0.541
14756,14939,1.151666667
14756,14944,2.154166667
14756,14962,2.052666667
14756,14961,2.285166667
14756,14960,2.538666667
14756,14959,1.536
14756,14966,2.370833333
14756,14964,3.0785
14756,14963,2.2925
14756,14967,2.522
14753,14944,2.267
14753,14959,0.971
14753,14963,1.4785
14753,14962,1.570666667
14753,14961,1.680166667
14753,14960,1.894166667
14753,14967,2.367833333
14753,14966,1.441
14753,14964,2.485666667
14754,14940,1.057166667
14754,14939,1.5665
14754,14944,2.253166667
14754,14959,1.894333333
14754,14962,2.203
14755,14940,0.356666667
14755,14939,0.964666667
14755,14944,1.741166667
14751,14961,2.097833333
14751,14960,2.309166667
14751,14959,1.4735
14751,14963,1.883833333
14751,14962,1.746
14751,14966,1.9985
14752,14940,1.711666667
14752,14939,1.356833333
14752,14962,2.4375
14752,14959,1.806166667
14753,14939,0.472333333
14753,14941,1.838833333
14753,14940,0.613166667
14755,14756,0.250333333
14755,14755,0.125166667
14755,14754,0.769833333
14755,14776,0.288333333
14755,14775,0.729
14755,14774,0.999833333
14756,14754,0.5195
14756,14753,1.4815
14756,14752,1.0685
14756,14751,0.7725
14756,14756,0.019
14756,14755,0.250333333
14756,14774,0.747833333
14756,14776,0.038
14756,14775,0.478666667
14751,14940,1.444833333
14751,14939,1.056166667
14754,15295,1.974833333
14754,15294,2.032833333
14751,15295,2.237
14753,14755,0.914833333
14753,14754,1.6155
14753,14753,0.236166667
14753,14752,2.1475
14753,14756,1.155
14753,14775,1.562166667
14753,14774,1.760833333
14753,14776,1.111666667
14754,14752,1.003666667
14754,14751,0.71
14754,14756,0.5195
14754,14755,0.769833333
14754,14754,0.213833333
14754,14753,1.859666667
14754,14776,0.481666667
14754,14775,0.427666667
14754,14774,0.727166667
14755,14753,1.357166667
14755,14752,1.307166667
14755,14751,1.014333333
14751,14753,1.4465
14751,14752,0.508333333
14751,14751,0.175333333
14751,14756,0.7615
14751,14755,1.170333333
14751,14754,0.7085
14751,14776,0.723666667
14751,14775,0.723166667
14751,14774,0.501
14752,14754,1.040333333
14752,14753,1.808333333
14752,14752,0.169166667
14752,14751,0.504833333
14752,14756,1.092666667
14752,14755,1.359666667
14752,14774,0.811833333
14752,14776,1.054666667
14752,14775,1.055333333
14753,14751,1.7375
17139,17139,0.165
17139,16759,0.721166667
17139,16760,0.721166667
17139,16761,0.785166667
17139,16766,1.1775
17139,16769,2.320666667
17139,16764,1.263
17139,16765,0.7205
17139,16774,0.596166667
17139,16775,1.561166667
17139,16770,1.636833333
17139,16771,2.049333333
17139,16772,1.544166667
17139,16773,1.216166667
17139,16783,0.785166667
17139,16784,1.478833333
17139,16785,1.646
17139,16779,0.777833333
17139,16780,0.647833333
17139,16781,1.886333333
17139,16791,1.779833333
17139,16792,1.244166667
17139,16786,1.8925
17139,16787,1.890333333
17139,16788,1.755833333
17139,16789,2.394833333
17125,17125,0.109333333
17125,17139,0.815
17125,17134,0.851333333
17125,17135,1.026
17134,16783,1.631166667
17134,16784,2.0425
17135,16765,2.486166667
17135,16759,1.945166667
17135,16760,1.6975
17135,16761,2.096833333
17135,16779,1.7365
17135,16780,1.6445
17135,16774,1.5345
17135,16783,2.072666667
17139,17125,0.815
17139,17134,2.213833333
17139,17135,2.104166667
17135,17139,1.972166667
