MAZ,TAZ,COUNTY,DISTRICT,SD,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,totint,popden,retempden,access_dist_transit
100517,3395,1,1,1,97,258,7.8641,3.14564,4.718459999999999,56,48,52,0,3,1,0,0,0,0,4,0,0.0,0.0,1,1,267.0,31.1999,3.578,0.333
100518,3395,1,1,1,123,336,6.023,2.4092,3.6138,176,45,0,23,124,28,1,0,0,0,4,0,0.0,0.0,1,1,277.0,30.8937,3.7597,0.333
100519,3315,1,1,1,95,211,6.832,2.7328,4.0992,15,33,0,2,11,2,0,0,0,0,4,0,0.0,0.0,1,1,236.0,35.63,1.7479,0.333
100520,3315,1,1,1,0,0,3.83,1.532,2.298,85,0,71,14,0,0,0,0,0,0,4,0,0.0,0.0,1,1,239.0,35.4717,1.1997,0.333
100521,3315,1,1,1,224,510,10.2258,4.09032,6.135479999999999,16,85,0,2,9,5,0,0,0,0,4,0,0.0,0.0,1,1,258.0,32.1321,1.8088,0.333
100522,3315,1,1,1,96,224,5.4792,2.19168,3.28752,10,43,0,0,9,1,0,0,0,0,4,0,0.0,0.0,1,1,253.0,29.9523,1.657,0.333
100523,3315,1,1,1,284,649,12.6757,5.07028,7.60542,10,109,0,0,6,4,0,0,0,0,4,0,0.0,0.0,1,1,244.0,35.6911,1.5845,0.333
100524,3314,1,1,1,56,126,4.6409,1.85636,2.78454,1,20,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,238.0,35.6146,1.6718,0.333
100525,3315,1,1,1,164,374,7.5961,3.03844,4.557659999999999,11,47,0,0,9,2,0,0,0,0,4,0,0.0,0.0,1,1,245.0,33.2712,1.5739,0.333
100526,3315,1,1,1,11,27,2.7779,1.11116,1.66674,23,6,23,0,0,0,0,0,0,0,4,0,0.0,0.0,1,1,254.0,35.5734,1.3513,0.333
100527,3314,1,1,1,3,9,1.2884,0.51536,0.77304,9,2,0,2,0,4,0,3,0,0,4,0,0.0,0.0,1,1,263.0,34.0234,1.8011,0.333
100528,3315,1,1,1,110,297,6.777,2.7108000000000003,4.0662,4,58,0,1,0,3,0,0,0,0,4,0,0.0,0.0,1,1,243.0,32.6349,1.763,0.333
100529,3315,1,1,1,150,334,5.6399,2.25596,3.38394,10,51,0,0,8,2,0,0,0,0,4,0,0.0,0.0,1,1,240.0,35.08,1.9073,0.333
100530,3314,1,1,1,46,114,5.1289,2.05156,3.07734,1,15,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,238.0,35.6146,1.6718,0.333
100531,3315,1,1,1,73,183,10.2692,4.10768,6.161519999999999,4,31,0,0,3,1,0,0,0,0,4,0,0.0,0.0,1,1,236.0,35.7092,1.9092,0.333
100532,3314,1,1,1,73,206,9.5139,3.80556,5.70834,1,50,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,250.0,35.6887,1.9922,0.333
100533,3314,1,1,1,31,60,3.7798,1.51192,2.26788,14,3,3,1,7,3,0,0,0,0,4,0,0.0,0.0,1,1,254.0,35.4016,1.6554,0.333
100534,3314,1,1,1,0,0,1.6961,0.67844,1.01766,7,0,4,3,0,0,0,0,0,0,4,0,0.0,0.0,1,1,259.0,34.1476,2.3818,0.333
100535,3314,1,1,1,2,2,1.9659,0.7863600000000001,1.17954,110,0,53,6,42,2,0,7,0,0,4,0,0.0,0.0,1,1,239.0,36.371,2.7391,0.333
100536,3314,1,1,1,50,114,2.8331,1.13324,1.69986,8,19,0,0,7,1,0,0,0,0,4,0,0.0,0.0,1,1,235.0,34.6863,1.7014,0.333
100537,3314,1,1,1,202,469,11.1697,4.46788,6.7018200000000006,17,84,0,0,15,2,0,0,0,0,4,0,0.0,0.0,1,1,229.0,31.0584,2.081,0.333
100538,3314,1,1,1,81,191,8.5049,3.40196,5.102939999999999,8,19,0,4,3,1,0,0,0,0,4,0,0.0,0.0,1,1,257.0,35.9217,1.9436,0.333
100539,3314,1,1,1,44,106,5.7038,2.28152,3.42228,4,22,0,0,3,1,0,0,0,0,4,0,0.0,0.0,1,1,245.0,34.2675,1.5381,0.333
100540,3314,1,1,1,136,329,5.5054,2.20216,3.30324,7,54,0,0,5,2,0,0,0,0,4,0,0.0,0.0,1,1,250.0,33.096,1.7434,0.333
100541,3314,1,1,1,118,298,12.6816,5.07264,7.60896,16,55,0,1,12,3,0,0,0,0,4,0,0.0,0.0,1,1,211.0,33.6262,1.7606,0.333
