Description,Expression,Coefficient
Escort Tour Departure Constants -- PM peak (16 to 18),(tour_type == 'escort') & (start > 15) & (start < 19),-1.180140161
Escort Tour Departure Constants -- Evening (19 to 21),(tour_type == 'escort') & (start > 18) & (start < 22),-3.948732811
Escort Tour Departure Constants -- Late (22 and later),(tour_type == 'escort') & (start > 21),-8.228880141
Escort Tour Arrival Constants -- Early (up to 6),(tour_type == 'escort') & (end < 7),0
Escort Tour Arrival Constants -- AM peak (7 to 9),(tour_type == 'escort') & (end > 6) & (end < 10),0
Escort Tour Arrival Constants -- Midday 1 (10 to 12),(tour_type == 'escort') & (end > 9) & (end < 13),0
Escort Tour Arrival Constants -- Midday 2 (13 to 14),(tour_type == 'escort') & (end > 12) & (end < 15),0
Escort Tour Arrival Constants -- PM peak 1 (15),(tour_type == 'escort') & (end == 15),0
Escort Tour Arrival Constants -- PM peak 2 (16),(tour_type == 'escort') & (end == 16),0
Escort Tour Arrival Constants -- PM peak 3 (17),(tour_type == 'escort') & (end == 17),0
Escort Tour Arrival Constants -- PM peak 4 (18),(tour_type == 'escort') & (end == 18),0
Escort Tour Arrival Constants -- Evening (19 to 21),(tour_type == 'escort') & (end > 18) & (end < 22),-0.536918728
Escort Tour Arrival Constants -- Late (22 and later),(tour_type == 'escort') & (end > 21),-1.008290213
Escort Tour Duration Constants -- 0 to 1 hours,(tour_type == 'escort') & (duration < 2),0
Escort Tour Duration Constants -- 2 to 3 hours,(tour_type == 'escort') & (duration > 1) & (duration < 4),-2.042013897
Escort Tour Duration Constants -- 4 to 5 hours,(tour_type == 'escort') & (duration > 3) & (duration < 6),-2.880293896
Escort Tour Duration Constants -- 6 to 7 hours,(tour_type == 'escort') & (duration > 5) & (duration < 8),-2.973533731
Escort Tour Duration Constants -- 8 to 10 hours,(tour_type == 'escort') & (duration > 7) & (duration < 11),-3.020213758
Escort Tour Duration Constants -- 11 to 13 hours,(tour_type == 'escort') & (duration > 10) & (duration < 14),-2.974364976
Escort Tour Duration Constants -- 14 to 18 hours,(tour_type == 'escort') & (duration > 13) & (duration < 19),-2.507447146
