Description,Expression,Alternatives,EatOut,OthDiscr,OthMaint,Shopping,Social,Escort,School,University,Work,WorkBased
Drive to Light rail/Ferry - Walk other time (outbound),c_waux*DRV_LRF_WLK_WAUX[tripPeriod]/100,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - Fare and operating cost  (outbound),c_cost*(DRV_LRF_WLK_FAR[tripPeriod]+(DRV_LRF_WLK_DDIST[tripPeriod]/100*costPerMile)),DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - Ratio of drive access distance to OD distance (outbound),c_dacc_ratio*(DRV_LRF_WLK_DDIST[tripPeriod]/100/shortest_dist),DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry  - Destination zone densityIndex (outbound),c_densityIndex*densityIndex,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry  - Topology (outbound),c_topology_trn*tripTopology,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry  - Person is less than 10 years old (outbound),c_age010_trn,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - Unavailable (inbound),(driveLrfAvailableInbound)==0,DRIVE_LRF,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Light rail/Ferry - Unavailable for zero auto households (inbound),1,DRIVE_LRF,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Light rail/Ferry - Unavailable for persons less than 16 (inbound),1,DRIVE_LRF,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Light rail/Ferry - In-vehicle time (inbound),c_ivt*WLK_LRF_DRV_TOTIVT[tripPeriod]/100,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - In-vehicle time on Light Rail (incremental w/ ivt) (inbound),(c_ivt_lrt-c_ivt)*WLK_LRF_DRV_KEYIVT[tripPeriod]/100,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - In-vehicle time on Ferry (incremental w/ keyivt) (inbound),(c_ivt_ferry-c_ivt_lrt)*WLK_LRF_DRV_FERRYIVT[tripPeriod]/100,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
drive to Lrf - Short iwait time (inbound),"c_shortiWait*min(WLK_LRF_DRV_IWAIT[tripPeriod]/100,waitThresh)",DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
drive to Lrf - Long iwait time (inbound),"c_longiWait*max(WLK_LRF_DRV_IWAIT[tripPeriod]/100-waitThresh,0)",DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
drive to Lrf - transfer wait time (inbound),c_xwait*WLK_LRF_DRV_XWAIT[tripPeriod]/100,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
drive to Lrf - number of transfers (inbound),"c_xfers_drv*max(WLK_LRF_DRV_BOARDS[tripPeriod]-1,0)",DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - Drive time (inbound),c_dtim*WLK_LRF_DRV_DTIM[tripPeriod]/100,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - Walk access time (inbound),c_wacc*originWalkTime,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - Walk other time (inbound),c_waux*WLK_LRF_DRV_WAUX[tripPeriod]/100,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - Fare and operating cost  (inbound),c_cost*(WLK_LRF_DRV_FAR[tripPeriod]+(WLK_LRF_DRV_DDIST[tripPeriod]/100*costPerMile)),DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - Ratio of drive access distance to OD distance (inbound),c_dacc_ratio*(WLK_LRF_DRV_DDIST[tripPeriod]/100/shortest_dist),DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry  - Destination zone densityIndex (inbound),c_densityIndex*densityIndex,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry  - Topology (inbound),c_topology_trn*tripTopology,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry  - Person is less than 10 years old (inbound),c_age010_trn,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - Unavailable (outbound),(driveExpressAvailableOutbound)==0,DRIVE_EXP,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Express bus - Unavailable for zero auto households (outbound),1,DRIVE_EXP,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Express bus - Unavailable for persons less than 16 (outbound),1,DRIVE_EXP,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Express bus - In-vehicle time (outbound),c_ivt*DRV_EXP_WLK_TOTIVT[tripPeriod]/100,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - In-vehicle time on Express bus (incremental w/ ivt) (outbound),(c_ivt_exp-c_ivt)*DRV_EXP_WLK_KEYIVT[tripPeriod]/100,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
drive to exp - Short iwait time (outbound),"c_shortiWait*min(DRV_EXP_WLK_IWAIT[tripPeriod]/100,waitThresh)",DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
drive to exp - Long iwait time (outbound),"c_longiWait*max(DRV_EXP_WLK_IWAIT[tripPeriod]/100-waitThresh,0)",DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
drive to exp - transfer wait time (outbound),c_xwait*DRV_EXP_WLK_XWAIT[tripPeriod]/100,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
drive to exp - number of transfers (outbound),"c_xfers_drv*max(DRV_EXP_WLK_BOARDS[tripPeriod]-1,0)",DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - Drive time (outbound),c_dtim*DRV_EXP_WLK_DTIM[tripPeriod]/100,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - Walk egress time (outbound),c_wegr*destinationWalkTime,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - Walk other time (outbound),c_waux*DRV_EXP_WLK_WAUX[tripPeriod]/100,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - Fare and operating cost (outbound),c_cost*(DRV_EXP_WLK_FAR[tripPeriod]+(DRV_EXP_WLK_DDIST[tripPeriod]/100*costPerMile)),DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - Ratio of drive access distance to OD distance (outbound),c_dacc_ratio*(DRV_EXP_WLK_DDIST[tripPeriod]/100/shortest_dist),DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus  - Destination zone densityIndex (outbound),c_densityIndex*densityIndex,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus  - Topology (outbound),c_topology_trn*tripTopology,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus  - Person is less than 10 years old (outbound),c_age010_trn,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - Unavailable (inbound),(driveExpressAvailableInbound)==0,DRIVE_EXP,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Express bus - Unavailable for zero auto households (inbound),1,DRIVE_EXP,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Express bus - Unavailable for persons less than 16 (inbound),1,DRIVE_EXP,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Express bus - In-vehicle time (inbound),c_ivt*WLK_EXP_DRV_TOTIVT[tripPeriod]/100,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - In-vehicle time on Express bus (incremental w/ ivt) (inbound),(c_ivt_exp-c_ivt)*WLK_EXP_DRV_KEYIVT[tripPeriod]/100,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
drive to exp - Short iwait time (inbound),"c_shortiWait*min(WLK_EXP_DRV_IWAIT[tripPeriod]/100,waitThresh)",DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
drive to exp - Long iwait time (inbound),"c_longiWait*max(WLK_EXP_DRV_IWAIT[tripPeriod]/100-waitThresh,0)",DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
drive to exp - transfer wait time (inbound),c_xwait*WLK_EXP_DRV_XWAIT[tripPeriod]/100,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
drive to exp - number of transfers (inbound),"c_xfers_drv*max(WLK_EXP_DRV_BOARDS[tripPeriod]-1,0)",DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - Drive time (inbound),c_dtim*WLK_EXP_DRV_DTIM[tripPeriod]/100,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - Walk access time (inbound),c_wacc*originWalkTime,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - Walk other time (inbound),c_waux*WLK_EXP_DRV_WAUX[tripPeriod]/100,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - Fare and operating cost  (inbound),c_cost*(WLK_EXP_DRV_FAR[tripPeriod]+(WLK_EXP_DRV_DDIST[tripPeriod]/100*costPerMile)),DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus - Ratio of drive access distance to OD distance (inbound),c_dacc_ratio*(WLK_EXP_DRV_DDIST[tripPeriod]/100/shortest_dist),DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus  - Destination zone densityIndex (inbound),c_densityIndex*densityIndex,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus  - Topology (inbound),c_topology_trn*tripTopology,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to Express bus  - Person is less than 10 years old (inbound),c_age010_trn,DRIVE_EXP,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - Unavailable (outbound),(driveHeavyRailAvailableOutbound)==0,DRIVE_HVY,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to heavy rail - Unavailable for zero auto households (outbound),1,DRIVE_HVY,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to heavy rail - Unavailable for persons less than 16 (outbound),1,DRIVE_HVY,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to heavy rail - In-vehicle time (outbound),c_ivt*DRV_HVY_WLK_TOTIVT[tripPeriod]/100,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - In-vehicle time on heavy rail (incremental w/ ivt) (outbound),(c_ivt_hvy-c_ivt)*DRV_HVY_WLK_KEYIVT[tripPeriod]/100,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
drive to HeavyRail - Short iwait time (outbound),"c_shortiWait*min(DRV_HVY_WLK_IWAIT[tripPeriod]/100,waitThresh)",DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
drive to HeavyRail - Long iwait time (outbound),"c_longiWait*max(DRV_HVY_WLK_IWAIT[tripPeriod]/100-waitThresh,0)",DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
drive to HeavyRail - transfer wait time (outbound),c_xwait*DRV_HVY_WLK_XWAIT[tripPeriod]/100,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
drive to HeavyRail - number of transfers (outbound),"c_xfers_drv*max(DRV_HVY_WLK_BOARDS[tripPeriod]-1,0)",DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - Drive time (outbound),c_dtim*DRV_HVY_WLK_DTIM[tripPeriod]/100,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - Walk egress time (outbound),c_wegr*destinationWalkTime,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - Walk other time (outbound),c_waux*DRV_HVY_WLK_WAUX[tripPeriod]/100,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - Fare and operating cost (outbound),c_cost*(DRV_HVY_WLK_FAR[tripPeriod]+(DRV_HVY_WLK_DDIST[tripPeriod]/100*costPerMile)),DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - Ratio of drive access distance to OD distance (outbound),c_dacc_ratio*(DRV_HVY_WLK_DDIST[tripPeriod]/100/shortest_dist),DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail  - Destination zone densityIndex (outbound),c_densityIndex*densityIndex,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail  - Topology (outbound),c_topology_trn*tripTopology,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail  - Person is less than 10 years old (outbound),c_age010_trn,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - Unavailable (inbound),(driveHeavyRailAvailableInbound)==0,DRIVE_HVY,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to heavy rail - Unavailable for zero auto households (inbound),1,DRIVE_HVY,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to heavy rail - Unavailable for persons less than 16 (inbound),1,DRIVE_HVY,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to heavy rail - In-vehicle time (inbound),c_ivt*WLK_HVY_DRV_TOTIVT[tripPeriod]/100,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - In-vehicle time on heavy rail (incremental w/ ivt) (inbound),(c_ivt_hvy-c_ivt)*WLK_HVY_DRV_KEYIVT[tripPeriod]/100,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
drive to HeavyRail - Short iwait time (inbound),"c_shortiWait*min(WLK_HVY_DRV_IWAIT[tripPeriod]/100,waitThresh)",DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
drive to HeavyRail - Long iwait time (inbound),"c_longiWait*max(WLK_HVY_DRV_IWAIT[tripPeriod]/100-waitThresh,0)",DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
drive to HeavyRail - transfer wait time (inbound),c_xwait*WLK_HVY_DRV_XWAIT[tripPeriod]/100,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
drive to HeavyRail - number of transfers (inbound),"c_xfers_drv*max(WLK_HVY_DRV_BOARDS[tripPeriod]-1,0)",DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - Drive time (inbound),c_dtim*WLK_HVY_DRV_DTIM[tripPeriod]/100,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - Walk access time (inbound),c_wacc*originWalkTime,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - Walk other time (inbound),c_waux*WLK_HVY_DRV_WAUX[tripPeriod]/100,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - Fare and operating cost (inbound),c_cost*(WLK_HVY_DRV_FAR[tripPeriod]+(WLK_HVY_DRV_DDIST[tripPeriod]/100*costPerMile)),DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail - Ratio of drive access distance to OD distance (inbound),c_dacc_ratio*(WLK_HVY_DRV_DDIST[tripPeriod]/100/shortest_dist),DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail  - Destination zone densityIndex (inbound),c_densityIndex*densityIndex,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail  - Topology (inbound),c_topology_trn*tripTopology,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to heavy rail  - Person is less than 10 years old (inbound),c_age010_trn,DRIVE_HVY,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Unavailable (outbound),(driveCommuterAvailableOutbound)==0,DRIVE_COM,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Commuter rail - Unavailable for zero auto households (outbound),1,DRIVE_COM,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Commuter rail - Unavailable for persons less than 16 (outbound),1,DRIVE_COM,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Commuter rail - In-vehicle time (outbound),c_ivt*DRV_COM_WLK_TOTIVT[tripPeriod]/100,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - In-vehicle time on commuter rail (incremental w/ ivt) (outbound),(c_ivt_com-c_ivt)*DRV_COM_WLK_TOTIVT[tripPeriod]/100,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
drive to Commuter - Short iwait time (outbound),"c_shortiWait*min(DRV_COM_WLK_IWAIT[tripPeriod]/100,waitThresh)",DRIVE_COM,1,1,1,1,1,1,1,1,1,1
drive to Commuter - Long iwait time (outbound),"c_longiWait*max(DRV_COM_WLK_IWAIT[tripPeriod]/100-waitThresh,0)",DRIVE_COM,1,1,1,1,1,1,1,1,1,1
drive to Commuter - transfer wait time (outbound),c_xwait*DRV_COM_WLK_XWAIT[tripPeriod]/100,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
drive to Commuter - number of transfers (outbound),"c_xfers_drv*max(DRV_COM_WLK_BOARDS[tripPeriod]-1,0)",DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Drive time (outbound),c_dtim*DRV_COM_WLK_DTIM[tripPeriod]/100,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Walk egress time (outbound),c_wegr*destinationWalkTime,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Walk other time (outbound),c_waux*DRV_COM_WLK_WAUX[tripPeriod]/100,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Fare and operating cost (outbound),c_cost*(DRV_COM_WLK_FAR[tripPeriod]+(DRV_COM_WLK_DDIST[tripPeriod]/100*costPerMile)),DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Ratio of drive access distance to OD distance (outbound),c_dacc_ratio*(DRV_COM_WLK_DDIST[tripPeriod]/100/shortest_dist),DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail  - Destination zone densityIndex (outbound),c_densityIndex*densityIndex,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail  - Topology (outbound),c_topology_trn*tripTopology,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Person is less than 10 years old (outbound),c_age010_trn,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Unavailable,(driveCommuterAvailableInbound)==0,DRIVE_COM,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Commuter rail - Unavailable for zero auto households,1,DRIVE_COM,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Commuter rail - Unavailable for persons less than 16,1,DRIVE_COM,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Commuter rail - In-vehicle time,c_ivt*WLK_COM_DRV_TOTIVT[tripPeriod]/100,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - In-vehicle time on commuter rail (incremental w/ ivt),(c_ivt_com-c_ivt)*WLK_COM_DRV_TOTIVT[tripPeriod]/100,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
drive to Commuter - Short iwait time,"c_shortiWait*min(WLK_COM_DRV_IWAIT[tripPeriod]/100,waitThresh)",DRIVE_COM,1,1,1,1,1,1,1,1,1,1
drive to Commuter - Long iwait time,"c_longiWait*max(WLK_COM_DRV_IWAIT[tripPeriod]/100-waitThresh,0)",DRIVE_COM,1,1,1,1,1,1,1,1,1,1
drive to Commuter - transfer wait time,c_xwait*WLK_COM_DRV_XWAIT[tripPeriod]/100,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
drive to Commuter - number of transfers,"c_xfers_drv*max(WLK_COM_DRV_BOARDS[tripPeriod]-1,0)",DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Drive time,c_dtim*WLK_COM_DRV_DTIM[tripPeriod]/100,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Walk access time (inbound),c_wacc*originWalkTime,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Walk other time,c_waux*WLK_COM_DRV_WAUX[tripPeriod]/100,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Fare and operating cost ,c_cost*(WLK_COM_DRV_FAR[tripPeriod]+(WLK_COM_DRV_DDIST[tripPeriod]/100*costPerMile)),DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Ratio of drive access distance to OD distance,c_dacc_ratio*(WLK_COM_DRV_DDIST[tripPeriod]/100/shortest_dist),DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail  - Destination zone densityIndex,c_densityIndex*densityIndex,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail  - Topology,c_topology_trn*tripTopology,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Drive to Commuter rail - Person is less than 10 years old,c_age010_trn,DRIVE_COM,1,1,1,1,1,1,1,1,1,1
Auto tour mode availability,1,"BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Walk tour mode availability,1,"DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Bike tour mode availability,1,"DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Walk to Transit tour mode availability,1,"DRIVEALONEFREE,DRIVEALONEPAY,BIKE,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Transit tour modes availability,1,"DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive Alone tour mode ASC -- shared ride 2,-999,"SHARED2FREE,SHARED2PAY",1,1,1,1,1,1,1,1,1,1
Drive Alone tour mode ASC -- shared ride 3+,-999,"SHARED3FREE,SHARED3PAY",1,1,1,1,1,1,1,1,1,1
Drive Alone tour mode ASC -- walk,1,WALK,-1.344343839,-1.550723453,-1.29930748,-1.476552815,-1.80770887,0,-71.89771567,-1.05785574,-0.839782842,-1.787473894
Shared Ride 2 tour mode ASC -- shared ride 2,1,"SHARED2FREE,SHARED2PAY",0.997065928,0.747800085,0.857438284,1.376487597,0.566306747,0.353282357,-1.93348969,0.430426176,0.014934415,2.281529095
Shared Ride 2 tour mode ASC -- shared ride 3+,1,"SHARED3FREE,SHARED3PAY",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Shared Ride 2 tour mode ASC -- walk,1,WALK,-0.072949363,-0.026777875,-0.598921302,-0.111743765,-0.793229213,-2.052830241,-1.036161548,1.304139015,0.126000749,1.178865139
Shared Ride 3+ tour mode ASC -- shared ride 2,1,"SHARED2FREE,SHARED2PAY",-0.317771269,-0.614152348,-0.295819335,-0.078127539,-0.15559037,-0.268174717,-2.740706064,-0.311663637,-1.19558471,1.038741337
Shared Ride 3+ tour mode ASC -- shared ride 3+,1,"SHARED3FREE,SHARED3PAY",1.33230908,0.73980703,0.952726029,1.339531257,0.833079085,0.735751531,-1.771751501,0.629291807,-0.18355945,2.412827458
Shared Ride 3+ tour mode ASC -- walk,1,WALK,-0.043405058,-0.527196782,0.042226145,-0.507919599,-0.313423023,-1.007502962,-1.21274972,1.679252982,0.217074575,0.810211086
Bike tour mode ASC -- walk,1,WALK,-2.698998569,-1.357697436,-0.570555332,-1.024541244,-13.23840253,-13.5203,-2.033197367,-0.339879036,-1.833340291,-5.053232548
Walk to Transit tour mode ASC -- light rail,1,WALK_LRF,0.539212005,0.539212005,0.539212005,0.539212005,0.539212005,0.525236213,1.443590309,1.443590309,0.462093916,0.539212005
Walk to Transit tour mode ASC -- ferry,1,WALK_LRF,0.646576124,0.646576124,0.646576124,0.646576124,0.646576124,0.600459928,1.72365759,1.72365759,0.527674339,0.646576124
Walk to Transit tour mode ASC -- express bus,1,WALK_EXP,0.664833712,0.664833712,0.664833712,0.664833712,0.664833712,0.754709502,0.322407574,0.322407574,-0.355369485,0.664833712
Walk to Transit tour mode ASC -- heavy rail,1,WALK_HVY,0.540251582,0.540251582,0.540251582,0.540251582,0.540251582,0.5673261,0.848959992,0.848959992,0.353781118,0.540251582
Walk to Transit tour mode ASC -- commuter rail,1,WALK_COM,0.512907922,0.512907922,0.512907922,0.512907922,0.512907922,0.544175713,0.908156177,0.908156177,0.40115213,0.512907922
Walk to Transit tour mode ASC -- shared ride 2,1,"SHARED2FREE,SHARED2PAY",-3.143407058,-2.759007562,-34.67456187,-4.0114961,-3.366320437,-2.628439873,-4.296092812,-4.005017965,-3.663122289,-22.65874595
Walk to Transit tour mode ASC -- shared ride 3+,1,"SHARED3FREE,SHARED3PAY",-3.852044542,-2.512647108,-29.38579347,-4.385155288,-21.63085385,-3.207352283,-3.866464,-28.69716687,-4.131364699,-35.95797331
Walk to Transit tour mode ASC -- walk,1,WALK,1.350388931,-0.499675124,0.724785175,-0.194256108,-0.765058819,-0.997388272,-1.182816692,-1.031076463,0.443222869,0.516523008
Drive to Transit tour mode ASC -- light rail,1,DRIVE_LRF,0.539212005,0.539212005,0.539212005,0.539212005,0.539212005,0.525236213,1.443590309,1.443590309,0.462093916,0.539212005
Drive to Transit tour mode ASC -- ferry,1,DRIVE_LRF,0.646576124,0.646576124,0.646576124,0.646576124,0.646576124,0.600459928,1.72365759,1.72365759,0.527674339,0.646576124
Drive to Transit tour mode ASC -- express bus,1,DRIVE_EXP,0.664833712,0.664833712,0.664833712,0.664833712,0.664833712,0.754709502,0.322407574,0.322407574,-0.355369485,0.664833712
Drive to Transit tour mode ASC -- heavy rail,1,DRIVE_HVY,0.540251582,0.540251582,0.540251582,0.540251582,0.540251582,0.5673261,0.848959992,0.848959992,0.353781118,0.540251582
Drive to Transit tour mode ASC -- commuter rail,1,DRIVE_COM,0.512907922,0.512907922,0.512907922,0.512907922,0.512907922,0.544175713,0.908156177,0.908156177,0.40115213,0.512907922
Auto tour mode ASC -- shared ride 2 -- Joint Tours,1,"SHARED2FREE,SHARED2PAY",-0.06343395,-0.06343395,-0.06343395,0.587454493,-0.06343395,,,,,
Auto tour mode ASC -- shared ride 3+ -- Joint Tours,1,"SHARED3FREE,SHARED3PAY",-0.162541736,-0.162541736,-0.162541736,-19.04538851,-0.162541736,,,,,
Auto tour mode ASC -- walk -- Joint Tours,1,WALK,-0.714358153,-0.714358153,-0.714358153,-23.46884389,-0.714358153,,,,,
Bike tour mode ASC -- walk -- Joint Tours,1,WALK,-15.55879637,-14.44396327,-13.51919314,-7.047573362,-26.17135927,,,,,
Walk to Transit tour mode ASC -- light rail -- Joint Tours,1,WALK_LRF,0.539212005,0.539212005,0.539212005,0.539212005,0.539212005,,,,,
