Description,Expression,Alternatives,EatOut,OthDiscr,OthMaint,Shopping,Social,Escort,School,University,Work,WorkBased
Shared ride 2 toll - Operating cost ,c_cost*(costPerMile*HOV2TOLL_DIST[tripPeriod]),SHARED2PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 2 toll - Parking cost ,c_cost*totalParkingCost/costShareSr2,SHARED2PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 2 toll - Bridge toll ,c_cost*HOV2TOLL_BTOLL[tripPeriod]/costShareSr2,SHARED2PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 2 toll - Value toll ,c_cost*HOV2TOLL_VTOLL[tripPeriod]/costShareSr2,SHARED2PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 2 toll - One person household,c_hhsize1_sr,SHARED2PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 2 toll - Two person household,c_hhsize2_sr,SHARED2PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 2 toll - Person is 16 years old or older,c_age16p_sr,SHARED2PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ - Unavailable,hov3Available==0,SHARED3FREE,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Shared ride 3+ - In-vehicle time,c_ivt*HOV3_TIME[tripPeriod],SHARED3FREE,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ - Terminal time,c_walkTimeShort*(totalTerminalTime),SHARED3FREE,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ - Operating cost ,c_cost*(costPerMile*HOV3_DIST[tripPeriod]),SHARED3FREE,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ - Parking cost ,c_cost*totalParkingCost/costShareSr3,SHARED3FREE,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ - Bridge toll ,c_cost*HOV3_BTOLL[tripPeriod]/costShareSr3,SHARED3FREE,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ - One person household,c_hhsize1_sr,SHARED3FREE,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ - Two person household,c_hhsize2_sr,SHARED3FREE,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ - Person is 16 years old or older,c_age16p_sr,SHARED3FREE,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ toll - Unavailable,hov3tollAvailable==0,SHARED3PAY,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Shared ride 3+ toll - In-vehicle time,c_ivt*HOV3TOLL_TIME[tripPeriod],SHARED3PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ toll - Terminal time,c_walkTimeShort*(totalTerminalTime),SHARED3PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ toll - Operating cost ,c_cost*(costPerMile*HOV3TOLL_DIST[tripPeriod]),SHARED3PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ toll - Parking cost ,c_cost*totalParkingCost/costShareSr3,SHARED3PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ toll - Bridge toll ,c_cost*HOV3TOLL_BTOLL[tripPeriod]/costShareSr3,SHARED3PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ toll - Value toll ,c_cost*HOV3TOLL_VTOLL[tripPeriod]/costShareSr3,SHARED3PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ toll - One person household,c_hhsize1_sr,SHARED3PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ toll - Two person household,c_hhsize2_sr,SHARED3PAY,1,1,1,1,1,1,1,1,1,1
Shared ride 3+ toll - Person is 16 years old or older,c_age16p_sr,SHARED3PAY,1,1,1,1,1,1,1,1,1,1
Walk - Time up to 2 miles,"c_walkTimeShort*min(walk_dist*60/walkSpeed, walkThresh*60/walkSpeed*2)",WALK,1,1,1,1,1,1,1,1,1,1
Walk - Time beyond 2 of a miles,"c_walkTimeLong*max(walk_dist*60/walkSpeed - walkThresh*60/walkSpeed*2, 0)",WALK,1,1,1,1,1,1,1,1,1,1
Walk - Destination zone densityIndex,c_densityIndex*densityIndex,WALK,1,1,1,1,1,1,1,1,1,1
Walk - Topology,c_topology_walk*tripTopology,WALK,1,1,1,1,1,1,1,1,1,1
Bike - Unavailable if didn't bike to work,1,BIKE,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Bike - Time up to 6 miles,"c_bikeTimeShort*min(bike_dist*60/bikeSpeed, bikeThresh*60/bikeSpeed)",BIKE,1,1,1,1,1,1,1,1,1,1
Bike - Time beyond 6 of a miles,"c_bikeTimeLong*max(bike_dist*60/bikeSpeed - bikeThresh*60/bikeSpeed, 0)",BIKE,1,1,1,1,1,1,1,1,1,1
Bike - Destination zone densityIndex,c_densityIndex*densityIndex,BIKE,1,1,1,1,1,1,1,1,1,1
Bike - Topology,c_topology_bike*tripTopology,BIKE,1,1,1,1,1,1,1,1,1,1
Walk to Local - Unavailable,walkLocalAvailable==0,WALK_LOC,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Walk to Local - In-vehicle time,c_ivt*WLK_LOC_WLK_TOTIVT[tripPeriod]/100,WALK_LOC,1,1,1,1,1,1,1,1,1,1
Walk to Local - Short iwait time,"c_shortiWait*min(WLK_LOC_WLK_IWAIT[tripPeriod]/100,waitThresh)",WALK_LOC,1,1,1,1,1,1,1,1,1,1
Walk to Local - Long iwait time,"c_longiWait*max(WLK_LOC_WLK_IWAIT[tripPeriod]/100-waitThresh,0)",WALK_LOC,1,1,1,1,1,1,1,1,1,1
Walk to Local - transfer wait time,c_xwait*WLK_LOC_WLK_XWAIT[tripPeriod]/100,WALK_LOC,1,1,1,1,1,1,1,1,1,1
Walk to Local - number of transfers,"c_xfers_wlk*max(WLK_LOC_WLK_BOARDS[tripPeriod]-1,0)",WALK_LOC,1,1,1,1,1,1,1,1,1,1
Walk to Local - Walk access time,c_wacc*originWalkTime,WALK_LOC,1,1,1,1,1,1,1,1,1,1
Walk to Local - Walk egress time,c_wegr*destinationWalkTime,WALK_LOC,1,1,1,1,1,1,1,1,1,1
Walk to Local - Walk other time,c_waux*WLK_LOC_WLK_WAUX[tripPeriod]/100,WALK_LOC,1,1,1,1,1,1,1,1,1,1
Walk to Local - Fare ,c_cost*WLK_LOC_WLK_FAR[tripPeriod],WALK_LOC,1,1,1,1,1,1,1,1,1,1
Walk to Local - Destination zone densityIndex,c_densityIndex*densityIndex,WALK_LOC,1,1,1,1,1,1,1,1,1,1
Walk to Local - Topology,c_topology_trn*tripTopology,WALK_LOC,1,1,1,1,1,1,1,1,1,1
Walk to Local - Person is less than 10 years old,c_age010_trn,WALK_LOC,1,1,1,1,1,1,1,1,1,-999
Walk to Light rail/Ferry - Unavailable,walkLrfAvailable==0,WALK_LRF,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Walk to Light rail/Ferry - In-vehicle time,c_ivt*WLK_LRF_WLK_TOTIVT[tripPeriod]/100,WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Light rail/Ferry - In-vehicle time on Light Rail (incremental w/ ivt),(c_ivt_lrt-c_ivt)*WLK_LRF_WLK_KEYIVT[tripPeriod]/100,WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Light rail/Ferry - In-vehicle time on Ferry (incremental w/keyivt),(c_ivt_ferry-c_ivt_lrt)*WLK_LRF_WLK_FERRYIVT[tripPeriod]/100,WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Lrf - Short iwait time,"c_shortiWait*min(WLK_LRF_WLK_IWAIT[tripPeriod]/100,waitThresh)",WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Lrf - Long iwait time,"c_longiWait*max(WLK_LRF_WLK_IWAIT[tripPeriod]/100-waitThresh,0)",WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Lrf - transfer wait time,c_xwait*WLK_LRF_WLK_XWAIT[tripPeriod]/100,WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Lrf - number of transfers,"c_xfers_wlk*max(WLK_LRF_WLK_BOARDS[tripPeriod]-1,0)",WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Light rail/Ferry - Walk access time,c_wacc*originWalkTime,WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Light rail/Ferry - Walk egress time,c_wegr*destinationWalkTime,WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Light rail/Ferry - Walk other time,c_waux*WLK_LRF_WLK_WAUX[tripPeriod]/100,WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Light rail/Ferry - Fare ,c_cost*WLK_LRF_WLK_FAR[tripPeriod],WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Light rail/Ferry - Destination zone densityIndex,c_densityIndex*densityIndex,WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Light rail/Ferry - Topology,c_topology_trn*tripTopology,WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Light rail/Ferry - Person is less than 10 years old,c_age010_trn,WALK_LRF,1,1,1,1,1,1,1,1,1,1
Walk to Express bus - Unavailable,walkExpressAvailable==0,WALK_EXP,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Walk to Express bus - In-vehicle time,c_ivt*WLK_EXP_WLK_TOTIVT[tripPeriod]/100,WALK_EXP,1,1,1,1,1,1,1,1,1,1
Walk to Express bus - In-vehicle time on Express bus (incremental w/ ivt),(c_ivt_exp-c_ivt)*WLK_EXP_WLK_KEYIVT[tripPeriod]/100,WALK_EXP,1,1,1,1,1,1,1,1,1,1
Walk to Express - Short iwait time,"c_shortiWait*min(WLK_EXP_WLK_IWAIT[tripPeriod]/100,waitThresh)",WALK_EXP,1,1,1,1,1,1,1,1,1,1
Walk to Express - Long iwait time,"c_longiWait*max(WLK_EXP_WLK_IWAIT[tripPeriod]/100-waitThresh,0)",WALK_EXP,1,1,1,1,1,1,1,1,1,1
Walk to Express - transfer wait time,c_xwait*WLK_EXP_WLK_XWAIT[tripPeriod]/100,WALK_EXP,1,1,1,1,1,1,1,1,1,1
Walk to Express - number of transfers,"c_xfers_wlk*max(WLK_EXP_WLK_BOARDS[tripPeriod]-1,0)",WALK_EXP,1,1,1,1,1,1,1,1,1,1
Walk to Express bus - Walk access time,c_wacc*originWalkTime,WALK_EXP,1,1,1,1,1,1,1,1,1,1
Walk to Express bus - Walk egress time,c_wegr*destinationWalkTime,WALK_EXP,1,1,1,1,1,1,1,1,1,1
Walk to Express bus - Walk other time,c_waux*WLK_EXP_WLK_WAUX[tripPeriod]/100,WALK_EXP,1,1,1,1,1,1,1,1,1,1
