Description,Expression,0_tours,1_Shop,1_Main,1_Eat,1_Visit,1_Disc,2_SS,2_SM,2_SE,2_SV,2_SD,2_MM,2_ME,2_MV,2_MD,2_EE,2_EV,2_ED,2_VV,2_VD,2_DD
# incomeGreaterThan100,income_greater_than_100,,,0,,,,,0,,,,0,0,0,0,,,,,,
# incomeMissing (dummy always zero),income_missing,,,0,,,,,0,,,,0,0,0,0,,,,,,
# zeroAutomobiles,auto_ownership == 0,,,0,,,,,0,,,,0,0,0,0,,,,,,
fewerCarsThanDrivers,(auto_ownership > 0) & (auto_ownership < num_drivers),,,0.4611,,,,,0.4611,,,,0.9222,0.4611,0.4611,0.4611,,,,,,
# moreCarsThanWorkers,auto_ownership > num_workers,,,0,,,,,0,,,,0,0,0,0,,,,,,
# walkRetailAccessibility,non_motorized_retail_accessibility,,,0,,,,,0,,,,0,0,0,0,,,,,,
# eating out,,,,,,,,,,,,,,,,,,,,,,
fullTimeNonMandMaxThree,cdap_nonmand_full_max3,,,,0.2275,,,,,0.2275,,,,0.2275,,,0.455,0.2275,0.2275,,,
partTimeNonMandMaxThree,cdap_nonmand_part_max3,,,,0.3765,,,,,0.3765,,,,0.3765,,,0.753,0.3765,0.3765,,,
nonWorkerNonMandMaxThree,cdap_nonmand_nonwork_max3,,,,0.182,,,,,0.182,,,,0.182,,,0.364,0.182,0.182,,,
retireeNonMandMaxThree,cdap_nonmand_retired_max3,,,,0.4264,,,,,0.4264,,,,0.4264,,,0.8528,0.4264,0.4264,,,
universityNonMandMaxThree,cdap_nonmand_univ_driving_max3,,,,0.4097,,,,,0.4097,,,,0.4097,,,0.8194,0.4097,0.4097,,,
preDrivingNonMandMaxThree,cdap_nonmand_nondriving_child_max3,,,,0.3851,,,,,0.3851,,,,0.3851,,,0.7702,0.3851,0.3851,,,
# fullTimeMandMaxThree,cdap_mand_full_max3,,,,0,,,,,0,,,,0,,,0,0,0,,,
# drivingAgeStuMandMaxThree,cdap_mand_univ_driving_max3,,,,0,,,,,0,,,,0,,,0,0,0,,,
# preDrivingAgeMandMaxThree,cdap_mand_nondriving_child_max3,,,,0,,,,,0,,,,0,,,0,0,0,,,
# timeWindowOverlapAdult,time_window_overlap_adult,,,,0,,,,,0,,,,0,,,0,0,0,,,
# timeWindowOverlapChild,time_window_overlap_child,,,,0,,,,,0,,,,0,,,0,0,0,,,
# timeWindowOverlapAdultChild,time_window_overlap_adult_child,,,,0,,,,,0,,,,0,,,0,0,0,,,
logTimeWindowOverlapAdult,log_time_window_overlap_adult,,,,0.4856,,,,,0.4856,,,,0.4856,,,0.9712,0.4856,0.4856,,,
# logTimeWindowOverlapChild,log_time_window_overlap_child,,,,0,,,,,0,,,,0,,,0,0,0,,,
logTimeWindowOverlapAdultChild,log_time_window_overlap_adult_child,,,,0.0921,,,,,0.0921,,,,0.0921,,,0.1842,0.0921,0.0921,,,
incomeBetween50And100,income_between_50_and_100,,,,0.2977,,,,,0.2977,,,,0.2977,,,0.5954,0.2977,0.2977,,,
incomeGreaterThan100,income_greater_than_100,,,,0.4492,,,,,0.4492,,,,0.4492,,,0.8984,0.4492,0.4492,,,
incomeMissing (dummy always zero),income_missing,,,,0.278,,,,,0.278,,,,0.278,,,0.556,0.278,0.278,,,
# zeroAutomobiles,auto_ownership == 0,,,,0,,,,,0,,,,0,,,0,0,0,,,
# fewerCarsThanDrivers,(auto_ownership > 0) & (auto_ownership < num_drivers),,,,0,,,,,0,,,,0,,,0,0,0,,,
moreCarsThanWorkers,auto_ownership > num_workers,,,,0.3825,,,,,0.3825,,,,0.3825,,,0.765,0.3825,0.3825,,,
walkRetailAccessibility,non_motorized_retail_accessibility,,,,0.0623,,,,,0.0623,,,,0.0623,,,0.1246,0.0623,0.0623,,,
# visiting,,,,,,,,,,,,,,,,,,,,,,
fullTimeNonMandMaxThree,cdap_nonmand_full_max3,,,,,0.6445,,,,,0.6445,,,,0.6445,,,0.6445,,1.289,0.6445,
partTimeNonMandMaxThree,cdap_nonmand_part_max3,,,,,0.1332,,,,,0.1332,,,,0.1332,,,0.1332,,0.2664,0.1332,
nonWorkerNonMandMaxThree,cdap_nonmand_nonwork_max3,,,,,0.5475,,,,,0.5475,,,,0.5475,,,0.5475,,1.095,0.5475,
retireeNonMandMaxThree,cdap_nonmand_retired_max3,,,,,0.5579,,,,,0.5579,,,,0.5579,,,0.5579,,1.1158,0.5579,
universityNonMandMaxThree,cdap_nonmand_univ_driving_max3,,,,,0.2809,,,,,0.2809,,,,0.2809,,,0.2809,,0.5618,0.2809,
preDrivingNonMandMaxThree,cdap_nonmand_nondriving_child_max3,,,,,0.6008,,,,,0.6008,,,,0.6008,,,0.6008,,1.2016,0.6008,
# fullTimeMandMaxThree,cdap_mand_full_max3,,,,,0,,,,,0,,,,0,,,0,,0,0,
# drivingAgeStuMandMaxThree,cdap_mand_univ_driving_max3,,,,,0,,,,,0,,,,0,,,0,,0,0,
# preDrivingAgeMandMaxThree,cdap_mand_nondriving_child_max3,,,,,0,,,,,0,,,,0,,,0,,0,0,
timeWindowOverlapAdult,time_window_overlap_adult,,,,,0.0596,,,,,0.0596,,,,0.0596,,,0.0596,,0.1192,0.0596,
timeWindowOverlapChild,time_window_overlap_child,,,,,0.0092,,,,,0.0092,,,,0.0092,,,0.0092,,0.0184,0.0092,
timeWindowOverlapAdultChild,time_window_overlap_adult_child,,,,,0.0256,,,,,0.0256,,,,0.0256,,,0.0256,,0.0513,0.0256,
#logTimeWindowOverlapAdult,log_time_window_overlap_adult,,,,,0,,,,,0,,,,0,,,0,,0,0,
#logTimeWindowOverlapChild,log_time_window_overlap_child,,,,,0,,,,,0,,,,0,,,0,,0,0,
#logTimeWindowOverlapAdultChild,log_time_window_overlap_adult_child,,,,,0,,,,,0,,,,0,,,0,,0,0,
# incomeBetween50And100,income_between_50_and_100,,,,,0,,,,,0,,,,0,,,0,,0,0,
# incomeGreaterThan100,income_greater_than_100,,,,,0,,,,,0,,,,0,,,0,,0,0,
# incomeMissing (dummy always zero),income_missing,,,,,0,,,,,0,,,,0,,,0,,0,0,
zeroAutomobiles,auto_ownership == 0,,,,,-0.9802,,,,,-0.9802,,,,-0.9802,,,-0.9802,,-1.9604,-0.9802,
# fewerCarsThanDrivers,(auto_ownership > 0) & (auto_ownership < num_drivers),,,,,0,,,,,0,,,,0,,,0,,0,0,
# moreCarsThanWorkers,auto_ownership > num_workers,,,,,0,,,,,0,,,,0,,,0,,0,0,
# walkRetailAccessibility,non_motorized_retail_accessibility,,,,,0,,,,,0,,,,0,,,0,,0,0,
# discretionary,,,,,,,,,,,,,,,,,,,,,,
fullTimeNonMandMaxThree,cdap_nonmand_full_max3,,,,,,0.1275,,,,,0.1275,,,,0.1275,,,0.1275,,0.1275,0.255
partTimeNonMandMaxThree,cdap_nonmand_part_max3,,,,,,0.4979,,,,,0.4979,,,,0.4979,,,0.4979,,0.4979,0.9958
nonWorkerNonMandMaxThree,cdap_nonmand_nonwork_max3,,,,,,0.2871,,,,,0.2871,,,,0.2871,,,0.2871,,0.2871,0.5742
retireeNonMandMaxThree,cdap_nonmand_retired_max3,,,,,,0.6136,,,,,0.6136,,,,0.6136,,,0.6136,,0.6136,1.2272
universityNonMandMaxThree,cdap_nonmand_univ_driving_max3,,,,,,0.7546,,,,,0.7546,,,,0.7546,,,0.7546,,0.7546,1.5092
preDrivingNonMandMaxThree,cdap_nonmand_nondriving_child_max3,,,,,,0.5331,,,,,0.5331,,,,0.5331,,,0.5331,,0.5331,1.0662
# fullTimeMandMaxThree,cdap_mand_full_max3,,,,,,0,,,,,0,,,,0,,,0,,0,0
drivingAgeStuMandMaxThree,cdap_mand_univ_driving_max3,,,,,,0.1932,,,,,0.1932,,,,0.1932,,,0.1932,,0.1932,0.3864
preDrivingAgeMandMaxThree,cdap_mand_nondriving_child_max3,,,,,,0.3862,,,,,0.3862,,,,0.3862,,,0.3862,,0.3862,0.7724
# timeWindowOverlapAdult,time_window_overlap_adult,,,,,,0,,,,,0,,,,0,,,0,,0,0
# timeWindowOverlapChild,time_window_overlap_child,,,,,,0,,,,,0,,,,0,,,0,,0,0
# timeWindowOverlapAdultChild,time_window_overlap_adult_child,,,,,,0,,,,,0,,,,0,,,0,,0,0
logTimeWindowOverlapAdult,log_time_window_overlap_adult,,,,,,0.3428,,,,,0.3428,,,,0.3428,,,0.3428,,0.3428,0.6856
logTimeWindowOverlapChild,log_time_window_overlap_child,,,,,,0.1162,,,,,0.1162,,,,0.1162,,,0.1162,,0.1162,0.2324
logTimeWindowOverlapAdultChild,log_time_window_overlap_adult_child,,,,,,0.2212,,,,,0.2212,,,,0.2212,,,0.2212,,0.2212,0.4424
incomeBetween50And100,income_between_50_and_100,,,,,,0.3167,,,,,0.3167,,,,0.3167,,,0.3167,,0.3167,0.6334
incomeGreaterThan100,income_greater_than_100,,,,,,0.486,,,,,0.486,,,,0.486,,,0.486,,0.486,0.972
incomeMissing (dummy always zero),income_missing,,,,,,0.3723,,,,,0.3723,,,,0.3723,,,0.3723,,0.3723,0.7446
zeroAutomobiles,auto_ownership == 0,,,,,,-0.9094,,,,,-0.9094,,,,-0.9094,,,-0.9094,,-0.9094,-1.8188
# fewerCarsThanDrivers,(auto_ownership > 0) & (auto_ownership < num_drivers),,,,,,0,,,,,0,,,,0,,,0,,0,0
# moreCarsThanWorkers,auto_ownership > num_workers,,,,,,0,,,,,0,,,,0,,,0,,0,0
# walkRetailAccessibility,non_motorized_retail_accessibility,,,,,,0,,,,,0,,,,0,,,0,,0,0
