MAZ,TAP,walkTime,dist,mmTime,mmCost,mtTime,mtCost,mmGenTime,mtGenTime,minTime
100500,1013,19.344,0.9672,14.8688,1.429008,999.0,999.0,80.584832,999.0,19.344
100500,1181,18.201,0.91005,14.6402,1.392432,999.0,999.0,80.209928,999.0,18.201
100500,1238,11.421,0.57105,13.2842,1.175472,999.0,999.0,77.986088,999.0,11.421
100500,1333,15.717,0.78585,14.1434,1.312944,999.0,999.0,79.39517599999999,999.0,15.717
100500,1531,17.813,0.8906499999999999,14.5626,1.380016,999.0,999.0,80.082664,999.0,17.813
100500,1558,16.313,0.81565,14.2626,1.332016,999.0,999.0,79.590664,999.0,16.313
100500,1559,12.130999999999998,0.6065499999999999,13.4262,1.198192,999.0,999.0,78.218968,999.0,12.130999999999998
100500,1601,13.587,0.67935,13.7174,1.244784,999.0,999.0,78.69653600000001,999.0,13.587
100500,1602,10.725,0.53625,13.145,1.1532,999.0,999.0,77.7578,999.0,10.725
100500,1603,4.336,0.2168,11.8672,0.948752,999.0,999.0,75.66220799999999,999.0,4.336
100500,1604,0.65,0.0325,11.13,0.8308000000000001,999.0,999.0,74.4532,999.0,0.65
100500,1606,5.644,0.2822,12.1288,0.9906080000000002,999.0,999.0,76.091232,999.0,5.644
100500,1607,13.914,0.6957000000000001,13.7828,1.255248,999.0,999.0,78.803792,999.0,13.914
100500,1608,13.332,0.6666000000000001,13.6664,1.2366240000000002,999.0,999.0,78.612896,999.0,13.332
100500,1611,14.358,0.7179,13.8716,1.269456,999.0,999.0,78.949424,999.0,14.358
100500,1651,8.195,0.40975,12.639,1.07224,999.0,999.0,76.92796,999.0,8.195
100500,1652,13.833,0.69165,13.7666,1.252656,999.0,999.0,78.777224,999.0,13.833
100500,1665,10.415,0.5207499999999999,13.083,1.14328,999.0,999.0,77.65612,999.0,10.415
100500,1681,17.149,0.85745,14.4298,1.358768,999.0,999.0,79.86487199999999,999.0,17.149
100501,1013,15.651,0.78255,14.1302,1.310832,999.0,999.0,79.373528,999.0,15.651
100501,1181,14.507,0.7253499999999999,13.9014,1.274224,999.0,999.0,78.998296,999.0,14.507
100501,1238,15.115,0.75575,14.023,1.2936800000000002,999.0,999.0,79.19772,999.0,15.115
100501,1333,19.423,0.97115,14.8846,1.431536,999.0,999.0,80.610744,999.0,19.423
100501,1531,14.119000000000002,0.7059500000000001,13.8238,1.261808,999.0,999.0,78.871032,999.0,14.119000000000002
100501,1558,12.616,0.6308,13.5232,1.213712,999.0,999.0,78.378048,999.0,12.616
100501,1559,15.386,0.7693,14.0772,1.302352,999.0,999.0,79.286608,999.0,15.386
100501,1565,18.519,0.92595,14.7038,1.402608,999.0,999.0,80.314232,999.0,18.519
100501,1599,19.952,0.9976,14.9904,1.448464,999.0,999.0,80.784256,999.0,19.952
100501,1601,9.894,0.4947,12.9788,1.126608,999.0,999.0,77.485232,999.0,9.894
100501,1602,7.032,0.3516,12.4064,1.0350240000000002,999.0,999.0,76.546496,999.0,7.032
100501,1603,0.643,0.03215,11.1286,0.8305760000000001,999.0,999.0,74.45090400000001,999.0,0.643
100501,1604,4.343999999999999,0.2171999999999999,11.8688,0.949008,999.0,999.0,75.664832,999.0,4.343999999999999
100501,1606,9.338,0.4669,12.8676,1.108816,999.0,999.0,77.302864,999.0,9.338
