MAZ,TAZ,COUNTY,DISTRICT,SD,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,access_dist_transit
16773,352,1,1,1,19,82,13.4571,9.95003997,0.0,4,10,0,4,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16774,338,1,1,1,0,0,1.123,0.0,1.12299578,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16775,342,1,1,1,52,158,40.7128,37.56088334,0.0,1,30,0,0,0,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16779,342,1,1,1,6,17,19.7979,8.14944384,0.0,0,6,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16780,342,1,1,1,1,8,2.8831,0.86004807,0.0,0,5,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16781,354,1,1,1,16,47,12.2286,11.42233628,0.0,2,8,0,2,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16782,354,1,1,1,19,71,15.5442,12.10965576,0.0,0,20,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16783,352,1,1,1,1,3,1.1479,1.14785901,0.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16784,342,1,1,1,12,51,26.0881,23.83466634,0.0,0,10,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16785,342,1,1,1,10,26,18.4912,13.31642606,0.0,3,9,0,2,0,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16786,354,1,1,1,5,22,10.865,6.61302188,0.0,0,5,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16787,354,1,1,1,12,45,17.7673,15.56657787,0.0,0,16,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16788,354,1,1,1,5,11,17.9329,8.03171597,0.0,0,1,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16789,353,1,1,1,4,7,2.1576,2.18604009,0.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16790,354,1,1,1,6,20,4.3117,3.73293572,0.0,0,5,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16791,354,1,1,1,20,52,19.9676,17.318620000000003,0.0,20,5,0,16,0,4,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16792,342,1,1,1,7,22,8.8956,7.63462274,0.0,0,6,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16856,345,1,1,1,7,17,15.6271,9.39951424,2.09176016,23,1,19,0,0,4,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16857,345,1,1,1,31,103,30.3293,17.08374222,0.0,4,27,0,4,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16923,348,1,1,1,58,151,94.1988,76.3745428,0.0,11,20,0,5,0,6,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16926,348,1,1,1,28,77,27.2028,22.28807863,0.0,0,14,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16927,348,1,1,1,27,80,27.9164,26.8278076,0.0,0,13,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16930,348,1,1,1,2,5,2.3729,2.37287905,0.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16931,348,1,1,1,25,65,66.4009,25.21805794,0.0,18,5,0,0,0,0,0,18,0.0,0,5,0,0,0.0,1,0.0,0.333
17047,350,1,1,1,69,220,24.4383,19.52587444,0.0,1,51,0,0,0,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
17048,350,1,1,1,45,124,11.8386,7.70069109,0.0,1,25,0,0,0,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
17068,350,1,1,1,68,189,11.4021,8.0944101,0.0,8,42,0,4,0,4,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
17069,350,1,1,1,145,428,29.0138,21.40156669,0.0,6,71,0,0,3,3,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
17070,350,1,1,1,104,302,74.7987,53.80014364,0.0,4,51,0,1,0,3,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
17072,350,1,1,1,103,329,21.4706,16.46771128,0.0,4,80,0,2,0,2,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
17125,338,1,1,1,0,0,51.8991,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
17134,346,1,1,1,28,79,57.5402,35.12115467,0.0,139,10,0,0,0,0,139,0,0.0,0,5,0,0,0.0,1,0.0,0.333
17135,346,1,1,1,78,220,28.1884,19.37274296,0.0,1,41,0,0,0,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
17139,351,1,1,1,0,0,143.1011,0.0,1.0,9,0,0,0,0,9,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
18639,331,1,1,1,2,6,20.6131,10.98754528,0.0,0,2,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
21773,337,1,1,1,0,0,160.0925,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
21774,337,1,1,1,3,7,167.1781,38.21626651,0.0,0,2,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
21785,337,1,1,1,0,0,163.097,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
21786,337,1,1,1,0,0,165.1369,0.95726489,0.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
21792,337,1,1,1,3,7,166.9076,12.24893611,0.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
21793,337,1,1,1,2,4,156.5292,50.74065732,0.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
