MAZ,TAZ
14751,334
14752,334
14753,340
14754,334
14755,340
14756,340
14774,339
14775,339
14776,339
14939,333
14940,333
14941,341
14944,341
14959,343
14960,349
14961,349
14962,343
14963,343
14964,349
14965,349
14966,343
14967,349
15065,344
15067,344
15073,344
15076,344
15078,344
15278,335
15279,335
15280,335
15281,335
15283,335
15284,335
15291,336
15292,336
15293,336
15294,336
15295,336
15296,336
15297,336
15298,336
15299,336
16436,332
16437,332
16438,347
16439,355
16440,332
16441,332
16461,331
16462,331
16466,331
16468,331
16470,331
16471,331
16472,331
16473,331
16476,331
16479,331
16481,331
16482,331
16483,331
16484,331
16485,331
16486,331
16490,331
16493,331
16500,331
16501,331
16502,331
16698,356
16699,357
16700,358
16701,357
16702,358
16704,357
16705,358
16706,358
16707,357
16759,342
16760,352
16761,342
16762,353
16763,353
16764,352
16765,352
16766,352
16768,353
16769,353
16770,353
16771,353
16772,354
16773,352
16774,338
16775,342
16779,342
16780,342
16781,354
16782,354
16783,352
16784,342
16785,342
16786,354
16787,354
16788,354
16789,353
16790,354
16791,354
16792,342
16856,345
16857,345
16923,348
16926,348
16927,348
16930,348
16931,348
17047,350
17048,350
17068,350
17069,350
17070,350
17072,350
17125,338
17134,346
17135,346
17139,351
18639,331
21773,337
21774,337
21785,337
21786,337
21792,337
21793,337
