OMAZ,DMAZ,DIST,TIME
9,4,1.22,7.32
9,5,1.01,6.0600000000000005
9,6,0.9,5.4
9,7,0.86,5.16
9,8,0.53,3.18
9,9,0.17,1.02
9,10,0.49,2.94
9,11,0.65,3.9000000000000004
9,12,1.17,7.02
9,13,1.36,8.16
9,14,1.57,9.42
9,15,1.77,10.620000000000001
9,16,1.77,10.620000000000001
9,17,1.98,11.879999999999999
9,18,1.5,9.0
9,19,1.13,6.779999999999999
9,20,0.78,4.68
9,21,1.08,6.48
9,22,1.8,10.8
9,23,2.28,13.68
9,24,1.76,10.56
9,25,1.56,9.36
10,1,1.59,9.540000000000001
10,2,1.49,8.94
10,3,1.43,8.58
10,4,1.25,7.5
10,5,1.04,6.24
10,6,1.11,6.66
10,7,0.94,5.64
10,8,0.73,4.38
10,9,0.33,1.98
10,10,0.21,1.26
10,11,0.49,2.94
10,12,1.01,6.0600000000000005
10,13,1.2,7.199999999999999
10,14,1.41,8.459999999999999
10,15,1.61,9.66
10,16,1.61,9.66
10,17,1.83,10.98
10,18,1.34,8.040000000000001
10,19,0.94,5.64
10,20,0.47,2.82
10,21,0.92,5.5200000000000005
10,22,1.83,10.98
10,23,2.31,13.86
10,24,1.79,10.74
10,25,1.58,9.48
11,1,1.13,6.779999999999999
11,2,1.04,6.24
11,3,0.99,5.9399999999999995
11,4,0.79,4.74
11,5,0.61,3.66
11,6,0.84,5.04
11,7,0.65,3.9000000000000004
11,8,0.54,3.24
11,9,0.63,3.7800000000000002
11,10,0.49,2.94
11,11,0.23,1.3800000000000001
11,12,0.52,3.12
11,13,0.71,4.26
11,14,0.92,5.5200000000000005
11,15,1.12,6.720000000000001
11,16,1.13,6.779999999999999
11,17,1.35,8.100000000000001
11,18,0.87,5.22
11,19,0.98,5.88
11,20,0.64,3.84
11,21,0.45,2.7
11,22,1.37,8.22
11,23,1.85,11.100000000000001
11,24,1.33,7.98
11,25,1.15,6.8999999999999995
12,1,0.66,3.96
12,2,0.57,3.42
12,3,0.74,4.4399999999999995
12,4,0.32,1.92
12,5,0.57,3.42
12,6,0.89,5.34
12,7,0.77,4.62
12,8,0.72,4.32
12,9,1.15,6.8999999999999995
12,10,1.01,6.0600000000000005
12,11,0.52,3.12
12,12,0.12,0.72
12,13,0.24,1.44
12,14,0.45,2.7
12,15,0.65,3.9000000000000004
12,16,0.67,4.0200000000000005
12,17,0.89,5.34
12,18,0.95,5.699999999999999
12,19,1.47,8.82
12,20,1.13,6.779999999999999
12,21,0.57,3.42
12,22,0.91,5.46
12,23,1.38,8.28
12,24,0.86,5.16
12,25,0.91,5.46
13,1,0.45,2.7
13,2,0.56,3.3600000000000003
13,3,0.74,4.4399999999999995
13,4,0.32,1.92
13,5,0.58,3.4799999999999995
13,6,0.88,5.28
13,7,0.9,5.4
13,8,0.91,5.46
13,9,1.34,8.040000000000001
13,10,1.2,7.199999999999999
13,11,0.71,4.26
13,12,0.24,1.44
13,13,0.11,0.66
13,14,0.23,1.3800000000000001
13,15,0.43,2.58
13,16,0.46,2.7600000000000002
13,17,0.82,4.92
13,18,1.13,6.779999999999999
13,19,1.66,9.959999999999999
13,20,1.31,7.86
13,21,0.76,4.5600000000000005
13,22,0.68,4.08
13,23,1.17,7.02
13,24,0.85,5.1
13,25,0.91,5.46
14,1,0.31,1.8599999999999999
14,2,0.58,3.4799999999999995
14,3,0.77,4.62
14,4,0.44,2.64
14,5,0.78,4.68
14,6,1.07,6.42
14,7,1.1,6.6000000000000005
14,8,1.12,6.720000000000001
14,9,1.55,9.3
14,10,1.41,8.459999999999999
14,11,0.92,5.5200000000000005
14,12,0.45,2.7
14,13,0.23,1.3800000000000001
14,14,0.11,0.66
14,15,0.24,1.44
14,16,0.33,1.98
14,17,0.87,5.22
14,18,1.34,8.040000000000001
14,19,1.87,11.22
14,20,1.52,9.120000000000001
14,21,0.97,5.82
14,22,0.49,2.94
14,23,1.0,6.0
14,24,0.88,5.28
14,25,0.94,5.64
15,1,0.36,2.16
15,2,0.63,3.7800000000000002
15,3,0.83,4.9799999999999995
15,4,0.62,3.7199999999999998
15,5,0.98,5.88
15,6,1.25,7.5
15,7,1.3,7.800000000000001
15,8,1.33,7.98
15,9,1.75,10.5
15,10,1.61,9.66
15,11,1.12,6.720000000000001
15,12,0.65,3.9000000000000004
15,13,0.43,2.58
15,14,0.24,1.44
15,15,0.12,0.72
15,16,0.47,2.82
15,17,0.87,5.22
15,18,1.54,9.24
15,19,2.07,12.419999999999998
15,20,1.72,10.32
15,21,1.17,7.02
15,22,0.55,3.3000000000000003
15,23,0.78,4.68
15,24,0.94,5.64
15,25,0.99,5.9399999999999995
16,1,0.68,4.08
16,2,0.83,4.9799999999999995
16,3,1.03,6.18
16,4,0.68,4.08
16,5,1.0,6.0
16,6,1.3,7.800000000000001
16,7,1.32,7.92
16,8,1.34,8.040000000000001
16,9,1.74,10.44
16,10,1.6,9.600000000000001
16,11,1.13,6.779999999999999
16,12,0.67,4.0200000000000005
16,13,0.46,2.7600000000000002
16,14,0.47,2.82
16,15,0.62,3.7199999999999998
16,16,0.17,1.02
16,17,0.63,3.7800000000000002
16,18,1.08,6.48
16,19,1.61,9.66
16,20,1.26,7.5600000000000005
16,21,0.71,4.26
16,22,0.87,5.22
16,23,1.37,8.22
16,24,1.14,6.84
16,25,1.19,7.14
17,1,0.94,5.64
17,2,1.21,7.26
17,3,1.39,8.34
17,4,0.97,5.82
17,5,1.23,7.38
17,6,1.53,9.18
17,7,1.55,9.3
17,8,1.56,9.36
17,9,1.96,11.76
17,10,1.83,10.98
17,11,1.36,8.16
17,12,0.89,5.34
17,13,0.82,4.92
17,14,0.73,4.38
17,15,0.87,5.22
17,16,0.55,3.3000000000000003
17,17,0.29,1.7399999999999998
17,18,0.58,3.4799999999999995
17,19,1.12,6.720000000000001
17,20,1.49,8.94
17,21,0.93,5.58
17,22,1.13,6.779999999999999
17,23,1.56,9.36
17,24,1.5,9.0
17,25,1.56,9.36
18,1,1.55,9.3
18,2,1.46,8.76
18,3,1.44,8.64
18,4,1.22,7.32
18,5,1.05,6.300000000000001
18,6,1.42,8.52
18,7,1.26,7.5600000000000005
18,8,1.21,7.26
18,9,1.47,8.82
18,10,1.33,7.98
18,11,0.87,5.22
18,12,0.96,5.76
18,13,1.13,6.779999999999999
18,14,1.34,8.040000000000001
18,15,1.55,9.3
18,16,1.07,6.42
18,17,0.58,3.4799999999999995
18,18,0.26,1.56
18,19,0.62,3.7199999999999998
18,20,0.99,5.9399999999999995
18,21,0.57,3.42
18,22,1.8,10.8
18,23,2.16,12.96
18,24,1.75,10.5
18,25,1.6,9.600000000000001
19,1,2.08,12.48
19,2,1.99,11.94
19,3,1.97,11.82
19,4,1.75,10.5
19,5,1.58,9.48
19,6,1.67,10.02
19,7,1.49,8.94
19,8,1.38,8.28
19,9,1.06,6.36
19,10,0.87,5.22
19,11,0.99,5.9399999999999995
19,12,1.49,8.94
19,13,1.67,10.02
19,14,1.87,11.22
19,15,2.08,12.48
19,16,1.6,9.600000000000001
19,17,1.12,6.720000000000001
19,18,0.62,3.7199999999999998
19,19,0.29,1.7399999999999998
19,20,0.67,4.0200000000000005
19,21,0.93,5.58
19,22,2.33,13.98
19,23,2.7,16.200000000000003
19,24,2.28,13.68
19,25,2.13,12.78
20,1,1.82,10.92
20,2,1.73,10.379999999999999
20,3,1.7,10.2
20,4,1.49,8.94
20,5,1.32,7.92
20,6,1.39,8.34
20,7,1.22,7.32
20,8,1.02,6.12
20,9,0.62,3.7199999999999998
20,10,0.42,2.52
20,11,0.72,4.32
20,12,1.23,7.38
20,13,1.4,8.399999999999999
20,14,1.61,9.66
20,15,1.82,10.92
20,16,1.49,8.94
20,17,1.5,9.0
20,18,1.0,6.0
20,19,0.63,3.7800000000000002
20,20,0.23,1.3800000000000001
20,21,0.82,4.92
20,22,2.07,12.419999999999998
20,23,2.55,15.299999999999999
20,24,2.02,12.120000000000001
20,25,1.86,11.16
21,1,1.18,7.08
21,2,1.08,6.48
21,3,1.06,6.36
21,4,0.84,5.04
21,5,0.68,4.08
21,6,1.05,6.300000000000001
21,7,0.88,5.28
21,8,0.79,4.74
21,9,1.05,6.300000000000001
21,10,0.91,5.46
21,11,0.45,2.7
21,12,0.58,3.4799999999999995
21,13,0.76,4.5600000000000005
21,14,0.97,5.82
21,15,1.17,7.02
21,16,0.96,5.76
21,17,1.11,6.66
21,18,0.61,3.66
21,19,0.92,5.5200000000000005
21,20,0.58,3.4799999999999995
21,21,0.23,1.3800000000000001
21,22,1.42,8.52
21,23,1.9,11.399999999999999
21,24,1.38,8.28
21,25,1.22,7.32
22,1,0.68,4.08
22,2,0.57,3.42
22,3,0.76,4.5600000000000005
22,4,0.68,4.08
22,5,1.08,6.48
22,6,1.29,7.74
22,7,1.4,8.399999999999999
22,8,1.43,8.58
22,9,1.87,11.22
22,10,1.95,11.7
22,11,1.46,8.76
22,12,1.0,6.0
22,13,0.92,5.5200000000000005
22,14,0.8,4.800000000000001
22,15,0.58,3.4799999999999995
22,16,1.01,6.0600000000000005
22,17,1.36,8.16
22,18,1.89,11.34
22,19,2.41,14.46
22,20,2.07,12.419999999999998
22,21,1.51,9.06
22,22,0.15,0.8999999999999999
22,23,0.62,3.7199999999999998
22,24,0.62,3.7199999999999998
22,25,0.68,4.08
23,1,1.07,6.42
23,2,0.95,5.699999999999999
23,3,1.15,6.8999999999999995
23,4,1.06,6.36
23,5,1.46,8.76
23,6,1.67,10.02
23,7,1.78,10.68
23,8,1.81,10.86
23,9,2.25,13.5
23,10,2.33,13.98
23,11,1.84,11.040000000000001
23,12,1.38,8.28
23,13,1.18,7.08
23,14,1.0,6.0
23,15,0.78,4.68
23,16,1.21,7.26
23,17,1.56,9.36
23,18,2.16,12.96
23,19,2.7,16.200000000000003
23,20,2.45,14.700000000000001
23,21,1.89,11.34
23,22,0.89,5.34
23,23,0.19,1.1400000000000001
23,24,0.61,3.66
23,25,1.02,6.12
24,1,0.49,2.94
24,2,0.37,2.2199999999999998
24,3,0.57,3.42
24,4,0.48,2.88
24,5,0.89,5.34
24,6,1.09,6.540000000000001
24,7,1.2,7.199999999999999
24,8,1.24,7.4399999999999995
24,9,1.67,10.02
24,10,1.76,10.56
24,11,1.26,7.5600000000000005
24,12,0.8,4.800000000000001
24,13,0.72,4.32
24,14,0.67,4.0200000000000005
24,15,0.75,4.5
24,16,0.9,5.4
24,17,1.37,8.22
24,18,1.69,10.14
24,19,2.22,13.32
24,20,1.87,11.22
24,21,1.32,7.92
24,22,0.32,1.92
24,23,0.62,3.7199999999999998
24,24,0.2,1.2000000000000002
24,25,0.48,2.88
25,1,0.87,5.22
25,2,0.59,3.54
25,3,0.41,2.46
25,4,0.77,4.62
25,5,0.94,5.64
25,6,0.78,4.68
25,7,1.01,6.0600000000000005
25,8,1.14,6.84
25,9,1.59,9.540000000000001
25,10,1.69,10.14
25,11,1.21,7.26
25,12,0.98,5.88
25,13,1.1,6.6000000000000005
25,14,1.05,6.300000000000001
25,15,1.13,6.779999999999999
25,16,1.28,7.68
25,17,1.75,10.5
25,18,1.81,10.86
25,19,2.18,13.080000000000002
25,20,1.83,10.98
25,21,1.44,8.64
25,22,0.84,5.04
25,23,1.03,6.18
25,24,0.5,3.0
25,25,0.13,0.78
