OMAZ,DMAZ,DIST,TIME
1,1,0.12,2.4
1,2,0.37,7.4
1,3,0.57,11.399999999999999
1,4,0.34,6.800000000000001
1,5,0.7,14.0
1,6,0.97,19.4
1,12,0.62,12.4
1,13,0.4,8.0
1,14,0.27,5.4
1,15,0.36,7.199999999999999
1,16,0.51,10.2
1,17,0.99,19.8
1,22,0.29,5.8
1,23,0.95,19.0
1,24,0.68,13.600000000000001
1,25,0.73,14.6
2,1,0.24,4.8
2,2,0.14,2.8000000000000003
2,3,0.28,5.6000000000000005
2,4,0.24,4.8
2,5,0.64,12.8
2,6,0.81,16.200000000000003
2,7,0.96,19.2
2,8,0.99,19.8
2,12,0.56,11.200000000000001
2,13,0.48,9.6
2,14,0.42,8.4
2,15,0.57,11.399999999999999
2,16,0.66,13.200000000000001
2,22,0.57,11.399999999999999
2,23,0.97,19.4
2,24,0.4,8.0
2,25,0.45,9.0
3,1,0.44,8.8
3,2,0.28,5.6000000000000005
3,3,0.14,2.8000000000000003
3,4,0.33,6.6000000000000005
3,5,0.52,10.4
3,6,0.63,12.6
3,7,0.85,17.0
3,8,0.92,18.400000000000002
3,11,0.95,19.0
3,12,0.55,11.0
3,13,0.67,13.4
3,14,0.62,12.4
3,15,0.76,15.2
3,16,0.85,17.0
3,21,1.0,20.0
3,22,0.76,15.2
3,24,0.57,11.399999999999999
3,25,0.41,8.2
4,1,0.41,8.2
4,2,0.29,5.8
4,3,0.46,9.200000000000001
4,4,0.12,2.4
4,5,0.4,8.0
4,6,0.7,14.0
4,7,0.76,15.2
4,8,0.8,16.0
4,11,0.82,16.4
4,12,0.42,8.4
4,13,0.34,6.800000000000001
4,14,0.45,9.0
4,15,0.65,13.0
4,16,0.68,13.600000000000001
4,17,0.99,19.8
4,21,0.88,17.6
4,22,0.66,13.200000000000001
4,24,0.58,11.6
4,25,0.63,12.6
5,1,0.68,13.600000000000001
5,2,0.59,11.799999999999999
5,3,0.45,9.0
5,4,0.35,7.0
5,5,0.2,4.0
5,6,0.44,8.8
5,7,0.46,9.200000000000001
5,8,0.6,12.0
5,11,0.66,13.200000000000001
5,12,0.31,6.2
5,13,0.51,10.2
5,14,0.71,14.2
5,15,0.92,18.400000000000002
5,16,0.93,18.6
5,21,0.77,15.4
5,22,0.93,18.6
5,24,0.88,17.6
5,25,0.61,12.2
6,1,0.97,19.4
6,2,0.81,16.200000000000003
6,3,0.63,12.6
6,4,0.61,12.2
6,5,0.58,11.6
6,6,0.1,2.0
6,7,0.29,5.8
6,8,0.43,8.6
6,9,0.88,17.6
6,11,0.84,16.8
6,12,0.79,15.8
6,13,0.95,19.0
6,25,0.78,15.600000000000001
7,1,0.98,19.6
7,2,0.88,17.6
7,3,0.7,14.0
7,4,0.64,12.8
7,5,0.4,8.0
7,6,0.34,6.800000000000001
7,7,0.15,3.0
7,8,0.25,5.0
7,9,0.72,14.399999999999999
7,10,0.98,19.6
7,11,0.66,13.200000000000001
7,12,0.6,12.0
7,13,0.8,16.0
7,21,0.91,18.2
7,25,0.86,17.2
8,3,0.99,19.8
8,4,0.81,16.200000000000003
8,5,0.6,12.0
8,6,0.69,13.799999999999999
8,7,0.51,10.2
8,8,0.12,2.4
8,9,0.53,10.600000000000001
8,10,0.78,15.600000000000001
8,11,0.45,9.0
8,12,0.77,15.4
8,13,0.97,19.4
8,20,0.93,18.6
8,21,0.71,14.2
9,6,0.9,18.0
9,7,0.86,17.2
9,8,0.53,10.600000000000001
9,9,0.17,3.4000000000000004
9,10,0.49,9.8
9,11,0.65,13.0
9,20,0.78,15.600000000000001
10,7,0.94,18.799999999999997
10,8,0.73,14.6
10,9,0.33,6.6000000000000005
10,10,0.21,4.2
10,11,0.49,9.8
10,19,0.94,18.799999999999997
10,20,0.47,9.399999999999999
10,21,0.92,18.400000000000002
11,3,0.99,19.8
11,4,0.79,15.8
11,5,0.61,12.2
11,6,0.84,16.8
11,7,0.65,13.0
11,8,0.54,10.8
11,9,0.63,12.6
11,10,0.49,9.8
11,11,0.23,4.6000000000000005
11,12,0.52,10.4
11,13,0.71,14.2
11,14,0.92,18.400000000000002
11,18,0.87,17.4
11,19,0.98,19.6
11,20,0.64,12.8
11,21,0.45,9.0
12,1,0.66,13.200000000000001
12,2,0.57,11.399999999999999
12,3,0.74,14.8
12,4,0.32,6.4
12,5,0.57,11.399999999999999
12,6,0.89,17.8
12,7,0.77,15.4
12,8,0.72,14.399999999999999
12,11,0.52,10.4
12,12,0.12,2.4
12,13,0.24,4.8
12,14,0.45,9.0
12,15,0.65,13.0
12,16,0.67,13.4
12,17,0.89,17.8
12,18,0.95,19.0
12,21,0.57,11.399999999999999
12,22,0.91,18.2
12,24,0.86,17.2
12,25,0.91,18.2
13,1,0.45,9.0
13,2,0.56,11.200000000000001
13,3,0.74,14.8
13,4,0.32,6.4
13,5,0.58,11.6
13,6,0.88,17.6
13,7,0.9,18.0
13,8,0.91,18.2
13,11,0.71,14.2
13,12,0.24,4.8
