OMAZ,DMAZ,DIST,DISTBIKE
10000,2000,1.49,1.49
10000,3000,1.43,1.43
10000,4000,1.25,1.25
10000,5000,1.04,1.04
10000,6000,1.11,1.11
10000,7000,0.94,0.94
10000,8000,0.73,0.73
10000,9000,0.33,0.33
10000,10000,0.21,0.21
10000,11000,0.49,0.49
10000,12000,1.01,1.01
10000,13000,1.2,1.2
10000,14000,1.41,1.41
10000,15000,1.61,1.61
10000,16000,1.61,1.61
10000,17000,1.83,1.83
10000,18000,1.34,1.34
10000,19000,0.94,0.94
10000,20000,0.47,0.47
10000,21000,0.92,0.92
10000,22000,1.83,1.83
10000,23000,2.31,2.31
10000,24000,1.79,1.79
10000,25000,1.58,1.58
11000,1000,1.13,1.13
11000,2000,1.04,1.04
11000,3000,0.99,0.99
11000,4000,0.79,0.79
11000,5000,0.61,0.61
11000,6000,0.84,0.84
11000,7000,0.65,0.65
11000,8000,0.54,0.54
11000,9000,0.63,0.63
11000,10000,0.49,0.49
11000,11000,0.23,0.23
11000,12000,0.52,0.52
11000,13000,0.71,0.71
11000,14000,0.92,0.92
11000,15000,1.12,1.12
11000,16000,1.13,1.13
11000,17000,1.35,1.35
11000,18000,0.87,0.87
11000,19000,0.98,0.98
11000,20000,0.64,0.64
11000,21000,0.45,0.45
11000,22000,1.37,1.37
11000,23000,1.85,1.85
11000,24000,1.33,1.33
11000,25000,1.15,1.15
12000,1000,0.66,0.66
12000,2000,0.57,0.57
12000,3000,0.74,0.74
12000,4000,0.32,0.32
12000,5000,0.57,0.57
12000,6000,0.89,0.89
12000,7000,0.77,0.77
12000,8000,0.72,0.72
12000,9000,1.15,1.15
12000,10000,1.01,1.01
12000,11000,0.52,0.52
12000,12000,0.12,0.12
12000,13000,0.24,0.24
12000,14000,0.45,0.45
12000,15000,0.65,0.65
12000,16000,0.67,0.67
12000,17000,0.89,0.89
12000,18000,0.95,0.95
12000,19000,1.47,1.47
12000,20000,1.13,1.13
12000,21000,0.57,0.57
12000,22000,0.91,0.91
12000,23000,1.38,1.38
12000,24000,0.86,0.86
12000,25000,0.91,0.91
13000,1000,0.45,0.45
13000,2000,0.56,0.56
13000,3000,0.74,0.74
13000,4000,0.32,0.32
13000,5000,0.58,0.58
13000,6000,0.88,0.88
13000,7000,0.9,0.9
13000,8000,0.91,0.91
13000,9000,1.34,1.34
13000,10000,1.2,1.2
13000,11000,0.71,0.71
13000,12000,0.24,0.24
13000,13000,0.11,0.11
13000,14000,0.23,0.23
13000,15000,0.43,0.43
13000,16000,0.46,0.46
13000,17000,0.82,0.82
13000,18000,1.13,1.13
13000,19000,1.66,1.66
13000,20000,1.31,1.31
13000,21000,0.76,0.76
13000,22000,0.68,0.68
13000,23000,1.17,1.17
13000,24000,0.85,0.85
13000,25000,0.91,0.91
14000,1000,0.31,0.31
14000,2000,0.58,0.58
14000,3000,0.77,0.77
14000,4000,0.44,0.44
14000,5000,0.78,0.78
14000,6000,1.07,1.07
14000,7000,1.1,1.1
14000,8000,1.12,1.12
14000,9000,1.55,1.55
14000,10000,1.41,1.41
14000,11000,0.92,0.92
14000,12000,0.45,0.45
14000,13000,0.23,0.23
14000,14000,0.11,0.11
14000,15000,0.24,0.24
14000,16000,0.33,0.33
14000,17000,0.87,0.87
14000,18000,1.34,1.34
14000,19000,1.87,1.87
14000,20000,1.52,1.52
14000,21000,0.97,0.97
14000,22000,0.49,0.49
14000,23000,1.0,1.0
14000,24000,0.88,0.88
14000,25000,0.94,0.94
15000,1000,0.36,0.36
15000,2000,0.63,0.63
15000,3000,0.83,0.83
15000,4000,0.62,0.62
15000,5000,0.98,0.98
15000,6000,1.25,1.25
15000,7000,1.3,1.3
15000,8000,1.33,1.33
15000,9000,1.75,1.75
15000,10000,1.61,1.61
15000,11000,1.12,1.12
15000,12000,0.65,0.65
15000,13000,0.43,0.43
15000,14000,0.24,0.24
15000,15000,0.12,0.12
15000,16000,0.47,0.47
15000,17000,0.87,0.87
15000,18000,1.54,1.54
15000,19000,2.07,2.07
15000,20000,1.72,1.72
15000,21000,1.17,1.17
15000,22000,0.55,0.55
15000,23000,0.78,0.78
15000,24000,0.94,0.94
15000,25000,0.99,0.99
16000,1000,0.68,0.68
16000,2000,0.83,0.83
16000,3000,1.03,1.03
16000,4000,0.68,0.68
16000,5000,1.0,1.0
16000,6000,1.3,1.3
16000,7000,1.32,1.32
16000,8000,1.34,1.34
16000,9000,1.74,1.74
16000,10000,1.6,1.6
16000,11000,1.13,1.13
16000,12000,0.67,0.67
16000,13000,0.46,0.46
16000,14000,0.47,0.47
16000,15000,0.62,0.62
16000,16000,0.17,0.17
16000,17000,0.63,0.63
16000,18000,1.08,1.08
16000,19000,1.61,1.61
16000,20000,1.26,1.26
16000,21000,0.71,0.71
16000,22000,0.87,0.87
16000,23000,1.37,1.37
16000,24000,1.14,1.14
16000,25000,1.19,1.19
17000,1000,0.94,0.94
17000,2000,1.21,1.21
17000,3000,1.39,1.39
17000,4000,0.97,0.97
17000,5000,1.23,1.23
17000,6000,1.53,1.53
17000,7000,1.55,1.55
17000,8000,1.56,1.56
17000,9000,1.96,1.96
17000,10000,1.83,1.83
17000,11000,1.36,1.36
17000,12000,0.89,0.89
17000,13000,0.82,0.82
17000,14000,0.73,0.73
17000,15000,0.87,0.87
17000,16000,0.55,0.55
17000,17000,0.29,0.29
17000,18000,0.58,0.58
17000,19000,1.12,1.12
17000,20000,1.49,1.49
17000,21000,0.93,0.93
17000,22000,1.13,1.13
17000,23000,1.56,1.56
17000,24000,1.5,1.5
17000,25000,1.56,1.56
18000,1000,1.55,1.55
18000,2000,1.46,1.46
18000,3000,1.44,1.44
18000,4000,1.22,1.22
18000,5000,1.05,1.05
18000,6000,1.42,1.42
18000,7000,1.26,1.26
18000,8000,1.21,1.21
18000,9000,1.47,1.47
18000,10000,1.33,1.33
18000,11000,0.87,0.87
18000,12000,0.96,0.96
18000,13000,1.13,1.13
18000,14000,1.34,1.34
18000,15000,1.55,1.55
18000,16000,1.07,1.07
18000,17000,0.58,0.58
18000,18000,0.26,0.26
18000,19000,0.62,0.62
18000,20000,0.99,0.99
18000,21000,0.57,0.57
18000,22000,1.8,1.8
18000,23000,2.16,2.16
18000,24000,1.75,1.75
18000,25000,1.6,1.6
19000,1000,2.08,2.08
19000,2000,1.99,1.99
19000,3000,1.97,1.97
19000,4000,1.75,1.75
19000,5000,1.58,1.58
19000,6000,1.67,1.67
19000,7000,1.49,1.49
19000,8000,1.38,1.38
19000,9000,1.06,1.06
19000,10000,0.87,0.87
19000,11000,0.99,0.99
19000,12000,1.49,1.49
19000,13000,1.67,1.67
19000,14000,1.87,1.87
19000,15000,2.08,2.08
