MAZ,TAP,DISTBIKE,bike_time
10000,90014,1.41,846.0
10000,90016,1.6,960.0
10000,90017,1.83,1098.0
10000,90018,1.33,798.0
10000,90019,0.87,522.0
10000,90020,0.42,252.0
10000,90021,0.91,546.0
10000,90022,1.95,1170.0
10000,90023,2.33,1398.0
10000,90024,1.76,1056.0
10000,90025,1.69,1014.0
11000,90002,1.02,612.0
11000,90005,0.66,396.0
11000,90006,0.84,504.0
11000,90007,0.66,396.0
11000,90008,0.45,270.0
11000,90009,0.65,390.0
11000,90010,0.49,294.0
11000,90011,0.23,138.0
11000,90012,0.52,312.0
11000,90014,0.92,552.0
11000,90016,1.13,677.9999999999999
11000,90017,1.36,816.0000000000001
11000,90018,0.87,522.0
11000,90019,0.99,594.0
11000,90020,0.72,432.0
11000,90021,0.45,270.0
11000,90022,1.46,876.0
11000,90023,1.84,1104.0
11000,90024,1.26,756.0
11000,90025,1.21,726.0
12000,90002,0.56,336.00000000000006
12000,90005,0.31,186.0
12000,90006,0.79,474.0
12000,90007,0.6,360.0
12000,90008,0.77,462.0
12000,90009,1.17,702.0
12000,90010,1.01,606.0
12000,90011,0.52,312.0
12000,90012,0.12,72.0
12000,90014,0.45,270.0
12000,90016,0.67,402.0
12000,90017,0.89,534.0
12000,90018,0.96,576.0
12000,90019,1.49,894.0
12000,90020,1.23,738.0
12000,90021,0.58,348.0
12000,90022,1.0,600.0
12000,90023,1.38,827.9999999999999
12000,90024,0.8,480.0
12000,90025,0.98,588.0
13000,90002,0.48,288.0
13000,90005,0.51,306.0
13000,90006,0.95,570.0
13000,90007,0.8,480.0
13000,90008,0.97,582.0
13000,90009,1.36,816.0000000000001
13000,90010,1.2,720.0
13000,90011,0.71,426.0
13000,90012,0.24,144.0
13000,90014,0.23,138.0
13000,90016,0.46,276.0
13000,90017,0.82,491.99999999999994
13000,90018,1.13,677.9999999999999
13000,90019,1.67,1002.0
13000,90020,1.4,840.0
13000,90021,0.76,456.0
13000,90022,0.92,552.0
13000,90023,1.18,708.0
13000,90024,0.72,432.0
13000,90025,1.1,660.0
14000,90002,0.42,252.0
14000,90005,0.71,426.0
14000,90006,1.05,630.0
14000,90007,1.01,606.0
14000,90008,1.18,708.0
14000,90009,1.57,942.0
14000,90010,1.41,846.0
14000,90011,0.92,552.0
14000,90012,0.45,270.0
14000,90014,0.11,66.0
14000,90016,0.47,282.0
14000,90017,0.73,438.0
14000,90018,1.34,804.0
14000,90019,1.87,1122.0
14000,90020,1.61,966.0000000000001
14000,90021,0.97,582.0
14000,90022,0.8,480.0
14000,90023,1.0,600.0
14000,90024,0.67,402.0
14000,90025,1.05,630.0
15000,90002,0.57,341.99999999999994
15000,90005,0.92,552.0
15000,90006,1.25,750.0
15000,90007,1.21,726.0
15000,90008,1.38,827.9999999999999
15000,90009,1.77,1062.0
15000,90010,1.61,966.0000000000001
15000,90011,1.12,672.0000000000001
15000,90012,0.65,390.0
15000,90014,0.24,144.0
15000,90016,0.62,372.0
15000,90017,0.87,522.0
15000,90018,1.55,930.0
15000,90019,2.08,1248.0
15000,90020,1.82,1092.0
15000,90021,1.17,702.0
15000,90022,0.58,348.0
15000,90023,0.78,468.0
15000,90024,0.75,450.0
15000,90025,1.13,677.9999999999999
16000,90002,0.66,396.0
16000,90005,0.93,558.0
16000,90006,1.29,774.0
16000,90007,1.22,732.0
16000,90008,1.39,833.9999999999999
16000,90009,1.77,1062.0
16000,90010,1.61,966.0000000000001
16000,90011,1.13,677.9999999999999
16000,90012,0.67,402.0
16000,90014,0.33,198.0
16000,90016,0.17,102.00000000000001
16000,90017,0.55,330.0
16000,90018,1.07,642.0
16000,90019,1.6,960.0
16000,90020,1.49,894.0
16000,90021,0.96,576.0
16000,90022,1.01,606.0
16000,90023,1.21,726.0
16000,90024,0.9,540.0
16000,90025,1.28,768.0
17000,90002,1.13,677.9999999999999
17000,90005,1.16,696.0
17000,90006,1.6,960.0
17000,90007,1.45,870.0
17000,90008,1.61,966.0000000000001
17000,90009,1.98,1188.0
17000,90010,1.83,1098.0
17000,90011,1.35,810.0
17000,90012,0.89,534.0
17000,90014,0.87,522.0
17000,90016,0.63,378.0
17000,90017,0.29,174.0
17000,90018,0.58,348.0
17000,90019,1.12,672.0000000000001
17000,90020,1.5,900.0
17000,90021,1.11,666.0000000000001
17000,90022,1.36,816.0000000000001
17000,90023,1.56,936.0
17000,90024,1.37,822.0000000000001
17000,90025,1.75,1050.0
18000,90002,1.45,870.0
18000,90005,1.14,683.9999999999999
18000,90006,1.52,912.0
18000,90007,1.33,798.0
18000,90008,1.13,677.9999999999999
18000,90009,1.5,900.0
18000,90010,1.34,804.0
18000,90011,0.87,522.0
18000,90012,0.95,570.0
18000,90014,1.34,804.0
18000,90016,1.08,648.0
18000,90017,0.58,348.0
18000,90018,0.26,156.0
18000,90019,0.62,372.0
18000,90020,1.0,600.0
18000,90021,0.61,366.0
18000,90022,1.89,1134.0
18000,90023,2.16,1296.0
18000,90024,1.69,1014.0
18000,90025,1.81,1086.0
19000,90002,1.97,1182.0
19000,90005,1.63,977.9999999999999
19000,90006,1.64,983.9999999999999
19000,90007,1.48,888.0
19000,90008,1.27,762.0
19000,90009,1.13,677.9999999999999
19000,90010,0.94,564.0
19000,90011,0.98,588.0
19000,90012,1.47,882.0
19000,90014,1.87,1122.0
19000,90016,1.61,966.0000000000001
19000,90017,1.12,672.0000000000001
19000,90018,0.62,372.0
19000,90019,0.29,174.0
19000,90020,0.63,378.0
19000,90021,0.92,552.0
19000,90022,2.41,1446.0
19000,90023,2.7,1620.0
19000,90024,2.22,1332.0000000000002
19000,90025,2.18,1308.0
20000,90002,1.63,977.9999999999999
20000,90005,1.28,768.0
20000,90006,1.29,774.0
20000,90007,1.13,677.9999999999999
20000,90008,0.93,558.0
20000,90009,0.78,468.0
20000,90010,0.47,282.0
20000,90011,0.64,384.0
20000,90012,1.13,677.9999999999999
20000,90014,1.52,912.0
20000,90016,1.26,756.0
20000,90017,1.49,894.0
20000,90018,0.99,594.0
20000,90019,0.67,402.0
