MAZ,TAP,DISTWALK,walk_time
492,1238,0.4753999999999999,9.508
492,1333,0.68785,13.757
492,1558,0.8954000000000001,17.908
492,1559,0.63625,12.725
492,1603,0.31245,6.249
492,1604,0.06315,1.263
492,1606,0.18655,3.7310000000000003
492,1607,0.60005,12.001
492,1608,0.5709500000000001,11.419
492,1611,0.6223,12.446
492,1612,0.93115,18.623
492,1651,0.44035,8.807
492,1652,0.59365,11.873
492,1653,0.9233,18.465999999999998
492,1665,0.61775,12.355
492,1681,0.95445,19.089000000000002
492,1748,0.95045,19.009
493,1238,0.7055,14.11
493,1333,0.6536500000000001,13.073
493,1558,0.9459,18.918
493,1559,0.741,14.82
493,1603,0.34725,6.945
493,1604,0.16695,3.339
493,1606,0.41665,8.333
493,1607,0.8301499999999999,16.602999999999998
493,1608,0.66455,13.290999999999999
493,1611,0.8511000000000001,17.022000000000002
493,1651,0.2776,5.5520000000000005
493,1652,0.55945,11.189
493,1653,0.9888,19.776
493,1658,0.97655,19.531
493,1665,0.38635,7.727
493,1681,0.72305,14.460999999999999
493,1748,0.91625,18.325
494,1238,0.7609999999999999,15.22
494,1333,0.70915,14.183
494,1559,0.7996000000000001,15.992
494,1603,0.47315,9.463
494,1604,0.22555,4.511
494,1606,0.47215,9.443
494,1607,0.88565,17.713
494,1608,0.72005,14.401
494,1611,0.90655,18.131
494,1651,0.1517,3.034
494,1652,0.439,8.78
494,1653,0.8821,17.642
494,1658,0.8698,17.396
494,1665,0.32905,6.581
494,1681,0.6658000000000001,13.315999999999999
494,1748,0.8095000000000001,16.19
495,1238,0.6845,13.69
495,1333,0.3945,7.89
495,1559,0.92285,18.457
495,1603,0.6035,12.07
495,1604,0.35589999999999994,7.117999999999999
495,1606,0.3957,7.914
495,1607,0.8092,16.184
495,1608,0.6435500000000001,12.870999999999999
495,1611,0.8301000000000001,16.602
495,1651,0.2329,4.658
495,1652,0.3036,6.072
495,1653,0.74665,14.933
495,1658,0.7344,14.687999999999999
495,1665,0.41025,8.205
495,1681,0.747,14.94
495,1694,0.91965,18.393
495,1748,0.67405,13.481
496,1238,0.6845,13.69
496,1333,0.3945,7.89
496,1559,0.92285,18.457
496,1603,0.6035,12.07
