coefficient_name,work,univ,school,escort,shopping,eatout,othmaint,social,othdiscr,atwork
c_ivt,-0.03705,-0.03705,-0.01272,-0.03213,-0.03213,-0.03213,-0.03213,-0.03213,-0.03213,-0.03213
c_ovt,0,0,-0.02544,0,0,0,0,0,0,0
c_pnrTime,-0.0741,-0.0741,-0.0254,-0.0643,-0.0643,-0.0643,-0.0643,-0.0643,-0.0643,0
c_knrTime,-0.0926,-0.0926,-0.0318,-0.0803,-0.0803,-0.0803,-0.0803,-0.0803,-0.0803,0
sov_cons,0,0,5,5,5,5,5,5,5,5
hov2_cons,0,0,5,5,5,5,5,5,5,5
hov3_cons,0,0,5,5,5,5,5,5,5,5
pay_md_cons,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
drv_prm_const,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,0
cost_parking_prim,7.1,5.1,7.3,1.9,1.9,1.9,1.9,1.9,1.9,7.1
cost_parking_org,0.9,1.5,1.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9
cost_parking_dest,0.9,1.5,1.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9
c_cost_low,-0.0154,-0.0154,-0.0079,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
c_cost_med,-0.0034,-0.0034,-0.0018,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045
c_cost_high,-0.0021,-0.0021,-0.0011,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027
c_walkTimeShort,-0.0741,-0.0741,-0.02544,-0.086751,-0.086751,-0.086751,-0.086751,-0.086751,-0.086751,-0.086751
c_walkTimeLong,-0.092625,-0.0741,-0.02544,-0.061047,-0.061047,-0.061047,-0.061047,-0.061047,-0.061047,-0.061047
c_bikeTime,-0.166725,-0.0741,-0.02544,-0.061047,-0.061047,-0.061047,-0.061047,-0.061047,-0.061047,-0.061047
c_firstWaitShort,-0.0741,-0.0741,-0.02544,-0.06426,-0.06426,-0.06426,-0.06426,-0.06426,-0.06426,-0.06426
c_firstWaitLong,-0.0741,-0.0741,-0.02544,-0.06426,-0.06426,-0.06426,-0.06426,-0.06426,-0.06426,-0.06426
c_xferWait,-0.055575,-0.055575,-0.01908,-0.048195,-0.048195,-0.048195,-0.048195,-0.048195,-0.048195,-0.048195
c_filter_wrk,1,0,0,0,0,0,0,0,0,0
c_filter_univ,0,1,0,0,0,0,0,0,0,0
c_filter_sch,0,0,1,0,0,0,0,0,0,0
c_filter_nman,0,0,0,1,1,1,1,1,1,0
c_filter_atwrk,0,0,0,0,0,0,0,0,0,1
# firstWaitThresh,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
# walkThresh,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667
# expr,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
# hrt,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
# lrt,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
# brt,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
# crl,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
