primary_purpose,outbound,depart_range_start,depart_range_end,person_type,work,univ,school,escort,shopping,othmaint,eatout,social,othdiscr
othdiscr,TRUE,1,48,PTYPE_NONWORK,0,0,0,0.2196,0.2622,0.249,0.0893,0.0788,0.1011
othdiscr,TRUE,1,48,PTYPE_RETIRED,0,0,0,0.149,0.0596,0.1974,0.0708,0,0.5232
othdiscr,TRUE,1,48,PTYPE_DRIVING,0,0,0,0.6729,0,0,0.087,0,0.2401
othdiscr,TRUE,1,48,PTYPE_SCHOOL,0,0,0,0.0433,0.1016,0.6538,0.1274,0.0737,0.0002
othdiscr,TRUE,1,48,PTYPE_PRESCHOOL,0,0,0,0.2385,0,0.3807,0.0711,0.2385,0.0712
atwork,TRUE,1,48,PTYPE_FULL,0.6086,0,0,0.0312,0.0976,0.0699,0.1324,0.0124,0.0479
atwork,TRUE,1,48,PTYPE_PART,0.6086,0,0,0.0312,0.0976,0.0699,0.1324,0.0124,0.0479
atwork,TRUE,1,48,PTYPE_UNIVERSITY,0.6086,0,0,0.0312,0.0976,0.0699,0.1324,0.0124,0.0479
atwork,TRUE,1,48,PTYPE_NONWORK,0.6086,0,0,0.0312,0.0976,0.0699,0.1324,0.0124,0.0479
atwork,TRUE,1,48,PTYPE_RETIRED,0.6086,0,0,0.0312,0.0976,0.0699,0.1324,0.0124,0.0479
atwork,TRUE,1,48,PTYPE_DRIVING,0.6086,0,0,0.0312,0.0976,0.0699,0.1324,0.0124,0.0479
atwork,TRUE,1,48,PTYPE_SCHOOL,0.6086,0,0,0.0312,0.0976,0.0699,0.1324,0.0124,0.0479
atwork,TRUE,1,48,PTYPE_PRESCHOOL,0.6086,0,0,0.0312,0.0976,0.0699,0.1324,0.0124,0.0479
#,,,,,,,,,,,,,
work,FALSE,1,24,PTYPE_FULL,0.331,0,0,0.1352,0.1584,0.2174,0.0865,0.031,0.0405
work,FALSE,1,24,PTYPE_PART,0.1427,0,0,0.1478,0.311,0.2506,0.0696,0.0435,0.0348
work,FALSE,1,24,PTYPE_UNIVERSITY,0.1539,0.0593,0,0.0706,0.2044,0.2601,0.1146,0.059,0.0781
work,FALSE,1,24,PTYPE_DRIVING,0.0001,0,0,0,0.1585,0.5062,0.3352,0,0
work,FALSE,25,48,PTYPE_FULL,0.0609,0,0,0.2385,0.2663,0.2131,0.069,0.054,0.0982
work,FALSE,25,48,PTYPE_PART,0.0677,0,0,0.2097,0.2613,0.2104,0.0742,0.0744,0.1023
work,FALSE,25,48,PTYPE_UNIVERSITY,0.0347,0.1777,0,0.1615,0.2203,0.1924,0.0954,0.0714,0.0466
work,FALSE,25,48,PTYPE_DRIVING,0.0003,0,0,0.0558,0.1903,0.1307,0.1267,0,0.4962
univ,FALSE,1,48,PTYPE_UNIVERSITY,0.0639,0.0745,0,0.1638,0.1974,0.2148,0.1032,0.1097,0.0727
school,FALSE,1,48,PTYPE_DRIVING,0.0794,0,0.0591,0.2037,0.1118,0.1502,0.115,0.1571,0.1237
school,FALSE,1,48,PTYPE_SCHOOL,0,0,0.0909,0.2298,0.1601,0.1946,0.0524,0.1116,0.1606
school,FALSE,1,48,PTYPE_PRESCHOOL,0,0,0.0357,0.2909,0.1328,0.175,0.0641,0.1463,0.1552
escort,FALSE,1,48,PTYPE_FULL,0,0,0,0.3157,0.2711,0.213,0.128,0.0322,0.04
escort,FALSE,1,48,PTYPE_PART,0,0,0,0.3222,0.2217,0.1996,0.1355,0.0613,0.0597
escort,FALSE,1,48,PTYPE_UNIVERSITY,0,0,0,0.2039,0.3103,0.2991,0.1713,0.0048,0.0106
escort,FALSE,1,48,PTYPE_NONWORK,0,0,0,0.338,0.2032,0.2278,0.0717,0.0504,0.1089
escort,FALSE,1,48,PTYPE_RETIRED,0,0,0,0.4593,0.1443,0.2561,0.0425,0.063,0.0348
escort,FALSE,1,48,PTYPE_DRIVING,0,0,0,0.2565,0.0649,0.24,0.2704,0,0.1682
escort,FALSE,1,48,PTYPE_SCHOOL,0,0,0,0.2955,0.2634,0.2305,0.076,0.0197,0.1149
escort,FALSE,1,48,PTYPE_PRESCHOOL,0,0,0,0.432,0.1411,0.2218,0.0548,0.0923,0.058
shopping,FALSE,1,48,PTYPE_FULL,0,0,0,0.0691,0.4753,0.2504,0.1534,0.0404,0.0114
shopping,FALSE,1,48,PTYPE_PART,0,0,0,0.0886,0.4938,0.2357,0.0934,0.0457,0.0428
shopping,FALSE,1,48,PTYPE_UNIVERSITY,0,0,0,0.113,0.3952,0.255,0.167,0.0435,0.0263
shopping,FALSE,1,48,PTYPE_NONWORK,0,0,0,0.091,0.4427,0.307,0.0634,0.0494,0.0465
shopping,FALSE,1,48,PTYPE_RETIRED,0,0,0,0.0669,0.4633,0.2726,0.1101,0.0464,0.0407
shopping,FALSE,1,48,PTYPE_DRIVING,0,0,0,0.3719,0.5467,0,0.0814,0,0
shopping,FALSE,1,48,PTYPE_SCHOOL,0,0,0,0.4205,0.05,0.0684,0.1601,0.0963,0.2047
shopping,FALSE,1,48,PTYPE_PRESCHOOL,0,0,0,0.2755,0.2402,0.2546,0.0454,0.0514,0.1329
