process,time,rss,used,available,percent,event
main, 17/01/2021 12:17:51, 0.09, 8.27, 5.52, 65.5%, #MEM pipeline.run before preload_injectables
main, 17/01/2021 12:17:51, 0.09, 8.27, 5.52, 65.5%, #MEM pipeline.run before run_models
