zone_id,construc,manufac,TCU,wholesl,retail,FIRE,service,private,govt,emp,pop,hshld,univ,acres,otherEmp,district,PARKTOT,PARKLNG,PROPFREE,PARKRATE,areatype,county,CBDFlag,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92,EnrollDS,EnrollPD,I_PCTLT10K,I_PCT10TO20,I_PCT20TO40,I_PCTGT40,RetailEmp30,PARKING_ZONE
110,5,1,0,90,3,0,32,131,0,131,1248,418,0,370,96,1,0,0,0.0,0.0,5,1,0,0,0,0,5,1,90,3,0,0,0,0,12,0,8,0,12,0,0,0,0,0,0,0.96,1.91,6.46,90.67,0.0,0
111,0,0,2,5,83,20,180,290,0,290,3002,1010,0,1100,27,1,0,0,0.0,0.0,5,1,0,1,0,0,0,0,5,55,0,2,5,15,35,0,20,66,28,0,28,30,0,0,888,2.18,2.38,8.81,86.63,0.0,0
112,4,0,0,0,15,1,24,44,0,44,1945,647,0,312,5,1,0,0,0.0,0.0,5,1,0,0,0,0,4,0,0,15,0,0,0,1,16,0,2,0,1,0,0,5,0,0,0,0.46,0.77,6.18,92.58,0.0,0
113,0,0,0,4,180,7,53,244,0,244,1997,709,0,205,11,1,0,0,0.0,0.0,4,1,0,0,0,0,0,0,4,58,0,0,6,1,0,0,15,1,37,0,122,0,0,0,0,0.42,0.71,6.77,92.1,0.0,0
114,32,0,1,8,551,32,518,1142,0,1142,2575,1032,0,341,73,1,0,0,0.0,0.0,2,1,0,0,0,0,32,0,8,249,1,0,21,11,52,0,66,289,42,0,302,69,0,0,817,0.48,1.07,10.27,88.18,0.0,0
115,0,0,0,0,0,0,39,39,0,39,2860,857,0,421,0,1,0,0,0.0,0.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,10,1,0,1,0,0,0,1.28,1.28,3.03,94.4,0.0,0
116,0,1,10,0,0,0,4,15,0,15,1286,328,0,308,11,1,0,0,0.0,0.0,4,1,0,0,0,0,0,1,0,0,0,10,0,0,2,0,2,0,0,0,0,0,0,0,0,1.52,1.22,3.96,93.29,0.0,0
117,5,29,35,75,214,158,1102,1618,0,1618,2452,856,0,406,302,1,0,0,0.0,0.0,3,1,0,0,0,0,5,29,75,1,0,35,119,39,777,0,164,112,43,6,213,0,0,0,495,1.05,1.17,2.1,95.68,0.0,0
118,8,4,553,32,870,90,622,2179,86,2265,7,1,0,151,773,1,0,0,0.0,0.0,3,1,0,0,0,0,8,4,32,332,0,553,90,0,282,55,227,0,58,0,538,0,86,0,0,100.0,0.0,0.0,0.0,0.0,0
119,0,6,46,1528,60,820,1597,4057,2,4059,83,64,0,321,2402,1,0,0,0.0,0.0,4,1,0,0,0,0,0,6,1528,0,0,46,792,28,703,20,430,0,443,1,60,0,2,0,0,9.38,18.75,23.44,48.44,0.0,0
120,6,39,77,498,7,765,784,2176,2,2178,4,1,0,317,1387,1,0,0,0.0,0.0,5,1,0,0,0,0,6,39,498,1,43,34,756,9,304,0,242,9,228,1,6,0,2,0,0,0.0,0.0,0.0,100.0,0.0,0
121,0,1,2,34,1,22,90,150,2,152,4063,1549,0,653,61,1,0,0,0.0,0.0,4,1,0,0,0,0,0,1,34,1,0,2,6,16,72,0,12,0,2,1,0,3,2,0,0,3.23,5.04,9.1,82.63,0.0,0
122,30,637,127,581,871,755,1600,4601,2,4603,1089,317,3059,400,2132,1,0,0,0.0,0.0,3,1,0,0,0,0,30,637,581,672,36,91,598,157,708,18,458,8,242,1,199,165,2,0,0,0.63,0.63,6.62,92.11,0.0,0
123,52,0,178,27,122,24,514,917,0,917,1771,740,0,358,281,1,0,0,0.0,0.0,4,1,0,0,0,0,52,0,27,10,169,9,19,5,61,0,94,199,99,2,112,59,0,0,1493,1.49,3.24,12.57,82.7,0.0,0
124,63,0,0,85,92,32,780,1052,5,1057,4174,2006,0,801,185,1,0,0,0.0,0.0,5,1,0,0,0,0,63,0,85,6,0,0,9,23,51,0,81,360,231,0,86,57,5,1062,2162,2.44,4.44,13.61,79.51,0.0,0
125,0,135,344,108,66,643,1599,2895,0,2895,120,68,0,206,1230,1,0,0,0.0,0.0,4,1,0,0,0,0,0,135,108,9,0,344,514,129,768,478,147,28,175,0,57,3,0,0,0,5.88,2.94,16.18,75.0,0.0,0
126,0,0,12,73,148,33,258,524,0,524,4378,1532,0,206,118,1,0,0,0.0,0.0,2,1,0,0,0,0,0,0,73,31,10,2,12,21,86,0,35,0,93,31,117,13,0,0,0,3.39,5.74,25.26,65.6,0.0,0
127,8,0,1,0,114,1,44,168,0,168,2709,750,0,205,10,1,0,0,0.0,0.0,2,1,0,0,0,0,8,0,0,0,1,0,1,0,6,0,10,0,25,0,114,3,0,0,0,1.87,6.53,25.33,66.27,0.0,0
128,5,23,0,0,318,4,93,443,0,443,1679,548,0,164,32,1,0,0,0.0,0.0,2,1,0,0,0,0,5,23,0,302,0,0,1,3,29,0,22,0,42,0,16,0,0,0,0,4.2,8.03,21.35,66.42,0.0,0
129,0,0,0,0,137,1,24,162,0,162,0,0,0,39,1,1,0,0,0.0,0.0,2,1,0,0,0,0,0,0,0,116,0,0,1,0,5,0,19,0,0,0,21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
130,18,0,661,234,867,753,575,3108,0,3108,560,317,0,373,1666,1,0,0,0.0,0.0,2,1,0,0,0,0,18,0,234,654,356,305,686,67,99,0,262,32,77,9,213,96,0,0,0,6.62,11.67,23.97,57.73,0.0,0
131,207,187,555,287,333,438,1491,3498,0,3498,1885,685,1195,176,1674,1,0,0,0.0,0.0,2,1,0,0,0,0,207,187,287,164,529,26,387,51,351,660,223,61,61,83,169,52,0,19,57,4.23,8.61,22.77,64.38,0.0,0
132,18,0,32,19,363,6,508,946,0,946,379,170,0,160,75,1,0,0,0.0,0.0,2,1,0,0,0,0,18,0,19,99,4,28,1,5,102,72,49,174,52,23,264,36,0,25,1128,3.53,6.47,24.71,65.29,0.0,0
133,66,0,12,16,191,17,126,428,0,428,14,2,0,60,111,1,0,0,0.0,0.0,2,1,0,0,0,0,66,0,16,110,12,0,12,5,25,0,28,0,46,0,81,27,0,0,0,0.0,50.0,50.0,0.0,0.0,0
134,0,0,0,0,143,23,52,218,0,218,0,0,0,17,23,1,0,0,0.0,0.0,2,1,0,0,0,0,0,0,0,24,0,0,14,9,0,0,19,0,4,0,119,29,0,0,0,0.0,0.0,0.0,0.0,0.0,0
135,49,22,36,94,732,114,1392,2439,0,2439,1201,451,0,448,315,1,0,0,0.0,0.0,3,1,0,0,0,0,49,22,94,601,9,27,111,3,334,0,228,269,385,126,131,50,0,0,2026,3.1,1.77,9.53,85.59,0.0,0
