coefficient_name,value,constrain
coef_xwait_atwork,-0.1,T
coef_xfers_wlktrn_atwork,0.0,T
coef_xfers_pnr_atwork,0.0,T
coef_xfers_knr_atwork,0.0,T
walk_transit_CBD_ASC_atwork,0.58,F
drive_transit_CBD_ASC_atwork,0.0,T
coef_density_walk_atwork,0.0437,F
coef_density_bike_atwork,0.0,T
coef_density_wlktrn_atwork,0.0,T
coef_distpen_drvtrn_atwork,0.0,T
coef_drvratio_knr_atwork,0.0,T
coef_drvratio_pnr_atwork,0.0,T
coef_age010_wlktrn_atwork,0.0,T
coef_age1619_da_atwork,0.0,T
coef_age16p_sr_atwork,0.0,T
coef_hhsize1_sr_atwork,0.0,T
coef_hhsize2_sr_atwork,0.0,T
coef_topology_bike_atwork,0.0,T
coef_topology_knr_atwork,0.0,T
coef_topology_pnr_atwork,0.0,T
coef_topology_walk_atwork,0.0,T
coef_topology_wlktrn_atwork,0.0,T
walk_MR_ASC_atwork,1.99,F
walk_BM_ASC_atwork,-14.3,F
walk_CR_ASC_atwork,-2.63,F
PNR_MR_ASC_atwork,-999.0,T
PNR_BM_ASC_atwork,-999.0,T
PNR_CR_ASC_atwork,-999.0,T
KNR_MR_ASC_atwork,-999.0,T
KNR_BM_ASC_atwork,-999.0,T
KNR_CR_ASC_atwork,-999.0,T
coef_nest_AUTO,0.72,F
coef_nest_AUTO_DRIVEALONE,0.35,F
coef_nest_AUTO_SHAREDRIDE2,0.35,F
coef_nest_AUTO_SHAREDRIDE3,0.35,F
coef_nest_NONMOTORIZED,0.72,F
coef_nest_RIDEHAIL,0.36,F
coef_nest_root,1.0,T
coef_nest_SCHOOL_BUS,0.72,F
coef_nest_TRANSIT,0.72,F
coef_nest_TRANSIT_KNRACCESS,0.5,F
coef_nest_TRANSIT_PNRACCESS,0.5,F
coef_nest_TRANSIT_WALKACCESS,0.5,F
bike_ASC_auto_deficient_discretionary,-2.314622563152318,F
bike_ASC_auto_sufficient_discretionary,-3.16592714693174,F
bike_ASC_no_auto_discretionary,1.8206473922492574,F
joint_bike_ASC_auto_deficient_discretionary,-6.684326329341298,F
joint_bike_ASC_auto_sufficient_discretionary,-4.501341297960985,F
joint_bike_ASC_no_auto_discretionary,-8.32,F
joint_knr_transit_ASC_auto_deficient_discretionary,-18.9,F
joint_knr_transit_ASC_auto_sufficient_discretionary,-9.8,F
joint_knr_transit_ASC_no_auto_discretionary,-5.28,F
joint_pnr_transit_ASC_auto_deficient_discretionary,-8.392032157640141,F
joint_pnr_transit_ASC_auto_sufficient_discretionary,-15.7,F
joint_pnr_transit_ASC_no_auto_discretionary,0.0,F
joint_sr2_ASC_auto_deficient_discretionary,4.47397710397656,F
joint_sr2_ASC_auto_sufficient_discretionary,0.596089371356585,F
joint_sr2_ASC_no_auto_discretionary,-0.3348269658286712,F
joint_sr3p_ASC_auto_deficient_discretionary,-8.759597659763918,F
joint_sr3p_ASC_auto_sufficient_discretionary,-2.1453451696139387,F
joint_sr3p_ASC_no_auto_discretionary,25.531137193393857,F
joint_taxi_ASC_auto_deficient_discretionary,-5.899240823980289,F
joint_taxi_ASC_auto_sufficient_discretionary,-4.418718421723628,F
joint_taxi_ASC_no_auto_discretionary,-4.2064399470153795,F
joint_tnc_shared_ASC_auto_deficient_discretionary,-6.479240823980289,F
joint_tnc_shared_ASC_auto_sufficient_discretionary,-4.418718421723628,F
joint_tnc_shared_ASC_no_auto_discretionary,-4.936439947015377,F
joint_tnc_single_ASC_auto_deficient_discretionary,-7.879240823980287,F
joint_tnc_single_ASC_auto_sufficient_discretionary,-4.418718421723628,F
joint_tnc_single_ASC_no_auto_discretionary,-5.126439947015377,F
joint_walk_ASC_auto_deficient_discretionary,-2.6423977462101016,F
joint_walk_ASC_auto_sufficient_discretionary,0.27930973040681684,F
joint_walk_ASC_no_auto_discretionary,29.06807239954025,F
joint_walk_transit_ASC_auto_deficient_discretionary,-7.489016223032866,F
joint_walk_transit_ASC_auto_sufficient_discretionary,-3.5462229327295973,F
joint_walk_transit_ASC_no_auto_discretionary,27.13232401017065,F
knr_transit_ASC_auto_deficient_discretionary,-19.0,F
knr_transit_ASC_auto_sufficient_discretionary,-2.36489842946777,F
knr_transit_ASC_no_auto_discretionary,2.4500588375695913,F
pnr_transit_ASC_auto_deficient_discretionary,-18.3,F
pnr_transit_ASC_auto_sufficient_discretionary,-3.033477671851898,F
pnr_transit_ASC_no_auto_discretionary,0.0,F
schoolbus_ASC_not_school,-999.0,F
sr2_ASC_auto_deficient_discretionary,-0.9806021413713831,F
sr2_ASC_auto_sufficient_discretionary,-1.5358224919444443,F
sr2_ASC_no_auto_discretionary,1.7032603135320528,F
sr3p_ASC_auto_deficient_discretionary,-1.515123236684089,F
sr3p_ASC_auto_sufficient_discretionary,-1.6169797400620591,F
sr3p_ASC_no_auto_discretionary,1.4029597077211255,F
taxi_ASC_auto_deficient_discretionary,-1.8061232402875835,F
taxi_ASC_auto_sufficient_discretionary,-2.7196310783821733,F
taxi_ASC_no_auto_discretionary,3.366136911788236,F
tnc_shared_ASC_auto_deficient_discretionary,-2.066123240287584,F
tnc_shared_ASC_auto_sufficient_discretionary,-4.289631078382175,F
tnc_shared_ASC_no_auto_discretionary,1.7761369117882366,F
tnc_single_ASC_auto_deficient_discretionary,-0.8861232402875836,F
tnc_single_ASC_auto_sufficient_discretionary,-2.6396310783821733,F
tnc_single_ASC_no_auto_discretionary,3.696136911788236,F
walk_ASC_auto_deficient_discretionary,1.2396747160555504,F
walk_ASC_auto_sufficient_discretionary,0.14620669993715266,F
walk_ASC_no_auto_discretionary,5.430660236876429,F
walk_transit_ASC_auto_deficient_discretionary,0.09537642212091921,F
walk_transit_ASC_auto_sufficient_discretionary,-1.8612136472259984,F
walk_transit_ASC_no_auto_discretionary,5.16027718326133,F
bike_ASC_auto_deficient_maintenance,-3.377536003532798,F
bike_ASC_auto_sufficient_maintenance,-3.776552123413538,F
bike_ASC_no_auto_maintenance,2.487381459660064,F
joint_bike_ASC_auto_deficient_maintenance,-49.41432632934129,F
joint_bike_ASC_auto_sufficient_maintenance,-4.671341297960987,F
joint_bike_ASC_no_auto_maintenance,-10.6,F
joint_knr_transit_ASC_auto_deficient_maintenance,-18.9,F
joint_knr_transit_ASC_auto_sufficient_maintenance,-11.7,F
joint_knr_transit_ASC_no_auto_maintenance,-33.4,F
joint_pnr_transit_ASC_auto_deficient_maintenance,-27.492032157640157,F
joint_pnr_transit_ASC_auto_sufficient_maintenance,-14.399999999999999,F
joint_pnr_transit_ASC_no_auto_maintenance,0.0,F
joint_sr2_ASC_auto_deficient_maintenance,4.47397710397656,F
joint_sr2_ASC_auto_sufficient_maintenance,0.596089371356585,F
joint_sr2_ASC_no_auto_maintenance,-0.3348269658286712,F
joint_sr3p_ASC_auto_deficient_maintenance,-11.899597659763911,F
joint_sr3p_ASC_auto_sufficient_maintenance,-2.6353451696139376,F
joint_sr3p_ASC_no_auto_maintenance,0.7511371933938734,F
joint_taxi_ASC_auto_deficient_maintenance,-22.909240823980294,F
joint_taxi_ASC_auto_sufficient_maintenance,-4.418718421723628,F
joint_taxi_ASC_no_auto_maintenance,1.4535600529846209,F
joint_tnc_shared_ASC_auto_deficient_maintenance,-20.409240823980284,F
joint_tnc_shared_ASC_auto_sufficient_maintenance,-4.418718421723628,F
joint_tnc_shared_ASC_no_auto_maintenance,-22.046439947015372,F
joint_tnc_single_ASC_auto_deficient_maintenance,-20.30924082398029,F
joint_tnc_single_ASC_auto_sufficient_maintenance,-4.418718421723628,F
joint_tnc_single_ASC_no_auto_maintenance,-0.6764399470153786,F
joint_walk_ASC_auto_deficient_maintenance,-4.172397746210102,F
joint_walk_ASC_auto_sufficient_maintenance,-0.08069026959318316,F
joint_walk_ASC_no_auto_maintenance,5.248072399540233,F
joint_walk_transit_ASC_auto_deficient_maintenance,-22.809016223032856,F
joint_walk_transit_ASC_auto_sufficient_maintenance,-2.3262229327295967,F
joint_walk_transit_ASC_no_auto_maintenance,3.3623240101706475,F
knr_transit_ASC_auto_deficient_maintenance,-18.6,F
knr_transit_ASC_auto_sufficient_maintenance,-13.1,F
knr_transit_ASC_no_auto_maintenance,-15.7,F
