MAZ,TAZ,tot_acres,tot_hhs,hhs_pop,grppop,tot_pop,K_8,G9_12,e01_nrm,e02_constr,e03_manuf,e04_whole,e05_retail,e06_trans,e07_utility,e08_infor,e09_finan,e10_pstsvc,e11_compmgt,e12_admsvc,e13_edusvc,e14_medfac,e15_hospit,e16_leisure,e17_othsvc,e18_pubadm,tot_emp,parking_spaces,Univ_Enrollment,Univ_Tier,AreaType,COUNTY,TERMINAL,DISTRICT20,parking_daily,parking_hourly,AE_LOCAL,AE_PRM
22745,2121,12.8,71,150,458,608,0,0,0,4,21,11,49,8,0,19,57,54,1,18,0,31,0,67,23,794,1157,0,0,0,1,5,5,15,8.181818,1.9,0.032562255859375,36.16556225585938
22746,2122,6.4,0,0,0,0,0,0,0,0,1,4,7,1,0,0,2,31,0,2,3,4,0,7,22,283,367,0,0,0,1,5,5,15,17.1,1.9,0.0309295654296875,36.18192956542969
22747,2123,12.8,161,279,0,279,0,0,0,1,4,4,17,0,0,5,16,158,0,14,0,67,33,60,66,0,445,0,0,0,1,5,5,15,8.181818,1.2,0.0020732879638671,36.341073287963866
22748,2124,6.4,15,21,0,21,0,0,0,8,0,4,43,0,0,2,21,100,0,0,0,0,0,56,13,0,247,0,0,0,1,5,5,15,17.1,1.9,0.031341552734375,36.24534155273437
22749,2125,6.4,44,116,0,116,0,0,0,4,1,0,1,0,0,2,2,6,0,2,0,2,0,3,1,0,24,0,0,0,3,5,0,15,0.0,,0.13672998046875,36.59572998046875
22750,2125,12.8,85,221,0,221,0,0,0,0,0,0,0,0,0,7,4,4,0,1,0,8,0,0,5,0,29,0,0,0,3,5,0,15,0.0,,0.1555791015625,36.5735791015625
22751,2125,12.8,61,147,0,147,0,0,2,0,3,0,3,1,0,1,6,10,0,0,0,4,12,11,3,0,56,0,0,0,3,5,0,15,0.0,,0.1638626098632812,36.60586260986328
22752,2125,12.8,64,161,0,161,0,0,0,0,1,1,3,16,0,0,4,5,0,3,0,30,0,0,1,0,64,0,0,0,3,5,0,15,0.0,,0.1399219970703125,36.29592199707032
22753,2125,12.8,44,116,0,116,0,0,6,0,1,0,2,0,0,0,9,5,0,8,0,7,0,0,2,0,40,0,0,0,3,5,0,15,0.0,,0.2565322265624999,36.4125322265625
22754,2125,12.8,62,161,0,161,0,0,0,0,3,0,4,0,0,0,8,13,0,2,0,9,0,11,34,0,84,0,0,0,3,5,0,15,8.181818,1.2,0.1265339965820312,36.45053399658203
22755,2126,44.8,352,691,0,691,0,0,0,3,0,2,1,1,0,4,10,11,0,8,3,65,0,6,18,20,152,0,0,0,2,5,3,15,0.0,,0.129150390625,36.715150390625
22756,2126,6.4,7,11,0,11,0,0,1,18,0,2,7,0,0,3,5,6,0,3,3,2,0,1,8,0,59,0,0,0,2,5,3,15,12.6,1.4,0.101135498046875,36.44013549804688
22757,2127,12.8,96,195,11,206,206,0,25,1,1,1,3,0,0,0,3,8,0,2,29,4,0,5,38,0,120,0,0,0,2,5,3,15,17.1,1.9,0.1683261718749999,35.947326171875
22758,2127,25.6,201,396,98,494,0,0,0,0,1,1,8,2,0,3,16,9,0,10,32,7,1,103,28,0,221,0,0,0,2,5,3,15,17.1,1.9,0.09949462890625,36.14949462890625
22759,2128,6.4,121,229,0,229,0,0,0,1,5,0,15,1,0,0,29,5,0,4,36,8,0,21,10,0,135,24,0,1,2,5,3,15,8.181818,1.2,0.039794921875,36.275794921875
22760,2128,6.4,171,325,44,369,0,0,0,1,0,1,2,0,0,1,4,2,0,13,426,15,0,41,12,0,518,7,0,1,2,5,3,15,8.181818,,0.12663623046875,36.30263623046875
22761,2128,32.0,341,665,9,674,0,0,0,0,0,0,1,1,0,7,13,3,0,10,674,18,0,23,4,0,754,1260,0,1,2,5,3,15,17.1,,0.1301796875,36.2441796875
22762,2128,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,110,0,0,113,0,0,0,2,5,3,15,0.0,,0.194052734375,36.058052734375
22763,2129,6.4,302,560,0,560,0,0,0,3,0,0,2,2,0,0,7,12,0,4,13,27,0,51,42,0,163,0,0,0,2,5,3,15,8.181818,1.2,0.0538330078125,36.2768330078125
22764,2130,12.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14,1005,0,0,2,0,0,1023,0,3151,0,2,5,3,15,8.181818,1.2,0.0943603515625,36.3933603515625
22765,2130,6.4,0,0,451,451,0,0,0,0,1,0,0,0,0,1,1,1,0,2,276,1,0,0,0,0,283,0,0,0,2,5,3,15,8.181818,1.2,0.0474853515625,36.3464853515625
22766,2131,25.6,0,0,0,0,0,0,0,7,11,7,0,2,0,4,16,0,0,34,2479,267,0,0,1,0,2828,2004,6302,1,2,5,3,15,0.0,,0.2494974365234375,36.45749743652344
22767,2132,25.6,538,940,0,940,0,0,0,23,71,8,373,18,0,316,59,199,2,59,357,131,22,858,183,19,2698,436,0,1,1,5,5,15,8.181818,1.2,0.0196685791015625,36.402668579101565
22768,2132,6.4,274,474,0,474,0,0,0,15,4,0,14,2,0,9,8,15,0,3,0,6,0,40,20,0,136,0,0,0,1,5,5,15,8.181818,1.2,0.0899658203125,36.3759658203125
22769,2133,19.2,53,92,0,92,0,0,0,24,57,16,98,12,0,90,200,220,0,5,49,53,14,136,88,6,1068,0,0,0,1,5,5,15,8.181818,1.2,0.054962158203125,36.33596215820312
22770,2134,19.2,176,295,0,295,0,0,0,34,177,24,272,89,0,52,310,514,1,81,60,239,11,610,127,155,2756,0,0,0,1,5,5,15,8.181818,1.2,0.0108795166015625,36.35287951660156
22771,2135,12.8,165,263,0,263,0,0,0,20,16,11,116,2,0,48,84,321,1,27,14,108,0,707,69,206,1750,0,0,0,1,5,5,15,12.6,1.4,0.019927978515625,36.42392797851563
22772,2136,6.4,6,10,0,10,0,0,0,0,1,0,4,1,0,0,4,75,0,0,1,20,0,65,38,5,214,0,0,0,1,5,5,15,6.363636,1.4,0.042877197265625,36.61687719726562
22773,2136,6.4,20,29,0,29,0,0,0,3,2,1,39,0,0,5,35,218,0,5,8,9,0,193,36,0,554,0,0,0,1,5,5,15,12.6,1.4,0.0703125,36.4743125
22774,2137,6.4,29,60,0,60,0,0,0,0,0,2,1,0,0,1,1,9,0,5,0,25,0,0,1,0,45,168,0,1,2,5,3,15,5.227273,1.2,0.1725809020996093,36.71558090209961
22775,2137,12.8,43,102,0,102,0,0,0,2,2,0,6,6,0,2,5,17,0,6,0,25,0,1,0,0,72,0,0,0,2,5,3,15,5.227273,,0.194623779296875,36.75162377929688
22776,2137,6.4,38,85,0,85,0,0,0,12,0,0,0,2,0,0,5,6,0,0,0,12,0,1,3,0,41,0,0,0,2,5,3,15,5.227273,1.2,0.11023779296875,36.87623779296875
22777,2137,6.4,46,115,0,115,0,0,2,0,0,0,1,0,0,0,8,5,0,5,0,22,0,0,6,0,49,0,0,0,2,5,3,15,5.227273,,0.15155908203125,36.98055908203125
22778,2137,12.8,13,28,0,28,0,0,0,1,2,1,12,6,0,1,3,18,0,6,0,216,0,2,23,0,291,0,0,0,2,5,3,15,5.227273,1.2,0.1582460937499999,36.56224609375
22779,2138,12.8,30,70,0,70,420,0,0,1,5,1,2,0,0,27,8,13,0,6,240,5,0,6,5,0,319,1,0,1,2,5,3,15,8.181818,,0.1754521484375,36.9564521484375
22780,2138,25.6,102,229,0,229,0,0,0,6,1,1,3,0,0,3,15,10,2,7,0,7,0,2,2,0,59,0,0,0,2,5,3,15,0.0,,0.2106729736328125,37.040672973632816
22781,2138,12.8,54,109,0,109,0,0,0,1,4,0,19,0,0,0,2,5,0,9,292,7,0,2,20,0,361,12,0,1,2,5,3,15,8.181818,,0.245234130859375,36.915234130859375
22782,2138,12.8,87,184,0,184,0,0,2,3,0,1,1,0,0,1,4,9,0,8,0,10,0,4,1,0,44,0,0,0,2,5,3,15,8.181818,1.4,0.24067333984375,36.86967333984375
22783,2138,12.8,108,213,0,213,0,0,2,2,2,0,5,0,0,10,5,11,0,8,32,10,0,2,2,0,91,48,0,1,2,5,3,15,8.181818,1.4,0.167727294921875,36.80372729492188
22784,2139,19.2,178,338,0,338,0,0,0,0,0,0,2,2,0,1,13,6,0,6,0,14,0,4,3,0,51,0,0,0,3,5,0,15,0.0,,0.197571533203125,37.15057153320313
