,omaz,idx,btap,dmaz,atap,tod,utility,transit_type
448065,22903,1261,2326,5303,1178,AM,-1.22794360848,local_bus
2530649,5473,9695,1669,12481,771,AM,-1.22792937132,local_bus
2262051,8022,8235,2280,17855,345,AM,-1.22790446704,local_bus
1630697,2768,5274,2144,9131,1756,AM,-1.22758731457,local_bus
2297621,10261,8422,1419,6263,1329,PM,-1.22743142805,local_bus
683175,11274,1965,1145,14621,234,AM,-1.22696639457,local_bus
2467767,2260,9334,2144,14769,88,PM,-1.22686231252,local_bus
2411211,18972,9034,564,9397,1719,AM,-1.22680860657,local_bus
1437639,17181,6972,778,12749,765,PM,-1.22643937584,local_bus
1507648,13517,4787,686,19764,497,PM,-1.22612992842,local_bus
1886250,12194,9031,824,18161,643,AM,-1.22590188139,local_bus
2075179,1623,7262,2242,3276,1920,AM,-1.2257721057,local_bus
1297893,283,4026,1669,19341,567,PM,-1.22552528727,local_bus
954635,6682,2852,1443,14068,679,AM,-1.22528037514,local_bus
1400828,16783,4411,778,8979,1640,PM,-1.22501178091,local_bus
690722,3211,1996,1556,14519,270,AM,-1.22484938157,local_bus
1143851,6390,8091,1460,9757,1553,PM,-1.22445454491,local_bus
439257,11543,1230,747,982,1586,PM,-1.22440233582,local_bus
1233279,5230,3764,731,6798,245,AM,-1.22417297607,local_bus
18311,4779,44,924,4003,1184,PM,-1.22398674404,local_bus
670484,11887,5639,747,17175,204,AM,-1.22393143699,local_bus
2315769,8739,8539,2280,14073,323,PM,-1.22243317782,local_bus
1160471,22883,3525,1985,12908,665,PM,-1.22242188417,local_bus
185060,19031,489,564,19655,580,AM,-1.22216873869,local_bus
1334160,3571,4131,1556,5268,1193,AM,-1.22214222282,local_bus
2491938,4654,9486,924,375,1565,PM,-1.22204860859,local_bus
771408,13778,2240,686,9740,1553,AM,-1.22195278054,local_bus
1706414,1987,5576,1985,5087,895,PM,-1.22176478517,local_bus
22489,14748,54,1801,22565,1776,PM,-1.22149540557,local_bus
502524,3867,9656,1556,3005,229,AM,-1.22126882757,local_bus
186328,11199,492,1223,22632,2072,PM,-1.22115252273,local_bus
295357,5736,792,1669,10716,1313,PM,-1.22097992907,local_bus
1538071,10107,4884,1419,10948,1134,PM,-1.22060336355,local_bus
1221633,18720,3718,564,2696,1944,PM,-1.22034818682,local_bus
101118,12810,270,777,1247,1527,PM,-1.2202360847,local_bus
1009299,9552,6457,2388,22258,1179,AM,-1.21989660921,local_bus
1482945,9903,4706,1443,18147,641,PM,-1.21963445359,local_bus
190806,4780,513,924,17372,236,PM,-1.21961872927,local_bus
351489,10306,951,1419,17615,311,AM,-1.21952608867,local_bus
