ZONE,COUNTY,EXTERNAL,DISTRICT,SUPER_DIST_25,tot_acres,tot_hhs,hhs_pop,workers,grppop,tot_pop,tot_emp,e01_nrm,e02_constr,e03_manuf,e04_whole,e05_retail,e06_trans,e07_utility,e08_infor,e09_finan,e10_pstsvc,e11_compmgt,e12_admsvc,e13_edusvc,e14_medfac,e15_hospit,e16_leisure,e17_othsvc,e18_pubadm,WrkPrkCost,NonWrkPrk,PRKCST,OPRKCST,AirportADT,AreaType,UMI,CBD,DET,K_8,G9_12,k12enroll,Univ_Enrollment,University_Name,TERMINAL,TOPOLOGY,parking_spaces
170,1,0,20,1,95.98693,594.0,988.0,437.0,27.0,1015.0,290.0,0.0,14.0,0.0,0.0,6.0,2.0,0.0,3.0,21.0,14.0,0.0,7.0,16.0,141.0,0.0,8.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.0
171,1,0,20,1,74.393112,629.0,749.0,245.0,0.0,749.0,891.0,0.0,7.0,0.0,0.0,31.0,93.0,0.0,2.0,63.0,18.0,0.0,10.0,47.0,309.0,171.0,85.0,46.0,9.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.0
172,1,0,20,1,166.601155,721.0,1019.0,272.0,38.0,1057.0,1615.0,0.0,12.0,119.0,14.0,25.0,5.0,1.0,71.0,16.0,28.0,2.0,51.0,366.0,178.0,4.0,49.0,166.0,508.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0.0,2370.0,2370.0,0.0,0,0,1,0.0
173,1,0,20,1,106.01136799999999,1191.0,2281.0,984.0,13.0,2294.0,484.0,0.0,17.0,5.0,20.0,11.0,1.0,0.0,5.0,40.0,16.0,0.0,19.0,198.0,91.0,0.0,32.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,264.0,74.0,338.0,0.0,0,0,1,0.0
174,1,0,20,1,110.159888,1375.0,2131.0,1144.0,13.0,2144.0,2077.0,0.0,35.0,66.0,17.0,51.0,0.0,0.0,35.0,57.0,61.0,0.0,55.0,147.0,449.0,52.0,888.0,129.0,35.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0.0,495.0,495.0,0.0,0,0,1,0.0
175,1,0,20,1,107.599845,324.0,502.0,341.0,1719.0,2221.0,1852.0,0.0,0.0,11.0,0.0,15.0,0.0,6.0,193.0,6.0,173.0,0.0,67.0,997.0,275.0,42.0,37.0,6.0,24.0,48.0,100.0,6.0,12.5,0.0,2,0,0,1,0.0,0.0,0.0,20163.0,Wayne State University,0,1,0.0
176,1,0,20,1,38.410502,319.0,369.0,229.0,0.0,369.0,795.0,0.0,2.0,6.0,0.0,2.0,0.0,1.0,239.0,12.0,54.0,0.0,22.0,219.0,95.0,7.0,79.0,12.0,45.0,48.0,100.0,6.0,12.5,0.0,2,0,0,1,0.0,0.0,0.0,7414.0,Wayne State University,0,1,0.0
177,1,0,20,1,27.850647,418.0,665.0,385.0,0.0,665.0,144.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,2.0,4.0,0.0,2.0,66.0,38.0,0.0,20.0,2.0,0.0,48.0,100.0,6.0,12.5,0.0,2,0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.0
178,1,0,20,1,29.079526,171.0,275.0,147.0,0.0,275.0,396.0,0.0,4.0,6.0,0.0,14.0,0.0,0.0,18.0,14.0,21.0,0.0,14.0,78.0,31.0,2.0,68.0,91.0,35.0,48.0,100.0,6.0,12.5,0.0,2,0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.0
179,1,0,48,1,19.940622,124.0,160.0,115.0,0.0,160.0,977.0,0.0,28.0,0.0,11.0,56.0,0.0,0.0,66.0,83.0,274.0,0.0,10.0,18.0,58.0,0.0,338.0,22.0,13.0,76.0,36.0,9.5,4.5,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
