body_type,fuel_type,vehicle_year,NumMakes,NumModels,MPG,Range,NewPrice,auto_operating_cost
Van,Gas,2012,12,51,15.4,0,30220.37918,0.19
Van,Gas,2011,11,47,15.1,0,31550.1659,0.20
Van,Gas,2010,10,30,17.2,0,32347.70849,0.17
Van,Gas,2009,11,43,16.4,0,32676.69949,0.18
Van,Gas,2008,11,46,16.5,0,32775.04455,0.18
Van,Gas,2007,13,49,16.3,0,34487.78588,0.18
Van,Gas,2006,14,52,16.7,0,35375.23544,0.18
Van,Gas,2005,14,65,16.4,0,34417.73234,0.18
Van,Gas,2004,13,64,16,0,34831.04973,0.19
Van,Gas,2003,12,68,15.8,0,34472.75663,0.19
Van,Gas,2002,14,65,16,0,34274.24668,0.19
Van,Gas,2001,13,62,15.8,0,34256.10942,0.19
Van,Gas,2000,14,69,16.1,0,35627.57086,0.19
Van,Gas,1999,13,67,15.9,0,35251.96627,0.19
Van,Gas,1998,4,37,14.5,0,35715.30779,0.21
Van,Diesel,2017,0,0,0,0,36228.20248,0.10
Van,Diesel,2016,0,0,0,0,36731.02849,0.10
Van,Diesel,2015,0,0,0,0,36715.08222,0.10
Van,Diesel,2014,0,0,0,0,35837.30027,0.10
Van,Diesel,2013,0,0,0,0,36283.23127,0.10
Van,Diesel,2012,0,0,0,0,36264.45502,0.10
Van,Diesel,2011,0,0,0,0,37860.19908,0.10
Van,Diesel,2010,0,0,0,0,38817.25019,0.10
Van,Diesel,2009,0,0,0,0,39212.03939,0.10
Van,Diesel,2008,0,0,0,0,39330.05345,0.10
Van,Diesel,2007,0,0,0,0,41385.34306,0.10
Van,Diesel,2006,0,0,0,0,42450.28253,0.10
Van,Diesel,2005,0,0,0,0,41301.2788,0.10
Van,Diesel,2004,0,0,0,0,41797.25967,0.10
Van,Diesel,2003,0,0,0,0,41367.30796,0.10
Van,Diesel,2002,0,0,0,0,41129.09602,0.10
Van,Diesel,2001,0,0,0,0,41107.3313,0.10
Van,Diesel,2000,0,0,0,0,42753.08503,0.10
Van,Diesel,1999,0,0,0,0,42302.35952,0.10
Van,Diesel,1998,0,0,0,0,42858.36935,0.10
Van,Hybrid,2017,0,0,0,0,33209.1856,0.10
Van,Hybrid,2016,0,0,0,0,33670.10945,0.10
Van,Hybrid,2015,0,0,0,0,33655.49203,0.10
Van,Hybrid,2014,0,0,0,0,32850.85858,0.10
Van,Hybrid,2013,0,0,0,0,33259.62867,0.10
Van,Hybrid,2012,0,0,0,0,33242.4171,0.10
Van,Hybrid,2011,0,0,0,0,34705.18249,0.10
Van,Hybrid,2010,0,0,0,0,35582.47934,0.10
Van,Hybrid,2009,0,0,0,0,35944.36944,0.10
Van,Hybrid,2008,0,0,0,0,36052.549,0.10
Van,Hybrid,2007,0,0,0,0,37936.56447,0.10
Van,Hybrid,2006,0,0,0,0,38912.75898,0.10
Van,Hybrid,2005,0,0,0,0,37859.50557,0.10
Van,Hybrid,2004,0,0,0,0,38314.1547,0.10
Van,Hybrid,2003,0,0,0,0,37920.03229,0.10
Van,Hybrid,2002,0,0,0,0,37701.67135,0.10
Van,Hybrid,2001,0,0,0,0,37681.72036,0.10
Van,Hybrid,2000,0,0,0,0,39190.32794,0.10
Van,Hybrid,1999,0,0,0,0,38777.16289,0.10
Van,Hybrid,1998,0,0,0,0,39286.83857,0.10
Van,PEV,2017,1,1,32,0,53599.94056,0.09
Van,PEV,2016,0,0,0,0,61584.53548,0.10
Van,PEV,2015,0,0,0,0,51967.86028,0.10
