vehicle_type,Gas,Diesel,Hybrid,PEV,BEV
Pickup_14,0.8623,0.1377,0.0000,0.0000,0.0000
Pickup_15,0.8811,0.1189,0.0000,0.0000,0.0000
Pickup_16,0.8654,0.1346,0.0000,0.0000,0.0000
Pickup_17,0.8923,0.1077,0.0000,0.0000,0.0000
Pickup_18,0.8479,0.1521,0.0000,0.0000,0.0000
Pickup_19,0.9634,0.0366,0.0000,0.0000,0.0000
Pickup_20,0.9212,0.0787,0.0001,0.0000,0.0000
Motorcycle_1,0.9844,0.0000,0.0000,0.0000,0.0156
Motorcycle_2,0.9908,0.0000,0.0000,0.0000,0.0092
Motorcycle_3,0.9973,0.0000,0.0000,0.0000,0.0027
Motorcycle_4,0.9968,0.0000,0.0000,0.0000,0.0032
Motorcycle_5,0.9924,0.0000,0.0000,0.0000,0.0076
Motorcycle_6,0.9821,0.0000,0.0000,0.0000,0.0179
Motorcycle_7,0.9965,0.0000,0.0000,0.0000,0.0035
Motorcycle_8,1.0000,0.0000,0.0000,0.0000,0.0000
Motorcycle_9,0.9980,0.0000,0.0000,0.0000,0.0020
Motorcycle_10,0.9964,0.0000,0.0000,0.0000,0.0036
Motorcycle_11,0.9982,0.0000,0.0000,0.0000,0.0018
Motorcycle_12,1.0000,0.0000,0.0000,0.0000,0.0000
Motorcycle_13,1.0000,0.0000,0.0000,0.0000,0.0000
Motorcycle_14,1.0000,0.0000,0.0000,0.0000,0.0000
Motorcycle_15,1.0000,0.0000,0.0000,0.0000,0.0000
Motorcycle_16,1.0000,0.0000,0.0000,0.0000,0.0000
Motorcycle_17,1.0000,0.0000,0.0000,0.0000,0.0000
Motorcycle_18,1.0000,0.0000,0.0000,0.0000,0.0000
Motorcycle_19,1.0000,0.0000,0.0000,0.0000,0.0000
Motorcycle_20,1.0000,0.0000,0.0000,0.0000,0.0000
