zone_id,univ,k12_drive,k12_predrive
100,0,0,0
101,1,0,6
102,2,3,4
103,0,0,0
104,0,0,9
105,0,0,0
106,0,2,12
107,0,0,12
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,3
112,0,0,0
113,0,0,0
114,0,0,9
115,0,0,0
116,0,0,0
117,0,0,2
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,5,0,0
123,0,0,6
124,0,5,3
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,12
133,0,0,0
134,0,0,0
135,0,0,8
