zone_id,univ,k12_drive,k12_predrive
100,2.5200000000000005,0.0,0.0
101,154.00000000000003,0.0,863.0
102,654.76,979.0,979.0
103,0.8400000000000001,0.0,0.0
104,103.32000000000001,1002.0,2404.0
105,0.0,0.0,0.0
106,1.4000000000000001,1064.0,1779.0
107,31.080000000000002,0.0,1315.0
108,0.56,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,18.48,0.0,888.0
112,0.0,0.0,0.0
113,0.28,0.0,0.0
114,80.92,0.0,817.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,31.360000000000003,0.0,495.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,2.5200000000000005,0.0,0.0
121,0.0,0.0,0.0
122,3061.24,0.0,0.0
123,55.720000000000006,0.0,1493.0
124,100.80000000000001,1062.0,2162.0
125,7.840000000000001,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,8.96,0.0,0.0
131,1212.08,19.0,57.0
132,48.720000000000006,25.0,1128.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,75.32000000000001,0.0,2026.0
