TAZ,COUNTY,DISTRICT,SD,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL
3412,1,1,1,370,1083,50.09299999999999,21.38996232,9.10874474,66,156,0,15,37,14,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3433,1,1,1,575,1880,37.54860000000001,18.817888187500003,8.527900712500001,222,449,4,0,212,6,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3437,1,1,1,693,2340,48.1578,21.2417280525,12.011684677500002,213,573,22,26,157,8,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3442,1,1,1,210,613,58.5051,36.71278806500001,0.662389395,101,120,32,23,27,19,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3460,1,1,1,832,2420,113.226,60.3516611875,38.4191228425,671,491,235,30,214,192,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3464,1,1,1,630,2069,40.6457,20.67476372,6.52437988,387,498,78,78,116,77,0,38,0.0,0.0,5,0,0.0,0.0,1,0.0
3493,1,1,1,1100,3254,83.8723,46.118574165,6.772820684999999,216,744,81,36,57,38,0,4,0.0,0.0,5,0,0.0,0.0,1,0.0
3497,1,1,1,548,1544,66.59020000000001,26.717905235,21.070397225000004,538,346,266,135,86,19,0,32,0.0,0.0,5,0,0.0,0.0,1,0.0
3498,1,1,1,529,1819,37.9669,15.8058388975,6.189876292499998,467,458,69,66,127,136,0,69,0.0,0.0,5,0,0.0,0.0,1,0.0
3501,1,1,1,473,1647,41.5138,17.758174185,10.441813495,296,396,134,55,41,65,0,1,0.0,0.0,5,0,0.0,0.0,1,0.0
3502,1,1,1,808,2675,80.11460000000002,53.4777340075,7.1625050424999985,175,660,18,40,86,31,0,0,0.0,0.0,5,29,0.0,0.0,1,0.0
3505,1,1,1,733,2540,50.9001,31.0499117475,6.0378120125,144,662,22,7,102,13,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3519,1,1,1,476,1355,69.22989999999999,46.30404179750001,8.4349361825,47,284,0,0,39,8,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3525,1,1,1,24,148,32.3342,4.6304835775,12.8766939725,196,24,134,13,22,27,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3536,1,1,1,975,3399,93.3676,39.4020460025,6.5242435875,181,869,15,31,83,52,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3540,1,1,1,641,2258,80.97030000000002,40.7546981375,18.9471551625,268,587,9,10,211,38,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3548,1,1,1,527,1492,114.3191,84.90146631500002,0.050656055,41,276,0,0,33,8,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3553,1,1,1,371,1348,72.66470000000002,45.86841832,11.40705064,49,361,0,0,44,5,0,0,0.0,0.0,5,62,0.0,0.0,1,0.0
3574,1,1,1,253,745,90.8402,20.17885927,57.11056807,1240,175,936,30,43,228,0,3,0.0,0.0,5,0,0.0,0.0,1,3.0
3590,1,1,1,315,1062,77.08520000000001,48.8447255825,15.2606442575,105,286,3,2,96,4,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3592,1,1,1,238,762,54.5998,20.866727085,5.326348765,23,185,0,7,12,4,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3595,1,1,1,819,2736,106.665,53.18026146,10.053624109999998,231,610,55,11,152,13,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3597,1,1,1,494,1831,81.85509999999998,38.054039985,20.161311155,284,491,3,40,204,37,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3598,1,1,1,257,811,57.6449,41.58471319,0.0,49,180,0,0,45,4,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3619,1,1,1,405,1467,108.9027,69.90061800250001,9.9178311075,137,389,8,4,64,54,0,7,0.0,0.0,5,0,0.0,0.0,1,0.0
3626,1,1,1,493,1666,254.4327,56.57508063,169.73186789000005,104,459,0,30,65,9,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3640,1,1,1,75,228,43.0215,18.01479666,19.06045464,17,62,0,0,16,1,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3654,1,1,1,415,1229,62.98009999999999,38.6221934475,8.047609402500001,77,279,25,10,38,4,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3655,1,1,1,468,1619,157.5446,47.1754589725,24.290328027500006,82,440,0,5,71,6,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3661,1,1,1,421,1510,73.9148,37.1334301675,16.389551192499994,274,405,41,19,194,20,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3670,1,1,1,426,1356,70.2525,48.8701457325,7.1423123575,84,302,0,42,33,9,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3687,1,1,1,150,395,114.9347,3.5709955425,93.0462107875,25,90,0,20,3,2,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3698,1,1,1,752,2742,115.0073,49.954846735,34.320517825,150,727,0,17,124,9,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3704,1,1,1,0,0,130.7285,0.0,128.73751489,0,0,0,0,0,0,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3705,1,1,1,378,1016,73.2942,48.3788986075,7.9620173525,70,181,11,15,37,5,2,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3713,1,1,1,383,1145,94.8227,50.1255997175,27.8483503425,87,220,6,26,29,26,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3715,1,1,1,280,938,82.23830000000002,45.76912113,17.56295776,27,199,0,2,21,4,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3729,1,1,1,317,955,93.3767,52.19843098250001,12.8898571875,155,210,34,0,96,25,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3746,1,1,1,339,987,40.9694,28.9615712925,5.0861545275000015,34,209,0,4,25,5,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3761,1,1,1,428,1269,138.3921,66.62958935,13.76112157,189,284,23,62,19,67,0,18,0.0,0.0,5,0,0.0,0.0,1,0.0
3796,1,1,1,536,1363,131.3931,92.069782845,0.621321385,47,246,0,22,18,7,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3822,1,1,1,407,1197,103.46840000000002,39.3205439825,34.4900177475,263,257,0,146,102,5,0,10,0.0,0.0,5,0,0.0,0.0,1,0.0
3849,1,1,1,650,1761,106.0656,29.26744341,44.84951681,1076,301,219,529,307,14,0,7,0.0,0.0,5,7,0.0,0.0,1,0.0
