OMAZ,DMAZ,DISTBIKE
22635.0,22635.0,0.3173828125
22635.0,22636.0,1.2082626953125
22635.0,22637.0,1.29108544921875
22635.0,22638.0,1.08802294921875
22635.0,22639.0,1.2474542846679688
22635.0,22640.0,1.22520263671875
22635.0,22641.0,1.63365087890625
22635.0,22642.0,1.496883056640625
22635.0,22643.0,1.770371826171875
22635.0,22644.0,1.6175546875
22635.0,22645.0,1.674861328125
22635.0,22646.0,1.5149088134765625
22635.0,22647.0,1.4218212890625
22635.0,22648.0,1.3192505187988282
22635.0,22649.0,3.08264208984375
22635.0,22650.0,0.27986181640625
22635.0,22651.0,0.6542998046874999
22635.0,22652.0,3.03209326171875
22635.0,22653.0,3.4698203125
22635.0,22654.0,0.754158203125
22635.0,22655.0,0.48163623046875
22635.0,22656.0,2.5451622314453126
22635.0,22657.0,0.53515380859375
22635.0,22658.0,2.84184326171875
22635.0,22659.0,2.57072119140625
22635.0,22660.0,2.58808056640625
22635.0,22661.0,2.57826953125
22635.0,22662.0,2.6373681640625
22635.0,22663.0,2.4821240234375
22635.0,22664.0,2.7483818359375
22635.0,22665.0,3.392275390625
22635.0,22666.0,2.5509423828125
22635.0,22667.0,2.664474609375
22635.0,22668.0,2.0387646484375
22635.0,22669.0,2.820400146484375
22635.0,22670.0,2.60170849609375
22635.0,22671.0,4.0361591796875
22635.0,22672.0,3.27963330078125
22635.0,22673.0,3.9408623046875
22635.0,22674.0,3.82217236328125
22635.0,22682.0,4.828169677734375
22635.0,22683.0,4.902381103515625
22635.0,22715.0,4.9959921875
22635.0,22720.0,4.7784462890625
22635.0,22721.0,4.46905224609375
22635.0,22722.0,4.40425390625
22635.0,22723.0,4.45033349609375
22635.0,22724.0,4.89250146484375
22635.0,22725.0,4.482418701171875
22635.0,22726.0,4.49628076171875
22635.0,22728.0,4.57674609375
22635.0,22729.0,4.463498291015625
22635.0,22730.0,4.40221923828125
22635.0,22731.0,4.90514208984375
22635.0,22733.0,4.79931982421875
