TAZ,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,household_density,employment_density,density_index
121,3,3,1,1307,3196,140.0,52.0,11.0,617,365,184,119,127,130,0,57,0.0,0.0,3,0.0,0.0,0.0,1,2.18894,20.746031746031747,9.793650793650794,6.652963402963403
122,3,3,1,2159,5506,160.0,72.0,5.0,809,699,155,156,324,161,0,13,0.0,0.0,3,0.0,0.0,0.0,1,2.57629,28.038961038961038,10.506493506493506,7.642695242762628
123,3,3,1,1787,4453,89.0,37.0,16.0,2758,528,318,452,986,917,4,81,0.0,0.0,1,0.0,0.0,0.0,1,4.574,33.716981132075475,52.0377358490566,20.4601614878469
124,3,3,1,1458,3920,94.0,39.0,3.0,873,651,82,71,97,603,0,20,0.0,0.0,3,0.0,0.0,0.0,1,3.39235,34.714285714285715,20.785714285714285,13.001103143960286
125,3,3,1,1069,2962,82.0,38.0,3.0,330,473,102,69,88,58,5,8,0.0,0.0,3,0.0,0.0,0.0,1,2.48345,26.073170731707318,8.048780487804878,6.150211823776565
126,3,3,1,1460,4375,122.0,63.0,1.0,299,778,117,87,38,51,0,6,0.0,0.0,3,0.0,0.0,0.0,1,2.27178,22.8125,4.671875,3.8777359295054006
127,3,3,1,1833,4013,128.0,71.0,6.0,634,395,167,142,176,129,0,20,0.0,0.0,2,0.0,0.0,0.0,1,2.14578,23.805194805194805,8.233766233766234,6.117751725372317
128,3,3,1,2522,5291,119.0,69.0,4.11321,616,478,168,129,188,116,1,14,0.0,0.0,3,0.0,0.0,0.0,1,2.50173,34.49445045567005,8.425290039925754,6.7713771448989
129,3,3,1,2126,4058,148.0,76.0,1.0,440,311,100,119,122,94,0,5,0.0,0.0,2,0.0,0.0,0.0,1,2.04766,27.61038961038961,5.714285714285714,4.7344393720075715
130,3,3,1,1924,4260,307.0,103.0,43.0,1468,500,279,229,298,633,0,29,0.0,0.0,2,1533.52356,0.0,0.0,1,1.83007,13.178082191780822,10.054794520547945,5.7032501938485405
131,3,3,1,2656,6407,348.0,199.0,1.0,907,742,259,239,200,192,2,15,0.0,0.0,3,0.0,0.0,0.0,1,1.64217,13.28,4.535,3.3805669379736183
132,3,3,1,1504,4166,205.0,104.94115,15.0,1903,618,266,419,576,610,0,32,0.0,0.0,3,947.84723,0.0,0.0,1,2.1749400000000003,12.5394829047412,15.866114340241028,7.004002338632963
133,3,3,1,2502,6345,280.0,116.0,67.0,7293,821,287,1626,4701,639,0,40,0.0,0.0,3,0.0,7144.64307,22523.3457,1,3.20356,13.672131147540984,39.85245901639344,10.179770542012905
134,3,3,1,2518,8712,254.0,118.06819,17.0,1099,1379,264,184,280,321,0,50,0.0,0.0,3,0.0,0.0,0.0,1,2.35426,18.642435350618083,8.136630838097407,5.664372809048734
135,3,3,1,1509,5873,100.0,59.0,6.0,757,1155,193,100,346,101,0,17,0.0,0.0,3,0.0,0.0,0.0,1,2.94885,23.215384615384615,11.646153846153846,7.755536696313395
136,3,3,1,944,3558,87.0,50.0,9.0,1867,516,83,358,1028,265,1,132,0.0,0.0,3,0.0,0.0,0.0,1,3.29134,16.0,31.64406779661017,10.62682319459267
137,3,3,1,1595,5798,137.0,84.23708,4.0,702,985,218,115,233,129,0,7,0.0,0.0,3,0.0,0.0,0.0,1,2.36725,18.076300802338427,7.955838973819169,5.524407123744699
138,3,3,1,2585,9627,292.0,120.0,26.0,1508,1711,322,221,511,389,4,61,0.0,0.0,3,0.0,0.0,0.0,1,2.47305,17.705479452054796,10.32876712328767,6.523299050500521
139,3,3,1,1325,5312,161.0,65.0,18.0,1038,1068,147,234,197,261,4,195,0.0,0.0,3,1450.05286,0.0,0.0,1,2.53323,15.963855421686747,12.506024096385541,7.01247648231521
140,3,3,1,1150,4113,101.0,61.0,3.0,263,884,84,47,93,31,1,7,0.0,0.0,3,0.0,0.0,0.0,1,2.17734,17.96875,4.109375,3.3445019462137298
141,3,3,1,729,2664,53.0,25.0,5.0,216,683,67,44,34,54,1,16,0.0,0.0,3,0.0,0.0,0.0,1,2.7313,24.3,7.2,5.554285714285714
