TAZ,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,household_density,employment_density,density_index
35,1,1,1,2404,4746,58.0,30.0,2.0,380,439,86,129,104,33,0,28,109.0,109.0,1,0.0,0.0,0.0,1,4.39405,75.125,11.875,10.254130747126437
36,1,1,1,2833,5749,47.0,14.0,7.0,2689,543,288,507,942,856,1,95,171.0,239.0,1,0.0,0.0,0.0,1,4.86096,134.9047619047619,128.04761904761904,65.69339093841084
37,1,1,1,2131,4151,43.0,12.0,8.0,3070,404,169,1460,918,336,1,186,171.0,239.0,1,0.0,421.5498,0.0,1,4.86028,106.55,153.5,62.89338588732935
38,1,1,1,2614,4832,83.0,37.0,6.0,2425,311,303,1042,358,649,1,72,166.66141000000005,688.0517,1,0.0,0.0,0.0,1,4.8947,60.7906976744186,56.395348837209305,29.255297055063526
39,1,1,1,2152,4125,67.0,31.0,6.0,375,288,103,104,85,78,0,5,109.0,450.0,2,0.0,548.32013,94.81975,1,3.66092,58.16216216216216,10.135135135135135,8.631108354100045
40,1,1,1,2764,4538,128.0,43.0,28.0,5619,140,954,776,1928,672,3,1286,182.22881,593.4975,2,2480.03442,0.0,0.0,1,4.43027,38.929577464788736,79.14084507042253,26.093915755057605
41,1,1,1,2111,3808,183.0,20.0,90.0,13568,263,709,3975,5915,1886,8,1075,157.58542,789.3728,1,0.0,0.0,0.0,2,4.2409300000000005,19.19090909090909,123.34545454545454,16.607070256103995
42,1,1,1,3783,12685,628.0,147.44588000000005,484.0,694,1792,1,98,132,410,1,52,0.0,0.0,3,0.0,0.0,0.0,2,1.28955,5.991012246370188,1.0990648953161275,0.9286938796026156
43,2,2,1,3446,5651,199.0,57.0,5.0,2499,167,323,379,934,804,2,57,0.0,0.0,2,0.0,0.0,0.0,3,4.19276,55.58064516129032,40.306451612903224,23.36350416451884
44,2,2,1,3845,6414,136.0,56.0,14.0,1537,190,138,473,775,125,0,26,75.0,102.0,2,0.0,0.0,0.0,2,4.03144,54.92857142857143,21.957142857142856,15.686587567022348
45,2,2,1,2614,4424,93.0,40.19286,15.0,3477,153,435,739,949,1223,1,130,0.0,108.78957,1,0.0,0.0,0.0,1,4.97813,47.36119853183908,62.99727899587011,27.035772007093165
46,2,2,1,4324,7060,102.0,42.19071,8.0,1488,267,118,386,659,283,0,42,75.0,102.0,1,0.0,0.0,0.0,1,4.37996,86.15140132506593,29.64692071500881,22.056656085976964
47,2,2,1,1962,3111,56.0,24.28356,11.0,5045,114,235,623,3209,903,0,75,0.0,129.92776,2,743.19623,0.0,0.0,1,8.54946,55.606633797723354,142.9844380782438,40.036458899602444
48,2,2,1,2122,3890,88.0,40.0,4.0,923,201,121,181,474,122,5,20,0.0,123.0,2,523.74432,0.0,0.0,1,3.3160199999999995,48.22727272727273,20.977272727272727,14.618644573816987
49,2,2,1,2450,4548,135.0,76.0,6.0,785,366,97,253,322,96,12,5,0.0,123.0,2,274.65729,0.0,0.0,1,2.26075,29.878048780487806,9.573170731707316,7.250160214121461
50,2,2,1,2548,4464,121.0,59.0,12.0,2709,251,300,395,1172,777,1,64,0.0,0.0,2,0.0,0.0,0.0,1,3.61494,35.88732394366197,38.15492957746479,18.4932015528591
51,2,2,1,2225,3735,107.0,46.0,15.0,443,130,76,155,117,84,2,9,0.0,0.0,2,0.0,0.0,0.0,3,2.26056,36.47540983606557,7.262295081967213,6.056449234399193
52,2,2,1,930,2736,1491.0,57.0,280.0,2282,326,15,662,397,942,7,259,0.0,0.0,3,0.0,0.0,0.0,1,1.32751,2.7596439169139466,6.771513353115727,1.9606187479444663
53,2,2,1,48,194,1097.0,5.0,13.0,3726,5,14,151,1352,2170,25,14,0.0,0.0,3,0.0,0.0,0.0,2,9.96858,2.6666666666666665,207.0,2.63275039745628
54,2,2,1,2794,6751,257.0,105.0,4.0,1046,782,378,165,415,71,0,17,0.0,0.0,3,0.0,0.0,0.0,1,2.37288,25.63302752293578,9.596330275229358,6.98232989296636
55,2,2,1,1597,3775,97.0,58.0,1.0,796,440,149,79,72,490,3,3,0.0,0.0,3,0.0,0.0,0.0,1,2.57525,27.06779661016949,13.491525423728813,9.00374680388421
56,2,2,1,66,339,250.0,2.0,157.0,569,22,7,34,235,288,0,5,0.0,0.0,3,0.0,0.0,0.0,1,1.08765,0.41509433962264153,3.5786163522012577,0.3719506759768237
57,2,2,1,975,2500,137.0,80.0,3.0,394,383,81,115,142,45,4,7,0.0,0.0,3,0.0,0.0,0.0,1,1.6184,11.74698795180723,4.746987951807229,3.3807985778028113
58,2,2,1,2534,5783,104.0,54.0,11.0,842,716,274,83,367,109,0,9,0.0,0.0,3,0.0,0.0,0.0,1,2.98121,38.98461538461538,12.953846153846154,9.723058694859642
59,2,2,1,3292,8120,200.0,110.0,21.0,1074,983,217,133,506,201,0,17,0.0,0.0,3,3220.53564,0.0,0.0,1,2.31371,25.129770992366414,8.198473282442748,6.181716455749319
60,2,2,1,1624,4028,87.0,55.0,2.0,231,472,81,36,72,27,3,12,0.0,0.0,2,0.0,0.0,0.0,1,2.28482,28.49122807017544,4.052631578947368,3.5479642502482616
61,2,2,1,1980,4629,90.0,54.0,4.0,962,556,111,65,271,509,0,6,0.0,0.0,2,0.0,0.0,0.0,1,2.97987,34.13793103448276,16.586206896551722,11.162708924259826
62,2,2,1,3347,7567,158.0,80.0,11.0,1316,859,273,242,473,290,1,37,0.0,0.0,2,0.0,0.0,0.0,2,2.94607,36.78021978021978,14.461538461538462,10.38017783203286
63,2,2,1,2271,5413,129.0,71.0,5.0,825,621,171,165,346,115,0,28,0.0,0.0,2,0.0,0.0,0.0,1,2.58641,29.88157894736842,10.855263157894736,7.962630048959608
64,2,2,1,2920,6967,146.0,80.0,6.0,1376,862,236,213,243,657,0,27,0.0,0.0,2,0.0,0.0,0.0,2,2.97533,33.95348837209303,16.0,10.875232774674116
65,2,2,1,2509,5582,136.0,56.0,14.0,1438,581,293,325,496,261,0,63,0.0,0.0,2,0.0,0.0,0.0,2,3.14856,35.84285714285714,20.542857142857144,13.058532701147344
66,2,2,1,1991,4403,105.0,49.0,15.0,1377,485,302,181,649,134,0,111,0.0,0.0,2,0.0,0.0,0.0,2,3.00236,31.109375,21.515625,12.719005158847981
67,2,2,1,2252,5276,96.0,53.0,7.0736399999999975,359,607,118,103,73,52,1,12,0.0,0.0,2,0.0,0.0,0.0,2,2.66202,37.48732389114427,5.975998790817403,5.154327566802295
68,2,2,1,1371,2965,72.0,34.0,4.0,570,239,89,76,292,92,0,21,0.0,0.0,3,0.0,0.0,0.0,1,2.8811400000000003,36.078947368421055,15.0,10.595054095826894
69,2,2,1,2723,8329,208.0,97.06412,46.0,5327,1539,503,506,3878,410,0,30,0.0,0.0,2,825.33057,6861.20508,1174.96875,1,3.4955300000000005,19.033423614530324,37.235052366728986,12.595161191876151
70,2,2,1,3006,6001,182.0,82.0,29.0,4584,484,549,874,1682,1342,1,136,0.0,0.0,1,0.0,0.0,0.0,1,3.59855,27.08108108108108,41.2972972972973,16.355688494818928
71,2,2,1,2057,4641,145.0,72.0,11.0,2620,527,258,463,1456,370,15,58,0.0,0.0,2,0.0,0.0,0.0,1,3.21263,24.783132530120483,31.566265060240966,13.883217282214169
72,2,2,1,1179,2506,59.0,21.83898,13.0,1404,129,66,245,885,175,0,33,0.0,111.0,1,246.39194,0.0,0.0,1,3.86254,33.84140408243869,40.29968730427814,18.39463079045448
73,2,2,1,2584,4217,69.0,32.0,9.0,2449,152,184,302,935,324,0,704,105.7346,191.25525,1,0.0,0.0,0.0,1,4.63212,63.02439024390244,59.73170731707317,30.666944507712515
74,2,2,1,2345,3931,84.0,17.0,24.0,3935,265,228,664,2714,278,0,51,34.0,117.0,1,0.0,0.0,0.0,1,4.29646,57.19512195121951,95.97560975609755,35.838026254466364
75,2,2,1,1908,2883,44.0,10.49264,13.0,2930,72,358,911,736,873,1,51,68.0,123.0,1,0.0,0.0,0.0,1,4.5072,81.21692581165846,124.71991227890948,49.18676986940043
76,2,2,1,1666,2535,41.0,7.378789999999999,13.0,5021,84,137,824,876,3104,5,75,125.48317,205.7924,2,1646.61853,0.0,0.0,1,4.86456,81.75166435298661,246.3836174767982,61.384044671204684
77,2,2,1,2316,4449,69.0,15.0,25.0,1406,435,91,249,741,271,0,54,79.46495999999998,130.32253,2,0.0,0.0,0.0,1,3.59182,57.9,35.15,21.87195056421279
78,2,2,1,3136,6155,91.0,22.0,9.0,2092,889,18,353,338,1371,0,12,234.17911,384.05374,2,0.0,0.0,0.0,2,4.52764,101.16129032258064,67.48387096774194,40.47999605104031
79,2,2,1,2315,3704,68.0,11.99386,25.38028,4354,295,132,734,2551,888,1,48,95.0,123.0,1,359.48679,0.0,0.0,3,4.32642,61.94122460075336,116.4976638927344,40.43965990578499
80,2,2,1,2101,4443,59.0,31.0,6.0,387,480,75,97,143,70,0,2,75.0,116.0,2,0.0,0.0,0.0,1,3.68156,56.78378378378378,10.45945945945946,8.832525853828104
81,2,2,1,4140,7832,110.0,42.11309,21.0,2061,538,158,346,796,719,0,42,48.0,68.0,1,0.0,0.0,0.0,1,3.95752,65.5965347283741,32.655666201734064,21.802041295787618
82,2,2,1,1843,3417,76.0,29.0,15.0,2263,107,359,320,911,637,1,35,70.85715,100.38096,1,0.0,0.0,0.0,1,4.24141,41.88636363636363,51.43181818181818,23.085445910640743
83,2,2,1,2256,3948,119.0,60.0,2.0,370,116,97,121,98,38,10,6,0.0,0.0,3,0.0,0.0,0.0,1,2.24702,36.38709677419355,5.967741935483871,5.126894823477385
84,2,2,1,2391,4924,117.0,42.0,4.0,1408,293,143,175,207,857,1,25,74.43172,105.44494,1,0.0,0.0,0.0,1,4.80294,51.97826086956522,30.608695652173914,19.264383075637756
85,2,2,1,1912,4020,77.0,26.0,11.0,1747,200,338,281,424,671,1,32,130.76346,202.2475,2,0.0,0.0,0.0,1,4.27539,51.67567567567568,47.21621621621622,24.6726989356123
86,2,2,1,3249,6875,125.0,51.18573,16.37736,1202,815,97,305,650,139,0,11,0.0,0.0,2,0.0,0.0,0.0,1,3.40842,48.088386721211236,17.790778959340077,12.98634932349942
87,2,2,1,2444,5345,93.0,43.0,14.0,2793,273,116,239,2240,181,1,16,0.0,0.0,2,0.0,0.0,0.0,1,4.61106,42.87719298245614,49.0,22.867290433454265
88,2,2,1,2611,5381,85.0,40.0,11.0,1397,216,485,196,592,95,1,28,0.0,0.0,2,340.63205,0.0,0.0,2,3.88504,51.19607843137255,27.392156862745097,17.844541309537785
89,2,2,1,3630,7494,150.0,89.0,5.0,1249,506,264,227,463,217,0,78,0.0,0.0,2,138.67621,0.0,0.0,1,2.83676,38.61702127659574,13.287234042553191,9.885767488105776
90,3,3,1,2115,4520,86.0,42.0,9.0,3539,328,139,744,2164,451,1,40,0.0,0.0,1,0.0,0.0,0.0,1,5.39812,41.470588235294116,69.3921568627451,25.95762500260097
