MAZ,TAZ,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,AGREMPN,CIACRE,COLLFTE,COLLPTE,COUNTY,DISTRICT,EMPRES,FPSEMPN,HEREMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,HHPOP,HSENROLL,MFDU,MWTEMPN,OPRKCST,OTHEMPN,PRKCST,RESACRE,RETEMPN,SD,SFDU,SHPOP62P,TERMINAL,TOPOLOGY,TOTACRE,TOTEMP,TOTHH,TOTPOP,ZERO,area_type,gqpop,hhlds,sftaz
47,347,0,4,0,9,2,0,0.0,0,0,1,-1,10,0,0,0,0,1,5,15,4,-1,0,0.0,0,0.0,1.470890725,0,-1,-1,0.333333333,2,1,1.470890725,0,6,15,0,4,-1,-1,-1
48,348,1,7,13,28,8,0,0.0,0,0,1,-1,25,0,0,2,1,0,21,57,7,-1,0,0.0,0,0.0,3.494536272,0,-1,-1,0.31578947399999996,2,1,3.494536272,0,24,57,0,4,-1,-1,-1
49,345,4,10,6,27,2,0,0.0,0,0,1,-1,21,0,0,3,5,2,12,49,10,-1,0,0.0,0,0.0,2.8033287419999997,0,-1,-1,0.163265306,2,1,2.8033287419999997,0,22,49,0,4,-1,-1,-1
50,334,2,8,25,20,2,0,0.0,0,0,1,-1,37,0,0,1,2,2,20,57,8,-1,0,0.0,0,0.0,3.085835629,0,-1,-1,0.070175439,3,1,3.085835629,0,25,57,0,4,-1,-1,-1
51,333,0,13,6,33,4,0,0.0,0,0,1,-1,38,0,0,2,6,0,17,56,13,-1,0,0.0,0,0.0,3.382644628,0,-1,-1,0.19642857100000002,2,1,3.382644628,0,25,56,0,4,-1,-1,-1
54,350,3,21,131,81,53,6,0.47008526,0,0,1,-1,176,12,1,25,33,45,51,289,21,-1,0,0.0,0,0.0,2.830305006,11,-1,-1,0.242214533,3,1,3.3003902660000004,48,154,289,0,1,-1,-1,-1
55,350,1,11,44,15,8,0,0.0,0,0,1,-1,45,0,0,7,3,8,16,79,11,-1,0,0.0,0,0.0,3.3087006430000003,0,-1,-1,0.164556962,3,1,3.3087006430000003,0,34,79,0,4,-1,-1,-1
56,332,0,3,7,7,2,0,0.0,0,0,1,-1,12,0,0,1,1,0,7,19,3,-1,0,0.0,0,0.0,1.095408632,0,-1,-1,0.15789473699999998,2,1,1.095408632,0,9,19,0,4,-1,-1,-1
57,351,30,14,302,76,12,4,0.197130718,0,0,1,-1,282,9,0,46,99,71,60,434,14,-1,13,0.0,0,0.0,1.358011614,7,-1,-1,0.087557604,3,1,1.555142332,63,276,434,0,0,-1,-1,-1
112,334,1,0,7,4,1,0,0.0,0,0,1,-1,10,0,0,0,2,1,2,13,0,-1,0,0.0,0,0.0,0.657093664,0,-1,-1,0.23076923100000002,3,1,0.657093664,0,5,13,0,4,-1,-1,-1
113,345,1,6,6,11,3,0,0.0,0,0,1,-1,12,0,0,3,0,1,7,27,6,-1,0,0.0,0,0.0,1.410766758,0,-1,-1,0.222222222,2,1,1.410766758,0,11,27,0,4,-1,-1,-1
177,348,7,10,13,31,9,0,0.0,0,0,1,-1,29,0,0,1,3,2,20,70,10,-1,0,0.0,0,0.0,5.411891644,0,-1,-1,0.257142857,2,1,5.411891644,0,26,70,0,4,-1,-1,-1
409,332,3,64,158,158,39,7,2.011837026,0,0,1,-1,273,13,3,19,49,29,110,422,64,-1,2,0.0,0,0.0,29.27569741,0,-1,-1,0.165876777,2,1,31.28753444,29,207,422,0,4,-1,-1,-1
698,350,1,15,38,21,13,0,0.0,0,0,1,-1,48,0,0,7,2,6,20,88,15,-1,0,0.0,0,0.0,5.643572084,0,-1,-1,0.170454545,3,1,5.643572084,0,35,88,0,4,-1,-1,-1
700,343,4,15,90,55,20,0,0.0,0,0,1,-1,132,0,0,14,16,26,51,184,15,-1,0,0.0,0,0.0,2.9759182739999996,0,-1,-1,0.152173913,3,1,2.9759182739999996,0,107,184,0,2,-1,-1,-1
720,348,3,3,7,16,4,0,0.0,0,0,1,-1,11,0,0,0,1,1,13,33,3,-1,0,0.0,0,0.0,1.707988981,0,-1,-1,0.333333333,2,1,1.707988981,0,15,33,0,4,-1,-1,-1
721,349,4,10,14,19,6,0,0.0,0,0,1,-1,28,0,0,0,2,3,14,53,10,-1,0,0.0,0,0.0,2.635583104,0,-1,-1,0.132075472,2,1,2.635583104,0,19,53,0,4,-1,-1,-1
738,354,0,5,3,9,1,0,0.0,0,0,1,-1,11,0,0,0,0,1,7,18,5,-1,0,0.0,0,0.0,1.3719237830000002,0,-1,-1,0.111111111,2,1,1.3719237830000002,0,8,18,0,4,-1,-1,-1
780,344,2,12,7,20,8,0,0.0,0,0,1,-1,29,0,0,3,4,5,12,49,12,-1,0,0.0,0,0.0,3.253719008,0,-1,-1,0.22448979600000002,2,1,3.253719008,0,24,49,0,4,-1,-1,-1
781,344,0,2,5,15,4,0,0.0,0,0,1,-1,14,0,0,0,0,2,9,26,2,-1,0,0.0,0,0.0,1.430876951,0,-1,-1,0.346153846,2,1,1.430876951,0,11,26,0,4,-1,-1,-1
782,344,2,10,15,24,12,0,0.0,0,0,1,-1,29,0,0,4,0,2,20,63,10,-1,0,0.0,0,0.0,3.140266299,0,-1,-1,0.301587302,2,1,3.140266299,0,26,63,0,4,-1,-1,-1
783,349,5,9,18,17,3,0,0.0,0,0,1,-1,31,0,0,0,1,8,11,52,9,-1,0,0.0,0,0.0,2.6390955000000003,0,-1,-1,0.096153846,2,1,2.6390955000000003,0,20,52,0,4,-1,-1,-1
784,349,7,12,16,21,4,0,0.0,0,0,1,-1,25,0,0,0,2,9,12,60,12,-1,0,0.0,0,0.0,3.357713499,0,-1,-1,0.1,2,1,3.357713499,0,23,60,0,4,-1,-1,-1
