MAZ,TAZ,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,AGREMPN,CIACRE,COLLFTE,COLLPTE,COUNTY,DISTRICT,EMPRES,FPSEMPN,HEREMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,HHPOP,HSENROLL,MFDU,MWTEMPN,OPRKCST,OTHEMPN,PRKCST,RESACRE,RETEMPN,SD,SFDU,SHPOP62P,TERMINAL,TOPOLOGY,TOTACRE,TOTEMP,TOTHH,TOTPOP,ZERO,area_type,gqpop,hhlds,sftaz
785,348,2,2,4,14,3,0,0.0,0,0,1,-1,14,0,0,1,0,0,8,25,2,-1,0,0.0,0,0.0,1.27761708,0,-1,-1,0.36,2,1,1.27761708,0,9,25,0,4,-1,-1,-1
797,340,2,13,27,18,0,0,0.0,0,0,1,-1,38,0,0,5,14,0,9,60,13,-1,0,0.0,0,0.0,1.748507805,0,-1,-1,0.05,2,1,1.748507805,0,28,60,0,3,-1,-1,-1
851,340,0,8,1,12,2,0,0.0,0,0,1,-1,14,0,0,1,2,0,6,23,8,-1,0,0.0,0,0.0,1.076101928,0,-1,-1,0.260869565,2,1,1.076101928,0,9,23,0,4,-1,-1,-1
852,354,0,0,0,0,1,4,28.01834969,0,0,1,-1,1,11,0,0,0,1,0,1,0,-1,3,0.0,0,0.0,0.444735709,1,-1,-1,1.0,2,1,28.4630854,63,1,1,0,5,-1,-1,-1
858,338,0,0,1,1,0,7,0.13939687,0,0,1,-1,1,13,5,0,0,0,1,2,0,-1,6,0.0,0,0.0,0.006195416,1,-1,-1,0.0,2,1,0.145592287,45,1,2,0,0,-1,-1,-1
918,353,1,4,7,14,3,0,0.0,0,0,1,-1,19,0,0,0,2,1,6,29,4,-1,0,0.0,0,0.0,1.1628099170000001,0,-1,-1,0.310344828,2,1,1.1628099170000001,0,9,29,0,4,-1,-1,-1
919,353,0,5,3,10,3,1,0.388521579,0,0,1,-1,14,8,1,0,1,1,6,21,5,-1,0,0.0,3,0.0,0.582782369,0,-1,-1,0.23809523800000001,2,1,0.971303949,14,8,21,0,2,-1,-1,-1
924,355,2,15,29,21,4,0,0.0,0,0,1,-1,43,0,0,0,3,1,25,71,15,-1,0,0.0,0,0.0,1.856427916,0,-1,-1,0.14084507,2,1,1.856427916,0,29,71,0,3,-1,-1,-1
925,356,0,5,12,12,5,0,0.0,0,0,1,-1,19,0,0,0,2,3,10,34,5,-1,0,0.0,0,0.0,1.2753213959999998,0,-1,-1,0.294117647,2,1,1.2753213959999998,0,15,34,0,4,-1,-1,-1
963,346,2,6,9,24,2,0,0.0,0,0,1,-1,14,0,0,1,3,4,8,43,6,-1,0,0.0,0,0.0,2.28677686,0,-1,-1,0.255813953,2,1,2.28677686,0,16,43,0,4,-1,-1,-1
971,346,0,0,0,2,0,0,0.0,0,0,1,-1,2,0,0,0,0,0,1,2,0,-1,0,0.0,0,0.0,4.629476584,0,-1,-1,0.5,2,1,4.629476584,0,1,2,0,5,-1,-1,-1
972,346,1,16,8,33,3,0,0.0,0,0,1,-1,31,0,0,1,1,4,17,61,16,-1,0,0.0,0,0.0,3.269398531,0,-1,-1,0.278688525,2,1,3.269398531,0,23,61,0,4,-1,-1,-1
973,345,0,6,5,26,2,0,0.0,0,0,1,-1,18,0,0,1,1,2,16,39,6,-1,0,0.0,0,0.0,2.76889348,0,-1,-1,0.23076923100000002,2,1,2.76889348,0,20,39,0,4,-1,-1,-1
974,345,0,9,4,33,0,0,0.0,0,0,1,-1,16,0,0,5,2,1,13,46,9,-1,0,0.0,0,0.0,2.8113636360000003,0,-1,-1,0.19565217399999998,2,1,2.8113636360000003,0,21,46,0,4,-1,-1,-1
977,350,1,5,5,17,7,0,0.0,0,0,1,-1,21,0,0,0,0,1,13,35,5,-1,0,0.0,0,0.0,2.105624426,0,-1,-1,0.4,3,1,2.105624426,0,14,35,0,4,-1,-1,-1
978,350,0,4,11,12,3,0,0.0,0,0,1,-1,21,0,0,0,1,2,9,30,4,-1,0,0.0,0,0.0,2.282323232,0,-1,-1,0.26666666699999997,3,1,2.282323232,0,12,30,0,4,-1,-1,-1
979,350,0,4,8,14,4,0,0.0,0,0,1,-1,23,0,0,1,5,0,9,30,4,-1,0,0.0,0,0.0,2.115059688,0,-1,-1,0.166666667,3,1,2.115059688,0,15,30,0,4,-1,-1,-1
997,355,10,18,65,30,10,0,0.0,0,0,1,-1,83,0,0,0,10,6,47,133,18,-1,0,0.0,0,0.0,2.192722681,0,-1,-1,0.14285714300000002,2,1,2.192722681,0,63,133,0,2,-1,-1,-1
998,356,2,11,19,12,3,0,0.0,0,0,1,-1,23,0,0,1,3,1,11,47,11,-1,0,0.0,0,0.0,1.160766758,0,-1,-1,0.14893617,2,1,1.160766758,0,16,47,0,3,-1,-1,-1
1000,357,1,10,24,17,10,0,0.0,0,0,1,-1,34,0,0,1,3,3,18,62,10,-1,0,0.0,0,0.0,2.227938476,0,-1,-1,0.24193548399999998,2,1,2.227938476,0,25,62,0,4,-1,-1,-1
1001,357,0,3,6,8,4,0,0.0,0,0,1,-1,13,0,0,0,1,1,8,21,3,-1,0,0.0,0,0.0,0.684067952,0,-1,-1,0.333333333,2,1,0.684067952,0,10,21,0,3,-1,-1,-1
1306,332,5,64,70,92,32,0,0.0,0,0,1,-1,131,0,0,8,0,7,84,263,64,-1,0,0.0,0,0.0,25.67451791,0,-1,-1,0.205323194,2,1,25.67451791,0,99,263,0,4,-1,-1,-1
2867,350,0,3,12,11,4,0,0.0,0,0,1,-1,19,0,0,2,1,5,5,30,3,-1,0,0.0,0,0.0,2.116345271,0,-1,-1,0.233333333,3,1,2.116345271,0,13,30,0,4,-1,-1,-1
3604,347,3,14,18,61,14,0,0.0,0,0,1,-1,47,0,0,6,3,0,35,110,14,-1,0,0.0,0,0.0,24.79561524,0,-1,-1,0.290909091,2,1,24.79561524,0,44,110,0,5,-1,-1,-1
3605,347,0,5,2,7,1,0,0.0,0,0,1,-1,7,0,0,0,1,1,2,15,5,-1,0,0.0,0,0.0,0.7893939390000001,0,-1,-1,0.26666666699999997,2,1,0.7893939390000001,0,4,15,0,4,-1,-1,-1
3613,358,5,13,201,131,25,0,0.0,0,0,1,-1,316,0,0,25,50,71,101,375,13,-1,0,0.0,0,0.0,5.764393939,0,-1,-1,0.173333333,2,1,5.764393939,0,247,375,0,2,-1,-1,-1
3662,343,6,8,38,29,12,0,0.0,0,0,1,-1,66,0,0,5,12,12,22,93,8,-1,0,0.0,0,0.0,0.930945822,0,-1,-1,0.204301075,3,1,0.930945822,0,51,93,0,2,-1,-1,-1
3668,353,0,13,15,26,1,0,0.0,0,0,1,-1,35,0,0,1,4,0,16,55,13,-1,0,0.0,0,0.0,2.037786961,0,-1,-1,0.109090909,2,1,2.037786961,0,21,55,0,4,-1,-1,-1
3679,347,0,0,0,2,0,0,0.0,0,0,1,-1,0,0,0,0,0,0,1,2,0,-1,0,0.0,0,0.0,58.95748393,0,-1,-1,0.5,2,1,58.95748393,0,1,2,0,5,-1,-1,-1
3915,347,2,5,4,19,3,0,0.0,0,0,1,-1,16,0,0,0,1,1,10,33,5,-1,0,0.0,0,0.0,3.330991736,0,-1,-1,0.24242424199999998,2,1,3.330991736,0,12,33,0,4,-1,-1,-1
4122,354,0,7,7,13,4,0,0.0,0,0,1,-1,16,0,0,1,2,1,8,31,7,-1,0,0.0,0,0.0,1.460674931,0,-1,-1,0.225806452,2,1,1.460674931,0,12,31,0,4,-1,-1,-1
4123,354,1,12,19,21,17,0,0.0,0,0,1,-1,38,0,0,4,3,9,24,70,12,-1,0,0.0,0,0.0,2.5317033980000003,0,-1,-1,0.314285714,2,1,2.5317033980000003,0,40,70,0,4,-1,-1,-1
4124,357,1,5,10,9,3,0,0.0,0,0,1,-1,15,0,0,0,1,0,10,28,5,-1,0,0.0,0,0.0,1.0871900829999999,0,-1,-1,0.25,2,1,1.0871900829999999,0,11,28,0,4,-1,-1,-1
4170,353,0,5,8,8,0,0,0.0,0,0,1,-1,13,0,0,0,4,1,5,21,5,-1,0,0.0,0,0.0,0.88328742,0,-1,-1,0.14285714300000002,2,1,0.88328742,0,10,21,0,4,-1,-1,-1
4621,338,37,16,244,49,12,25,1.149345331,0,0,1,-1,243,52,9,34,39,43,61,358,16,-1,35,0.0,0,0.0,2.571660178,4,-1,-1,0.044692737,2,1,3.72100551,160,177,358,0,1,-1,-1,-1
4624,355,2,19,35,24,7,0,0.0,0,0,1,-1,46,0,0,0,4,5,27,87,19,-1,0,0.0,0,0.0,3.305922865,0,-1,-1,0.137931034,2,1,3.305922865,0,36,87,0,4,-1,-1,-1
4625,355,2,10,15,16,4,0,0.0,0,0,1,-1,25,0,0,0,0,2,14,47,10,-1,0,0.0,0,0.0,1.377112029,0,-1,-1,0.17021276600000002,2,1,1.377112029,0,16,47,0,3,-1,-1,-1
4626,355,1,2,11,5,3,0,0.0,0,0,1,-1,13,0,0,0,1,0,10,22,2,-1,0,0.0,0,0.0,1.3775022959999998,0,-1,-1,0.318181818,2,1,1.3775022959999998,0,11,22,0,4,-1,-1,-1
4691,336,5,9,78,12,4,3,2.852947002,0,0,1,-1,79,3,0,12,16,18,20,108,9,-1,86,0.0,0,0.0,3.020767414,3,-1,-1,0.055555556,2,1,5.873714417,102,66,108,0,2,-1,-1,-1
4863,341,5,28,118,45,5,0,0.0,0,0,1,-1,142,0,0,16,35,32,36,201,28,-1,0,0.0,0,0.0,3.3337236000000003,0,-1,-1,0.074626866,2,1,3.3337236000000003,0,119,201,0,2,-1,-1,-1
4865,341,0,6,3,14,1,0,0.0,0,0,1,-1,12,0,0,0,3,1,7,24,6,-1,0,0.0,0,0.0,1.650528007,0,-1,-1,0.166666667,2,1,1.650528007,0,11,24,0,4,-1,-1,-1
4866,339,10,26,121,51,8,0,0.0,0,0,1,-1,157,0,0,15,17,30,47,216,26,-1,0,0.0,0,0.0,3.828971534,0,-1,-1,0.083333333,2,1,3.828971534,0,109,216,0,2,-1,-1,-1
4867,340,0,3,6,3,3,0,0.0,0,0,1,-1,12,0,0,2,1,0,4,15,3,-1,0,0.0,0,0.0,1.057208448,0,-1,-1,0.2,2,1,1.057208448,0,7,15,0,4,-1,-1,-1
4868,353,2,12,14,19,6,0,0.0,0,0,1,-1,32,0,0,1,3,1,16,53,12,-1,0,0.0,0,0.0,1.9982782369999998,0,-1,-1,0.16981132100000002,2,1,1.9982782369999998,0,21,53,0,4,-1,-1,-1
5053,336,0,3,2,3,1,7,3.4174212319999997,0,0,1,-1,6,13,5,0,0,1,2,9,3,-1,197,0.0,0,0.0,0.130879962,6,-1,-1,0.111111111,2,1,3.5483011939999995,235,3,9,0,1,-1,-1,-1
5353,358,0,4,47,46,11,1,0.458964215,0,0,1,-1,93,4,0,4,11,15,36,108,4,-1,0,0.0,0,0.0,1.9827254090000002,6,-1,-1,0.240740741,2,1,2.441689624,25,66,108,0,2,-1,-1,-1
5881,353,0,10,6,16,2,0,0.0,0,0,1,-1,22,0,0,0,0,0,10,34,10,-1,0,0.0,0,0.0,0.903764922,0,-1,-1,0.058823529000000006,2,1,0.903764922,0,10,34,0,3,-1,-1,-1
5882,353,0,3,3,5,4,0,0.0,0,0,1,-1,11,0,0,0,2,0,5,15,3,-1,0,0.0,0,0.0,1.086363636,0,-1,-1,0.333333333,2,1,1.086363636,0,7,15,0,4,-1,-1,-1
6078,334,8,8,29,33,8,0,0.0,0,0,1,-1,61,0,0,0,7,8,21,86,8,-1,0,0.0,0,0.0,5.074288338,0,-1,-1,0.151162791,3,1,5.074288338,0,36,86,0,4,-1,-1,-1
6123,346,0,4,2,6,1,0,0.0,0,0,1,-1,4,0,0,2,1,2,2,13,4,-1,0,0.0,0,0.0,0.974334252,0,-1,-1,0.153846154,2,1,0.974334252,0,7,13,0,4,-1,-1,-1
6124,345,1,9,7,13,1,0,0.0,0,0,1,-1,13,0,0,0,1,4,6,31,9,-1,0,0.0,0,0.0,1.269306703,0,-1,-1,0.129032258,2,1,1.269306703,0,11,31,0,4,-1,-1,-1
6125,347,0,14,6,45,9,0,0.0,0,0,1,-1,31,0,0,2,3,2,23,74,14,-1,0,0.0,0,0.0,5.939370983,0,-1,-1,0.310810811,2,1,5.939370983,0,30,74,0,4,-1,-1,-1
6126,332,0,7,10,18,1,0,0.0,0,0,1,-1,23,0,0,1,0,0,14,36,7,-1,0,0.0,0,0.0,1.6658631769999999,0,-1,-1,0.111111111,2,1,1.6658631769999999,0,15,36,0,4,-1,-1,-1
6127,333,0,10,3,35,4,0,0.0,0,0,1,-1,40,0,0,1,3,0,19,52,10,-1,0,0.0,0,0.0,3.196166208,0,-1,-1,0.134615385,2,1,3.196166208,0,23,52,0,4,-1,-1,-1
6129,333,3,9,11,28,4,0,0.0,0,0,1,-1,38,0,0,2,9,1,15,55,9,-1,0,0.0,0,0.0,3.318112948,0,-1,-1,0.163636364,2,1,3.318112948,0,27,55,0,4,-1,-1,-1
6130,344,7,13,13,25,11,0,0.0,0,0,1,-1,39,0,0,1,5,3,17,69,13,-1,0,0.0,0,0.0,3.195661157,0,-1,-1,0.21739130399999998,2,1,3.195661157,0,26,69,0,4,-1,-1,-1
6131,334,0,1,1,2,0,11,0.39743041700000004,0,0,1,-1,2,4,0,0,0,0,1,4,1,-1,0,0.0,0,0.0,0.06358886700000001,1,-1,-1,0.0,3,1,0.461019284,25,1,4,0,1,-1,-1,-1
6182,353,1,5,6,5,1,0,0.0,0,0,1,-1,9,0,0,1,1,0,7,18,5,-1,0,0.0,0,0.0,0.8693755740000001,0,-1,-1,0.111111111,2,1,0.8693755740000001,0,9,18,0,4,-1,-1,-1
6185,357,2,7,23,22,11,0,0.0,0,0,1,-1,39,0,0,1,2,5,20,65,7,-1,0,0.0,0,0.0,3.60392562,0,-1,-1,0.307692308,2,1,3.60392562,0,28,65,0,4,-1,-1,-1
6553,335,0,1,1,2,0,140,2.102580905,0,0,1,-1,2,53,7,0,0,0,1,4,1,-1,125,0.0,0,0.0,0.021454907000000002,15,-1,-1,0.0,3,1,2.1240358130000003,392,1,4,0,0,-1,-1,-1
6568,358,4,9,133,96,20,8,2.548298346,0,0,1,-1,227,29,11,11,33,50,74,262,9,-1,12,0.0,0,0.0,5.341233334,23,-1,-1,0.17557251899999998,2,1,7.88953168,125,168,262,0,2,-1,-1,-1
7135,348,1,9,6,21,4,0,0.0,0,0,1,-1,24,0,0,2,0,0,15,41,9,-1,0,0.0,0,0.0,1.850619835,0,-1,-1,0.219512195,2,1,1.850619835,0,17,41,0,4,-1,-1,-1
7136,348,5,3,10,15,3,0,0.0,0,0,1,-1,19,0,0,0,1,0,10,36,3,-1,0,0.0,0,0.0,1.5406106519999998,0,-1,-1,0.222222222,2,1,1.5406106519999998,0,11,36,0,4,-1,-1,-1
7137,348,2,7,10,21,7,0,0.0,0,0,1,-1,25,0,0,4,2,1,12,47,7,-1,0,0.0,0,0.0,3.58161157,0,-1,-1,0.276595745,2,1,3.58161157,0,19,47,0,4,-1,-1,-1
7140,349,0,3,2,32,2,7,1.253736226,0,0,1,-1,34,25,8,0,1,0,30,39,3,-1,1,0.0,7,0.0,0.417912075,16,-1,-1,0.051282050999999995,2,1,1.6716483009999998,117,31,39,0,1,-1,-1,-1
7184,341,11,19,116,72,2,12,0.44955209,0,0,1,-1,167,14,1,23,28,19,59,220,19,-1,3,0.0,0,0.0,1.831508516,9,-1,-1,0.040909091,2,1,2.281060606,54,129,220,0,1,-1,-1,-1
7189,341,0,4,5,13,8,0,0.0,0,0,1,-1,18,0,0,1,2,4,7,30,4,-1,0,0.0,0,0.0,1.691161616,0,-1,-1,0.36666666700000006,2,1,1.691161616,0,14,30,0,4,-1,-1,-1
7427,331,0,8,8,11,6,3,172.63091740000002,0,0,1,-1,17,10,1,0,0,2,9,33,8,-1,0,0.0,174,0.0,29.06540955,3,-1,-1,0.24242424199999998,2,1,201.6963269,196,11,33,0,5,-1,-1,-1
7670,334,7,7,49,27,19,0,0.0,0,0,1,-1,73,0,0,5,19,20,17,109,7,-1,0,0.0,0,0.0,1.632369146,0,-1,-1,0.211009174,3,1,1.632369146,0,61,109,0,2,-1,-1,-1
7672,350,0,15,43,16,6,0,0.0,0,0,1,-1,41,0,0,7,1,7,20,80,15,-1,0,0.0,0,0.0,4.1698117539999995,0,-1,-1,0.1,3,1,4.1698117539999995,0,35,80,0,4,-1,-1,-1
7674,343,14,8,84,27,2,2,1.358495836,0,0,1,-1,90,23,3,14,10,33,15,135,8,-1,34,0.0,0,0.0,1.951031253,9,-1,-1,0.02962963,3,1,3.309527089,94,72,135,0,1,-1,-1,-1
7705,352,0,4,4,8,1,0,0.0,0,0,1,-1,12,0,0,0,1,3,4,17,4,-1,0,0.0,0,0.0,1.0227961429999999,0,-1,-1,0.117647059,2,1,1.0227961429999999,0,8,17,0,4,-1,-1,-1
7706,352,0,0,2,0,0,0,0.0,0,0,1,-1,0,0,0,1,1,0,0,2,0,-1,0,0.0,0,0.0,0.225275482,0,-1,-1,0.0,2,1,0.225275482,0,2,2,0,4,-1,-1,-1
7708,352,0,10,10,16,3,0,0.0,0,0,1,-1,24,0,0,0,1,1,15,39,10,-1,0,0.0,0,0.0,1.255762167,0,-1,-1,0.128205128,2,1,1.255762167,0,17,39,0,3,-1,-1,-1
7709,353,2,3,10,6,2,0,0.0,0,0,1,-1,12,0,0,0,1,1,8,23,3,-1,0,0.0,0,0.0,0.924288338,0,-1,-1,0.17391304300000002,2,1,0.924288338,0,10,23,0,4,-1,-1,-1
7710,353,0,9,10,14,3,0,0.0,0,0,1,-1,22,0,0,0,1,2,13,36,9,-1,0,0.0,0,0.0,1.5252754819999998,0,-1,-1,0.111111111,2,1,1.5252754819999998,0,16,36,0,4,-1,-1,-1
8198,340,2,4,11,5,0,0,0.0,0,0,1,-1,10,0,0,2,6,0,2,22,4,-1,0,0.0,0,0.0,1.489003673,0,-1,-1,0.0,2,1,1.489003673,0,10,22,0,4,-1,-1,-1
8200,340,0,1,0,1,0,1,2.642622378,0,0,1,-1,1,0,59,0,1,0,0,2,1,-1,0,0.0,0,0.0,0.083892774,3,-1,-1,0.0,2,1,2.7265151519999997,63,1,2,0,2,-1,-1,-1
8201,338,4,0,21,1,0,34,2.75106388,0,0,1,-1,21,56,50,2,2,6,4,26,0,-1,4,0.0,0,0.0,0.376461373,9,-1,-1,0.0,2,1,3.127525253,190,14,26,0,1,-1,-1,-1
8202,338,0,3,20,11,1,22,3.0982752430000002,0,0,1,-1,20,49,18,5,1,1,10,35,3,-1,2,0.0,10,0.0,0.8606320120000001,0,-1,-1,0.028571429,2,1,3.9589072539999997,126,17,35,0,2,-1,-1,-1
8429,331,0,6,8,14,2,24,377.6681192,0,0,1,-1,17,84,1,1,0,2,10,30,6,-1,9,0.0,0,0.0,73.09705532,19,-1,-1,0.233333333,2,1,450.7651745,155,13,30,0,5,-1,-1,-1
8430,347,1,2,1,8,1,0,0.0,0,0,1,-1,9,0,0,0,0,2,4,13,2,-1,0,0.0,0,0.0,0.8819559229999999,0,-1,-1,0.153846154,2,1,0.8819559229999999,0,6,13,0,4,-1,-1,-1
8686,353,0,5,10,11,0,0,0.0,0,0,1,-1,17,0,0,0,2,0,7,26,5,-1,0,0.0,0,0.0,0.976882461,0,-1,-1,0.153846154,2,1,0.976882461,0,9,26,0,4,-1,-1,-1
8765,355,2,6,16,14,2,0,0.0,0,0,1,-1,26,0,0,0,1,1,13,40,6,-1,0,0.0,0,0.0,1.301974288,0,-1,-1,0.15,2,1,1.301974288,0,15,40,0,3,-1,-1,-1
9859,332,2,3,10,8,3,0,0.0,0,0,1,-1,14,0,0,1,0,0,7,26,3,-1,0,0.0,0,0.0,1.718801653,0,-1,-1,0.269230769,2,1,1.718801653,0,8,26,0,4,-1,-1,-1
10522,350,0,10,65,39,23,0,0.0,0,0,1,-1,82,0,0,19,10,22,21,137,10,-1,0,0.0,0,0.0,2.7544536269999997,0,-1,-1,0.226277372,3,1,2.7544536269999997,0,72,137,0,3,-1,-1,-1
10773,334,1,11,34,26,11,0,0.0,0,0,1,-1,61,0,0,3,17,7,18,83,11,-1,0,0.0,0,0.0,3.937029385,0,-1,-1,0.204819277,3,1,3.937029385,0,45,83,0,4,-1,-1,-1
11062,340,0,5,1,5,0,10,10.534626699999999,0,0,1,-1,5,5,936,0,3,0,1,11,5,-1,3,0.0,1,0.0,0.11541921699999999,45,-1,-1,0.0,2,1,10.65004591,1004,4,11,0,1,-1,-1,-1
11063,340,0,6,11,9,2,0,0.0,0,0,1,-1,19,0,0,1,1,0,9,28,6,-1,0,0.0,0,0.0,1.064302112,0,-1,-1,0.14285714300000002,2,1,1.064302112,0,11,28,0,4,-1,-1,-1
11064,340,10,22,85,34,1,0,0.0,0,0,1,-1,98,0,0,18,30,1,25,152,22,-1,0,0.0,0,0.0,2.7254132230000003,0,-1,-1,0.046052632,2,1,2.7254132230000003,0,74,152,0,2,-1,-1,-1
11065,353,0,2,2,7,4,0,0.0,0,0,1,-1,9,0,0,0,0,3,4,15,2,-1,0,0.0,0,0.0,0.89556933,0,-1,-1,0.333333333,2,1,0.89556933,0,7,15,0,4,-1,-1,-1
11066,354,1,10,8,18,5,0,0.0,0,0,1,-1,23,0,0,1,2,4,11,42,10,-1,0,0.0,0,0.0,1.78285124,0,-1,-1,0.261904762,2,1,1.78285124,0,18,42,0,4,-1,-1,-1
11586,354,5,20,25,45,26,0,0.0,0,0,1,-1,62,0,0,2,6,12,35,121,20,-1,0,0.0,0,0.0,1.388728191,0,-1,-1,0.338842975,2,1,1.388728191,0,55,121,0,2,-1,-1,-1
11587,354,3,13,11,28,5,0,0.0,0,0,1,-1,33,0,0,1,3,2,13,60,13,-1,0,0.0,0,0.0,2.256382002,0,-1,-1,0.2,2,1,2.256382002,0,19,60,0,4,-1,-1,-1
11589,355,2,25,37,36,7,0,0.0,0,0,1,-1,59,0,0,0,3,6,32,107,25,-1,0,0.0,0,0.0,3.2808080810000004,0,-1,-1,0.11214953300000001,2,1,3.2808080810000004,0,41,107,0,3,-1,-1,-1
