alternative,probability_1,probability_2,probability_3
PERID,1888694,1888695,1888696
work1,,0.454567574353,0.413690551319
work2,,1e-300,1e-300
school1,,0.507119451821,0.549065769882
school2,,0.0383129738257,0.037243678799
work_and_school,,1e-300,1e-300
