primary_purpose,outbound,depart_range_start,depart_range_end,person_type,work,univ,school,escort,shopping,othmaint,eatout,social,othdiscr
atwork,True,5,23,PTYPE_FULL,0.206,0,0,0.122,0.166,0.247,0.241,0.004,0.014
atwork,True,5,23,PTYPE_PART,0.206,0,0,0.122,0.166,0.247,0.241,0.004,0.014
atwork,True,5,23,PTYPE_UNIVERSITY,0.206,0,0,0.122,0.166,0.247,0.241,0.004,0.014
atwork,True,5,23,PTYPE_DRIVING,0.206,0,0,0.122,0.166,0.247,0.241,0.004,0.014
#,,,,,,,,,,,,,
work,False,5,14,PTYPE_FULL,0.175,0,0,0.14,0.27,0.162,0.134,0.05,0.069
work,False,5,14,PTYPE_PART,0.097,0,0,0.252,0.211,0.192,0.159,0.089,0
work,False,5,14,PTYPE_UNIVERSITY,0.134,0,0,0.329,0.114,0.212,0.169,0.042,0
work,False,15,23,PTYPE_FULL,0.151,0.011,0,0.201,0.28,0.127,0.103,0.035,0.092
work,False,15,23,PTYPE_PART,0.11,0,0,0.243,0.281,0.13,0.119,0.036,0.081
work,False,15,23,PTYPE_UNIVERSITY,0.058,0.127,0,0.224,0.269,0.079,0.072,0.108,0.063
work,False,5,23,PTYPE_DRIVING,0,0,0,0,0.2,0.2,0.2,0.2,0.2
univ,False,5,23,PTYPE_FULL,0.352,0.032,0,0.032,0.146,0.114,0.177,0.028,0.119
univ,False,5,23,PTYPE_PART,0,0,0,0.822,0.178,0,0,0,0
univ,False,5,23,PTYPE_UNIVERSITY,0.054,0.025,0,0.194,0.209,0.179,0.159,0.067,0.113
school,False,5,23,PTYPE_DRIVING,0,0,0,0.301,0.117,0.098,0.169,0.186,0.129
school,False,5,23,PTYPE_SCHOOL,0,0,0,0.166,0.158,0.147,0.122,0.133,0.274
school,False,5,23,PTYPE_PRESCHOOL,0,0,0,0.38,0.148,0.089,0.146,0.102,0.135
escort,False,5,23,PTYPE_FULL,0,0,0,0.343,0.235,0.114,0.222,0.039,0.047
escort,False,5,23,PTYPE_PART,0,0,0,0.24,0.298,0.128,0.157,0.045,0.132
escort,False,5,23,PTYPE_UNIVERSITY,0,0,0,0.195,0.319,0.287,0.02,0.027,0.152
escort,False,5,23,PTYPE_NONWORK,0,0,0,0.28,0.325,0.169,0.103,0.05,0.073
escort,False,5,23,PTYPE_RETIRED,0,0,0,0.31,0.317,0.073,0.111,0.112,0.077
escort,False,5,23,PTYPE_DRIVING,0,0,0,0,0.489,0,0.148,0.363,0
escort,False,5,23,PTYPE_SCHOOL,0,0,0,0.188,0.259,0.129,0.202,0.06,0.162
escort,False,5,23,PTYPE_PRESCHOOL,0,0,0,0.413,0.215,0.118,0.211,0.019,0.024
shopping,False,5,23,PTYPE_FULL,0,0,0,0.091,0.526,0.159,0.152,0.047,0.025
shopping,False,5,23,PTYPE_PART,0,0,0,0.104,0.553,0.156,0.105,0.037,0.045
shopping,False,5,23,PTYPE_UNIVERSITY,0,0,0,0.1,0.43,0.064,0.344,0.003,0.059
shopping,False,5,23,PTYPE_NONWORK,0,0,0,0.11,0.528,0.158,0.122,0.059,0.023
shopping,False,5,23,PTYPE_RETIRED,0,0,0,0.052,0.549,0.159,0.123,0.06,0.057
shopping,False,5,23,PTYPE_DRIVING,0,0,0,0.118,0.707,0,0.041,0.134,0
shopping,False,5,23,PTYPE_SCHOOL,0,0,0,0.015,0.19,0.256,0.157,0.179,0.203
shopping,False,5,23,PTYPE_PRESCHOOL,0,0,0,0.206,0.172,0.22,0.202,0.158,0.042
othmaint,False,5,23,PTYPE_FULL,0,0,0,0.171,0.364,0.215,0.159,0.029,0.062
othmaint,False,5,23,PTYPE_PART,0,0,0,0.228,0.365,0.17,0.13,0.041,0.066
othmaint,False,5,23,PTYPE_UNIVERSITY,0,0,0,0.046,0.345,0.192,0.298,0.06,0.059
othmaint,False,5,23,PTYPE_NONWORK,0,0,0,0.17,0.423,0.158,0.171,0.064,0.014
othmaint,False,5,23,PTYPE_RETIRED,0,0,0,0.099,0.391,0.213,0.241,0.036,0.02
othmaint,False,5,23,PTYPE_DRIVING,0,0,0,0.031,0.356,0.075,0.458,0.031,0.049
othmaint,False,5,23,PTYPE_SCHOOL,0,0,0,0.181,0.255,0.142,0.313,0,0.109
othmaint,False,5,23,PTYPE_PRESCHOOL,0,0,0,0.164,0.249,0.338,0.053,0.006,0.19
eatout,False,5,23,PTYPE_FULL,0,0,0,0.106,0.44,0.112,0.041,0.128,0.173
eatout,False,5,23,PTYPE_PART,0,0,0,0.168,0.331,0.225,0.023,0.063,0.19
eatout,False,5,23,PTYPE_UNIVERSITY,0,0,0,0.165,0.334,0.104,0.088,0.135,0.174
eatout,False,5,23,PTYPE_NONWORK,0,0,0,0.148,0.547,0.092,0.056,0.055,0.102
eatout,False,5,23,PTYPE_RETIRED,0,0,0,0.166,0.414,0.169,0.02,0.166,0.065
eatout,False,5,23,PTYPE_DRIVING,0,0,0,0.195,0.332,0.114,0.114,0,0.245
eatout,False,5,23,PTYPE_SCHOOL,0,0,0,0.072,0.356,0.053,0.019,0.169,0.331
eatout,False,5,23,PTYPE_PRESCHOOL,0,0,0,0.01,0.286,0.045,0.117,0.064,0.478
social,False,5,23,PTYPE_FULL,0,0,0,0.12,0.286,0.123,0.19,0.255,0.026
social,False,5,23,PTYPE_PART,0,0,0,0.106,0.122,0.039,0.553,0.047,0.133
social,False,5,23,PTYPE_UNIVERSITY,0,0,0,0.105,0.274,0.176,0,0.206,0.239
social,False,5,23,PTYPE_NONWORK,0,0,0,0.313,0.326,0.13,0.062,0.075,0.094
