X,Y,MGRA,CT10,CT10BG,SRA,MSA,City,ZIP,Sphere,CPA,CPASG,TAZ,Council,Super,LUZ,Elem,Unif,High,Coll,Transit,Area,Perimeter
6273396.82615793,1856907.8861229,"1","100","1001","1","0","14","92103","1442","1442","0","3331","3","4","95","0","30","0","4","1",65669.8399454359,1304.52219610741
6274393.13150923,1856351.37067023,"2","100","1001","1","0","14","92103","1442","1442","0","3331","3","4","95","0","30","0","4","1",80139.8203180274,1316.55507563278
6275518.20990516,1856064.37053785,"3","100","1001","1","0","14","92103","1442","1442","0","3358","3","4","95","0","30","0","4","1",112416.741580147,1763.21019484922
6275977.4485676,1855268.92934714,"4","100","1001","1","0","14","92103","1442","1442","0","3358","3","4","95","0","30","0","4","1",31376.5269103646,933.186781096291
6274539.49368634,1855494.96549215,"5","100","1001","1","0","14","92103","1442","1442","0","3358","3","4","95","0","30","0","4","1",27952.6465374836,703.733384276662
6275243.96852426,1855290.82764901,"6","100","1001","1","0","14","92103","1442","1442","0","3358","3","4","95","0","30","0","4","1",65345.5360591908,1137.67028333148
6274302.17196145,1855230.08136076,"7","100","1001","1","0","14","92103","1442","1442","0","3407","3","4","95","0","30","0","4","1",15164.8541082842,555.635019032208
6273992.11148831,1854804.93513534,"8","100","1001","1","0","14","92103","1442","1442","0","3407","3","4","95","0","30","0","4","1",23135.6583088181,740.913299452432
6274337.32671289,1854745.30837931,"9","100","1001","1","0","14","92103","1442","1442","0","3407","3","4","95","0","30","0","4","1",24244.1126198733,827.85818010081
6273668.30361474,1854625.45912421,"10","100","1001","1","0","14","92103","1442","1442","0","3407","3","4","95","0","30","0","4","1",15660.9870787733,590.99587298132
6274694.96605603,1854665.63270729,"11","100","1001","1","0","14","92103","1442","1442","0","3407","3","4","95","0","30","0","4","1",18897.6262682716,606.052973910593
6275416.52832803,1854788.64709909,"12","100","1001","1","0","14","92103","1442","1442","0","3407","3","4","95","0","30","0","4","1",12410.7303744199,598.42491979928
6275916.42568537,1854739.46000848,"13","100","1001","1","0","14","92103","1442","1442","0","3407","3","4","95","0","30","0","4","1",17700.5505863586,566.618776624147
6275223.1415434,1854548.48218986,"14","100","1001","1","0","14","92103","1442","1442","0","3407","3","4","95","0","30","0","4","1",29236.1529140082,840.418983084826
6275975.19833137,1854435.42229837,"15","100","1001","1","0","14","92103","1442","1442","0","3407","3","4","95","0","30","0","4","1",12236.9347127625,511.140661757516
6275439.7720674,1854122.00244924,"16","100","1001","1","0","14","92103","1442","1442","0","3458","3","4","95","0","30","0","4","1",50670.8171973985,1116.58131301979
6275250.06029026,1853709.62813074,"17","100","1001","1","0","14","92103","1442","1442","0","3458","3","4","95","0","30","0","4","1",18442.3688677389,834.587950926666
